id,x,y,width
00179,1673,80,41
00180,1714,80,39
00181,1753,80,41
00182,1794,80,41
00183,1835,80,40
00184,1875,80,40
00185,1915,80,39
00186,0,120,43
00187,43,120,37
00188,80,120,41
00189,121,120,37
00190,158,120,41
00191,199,120,40
00192,239,120,41
00193,280,120,41
00194,321,120,41
00195,362,120,40
00196,402,120,39
00197,441,120,42
00198,483,120,39
00199,522,120,36
00200,558,120,39
00201,597,120,38
00202,635,120,42
00204,677,120,41
00205,718,120,43
00206,761,120,38
00207,799,120,43
00208,842,120,43
00209,885,120,40
00210,925,120,36
00211,961,120,39
00212,1000,120,38
00214,1038,120,41
00215,1079,120,45
00217,1124,120,41
00218,1165,120,44
00219,1209,120,42
00220,1251,120,40
00221,1291,120,41
00222,1332,120,40
00223,1372,120,43
00224,1415,120,40
00225,1455,120,42
00226,1497,120,39
00227,1536,120,38
00228,1574,120,39
00229,1613,120,41
00230,1654,120,40
00231,1694,120,42
00232,1736,120,43
00233,1779,120,42
00234,1821,120,38
00235,1859,120,41
00236,1900,120,40
00237,1940,120,41
00238,1981,120,40
00239,0,160,39
00240,39,160,40
00241,79,160,43
00242,122,160,40
00243,162,160,37
00244,199,160,40
00245,239,160,42
00246,281,160,41
00247,322,160,40
00248,362,160,41
00249,403,160,38
00250,441,160,39
00251,480,160,38
00252,518,160,40
00253,558,160,40
00254,598,160,40
00255,638,160,40
00256,678,160,41
00257,719,160,41
00258,760,160,40
00259,800,160,40
00260,840,160,40
00261,880,160,43
00262,923,160,39
00263,962,160,39
00264,1001,160,39
00265,1040,160,40
00266,1080,160,39
00267,1119,160,39
00268,1158,160,39
00269,1197,160,39
00270,1236,160,41
00271,1277,160,40
00272,1317,160,41
00273,1358,160,41
00274,1399,160,39
00275,1438,160,38
00276,1476,160,41
00278,1517,160,42
00279,1559,160,38
00280,1597,160,40
00281,1637,160,40
00282,1677,160,41
00283,1718,160,41
00284,1759,160,39
00285,1798,160,41
00286,1839,160,40
00287,1879,160,39
00294,1918,160,40
00295,1958,160,40
00296,0,200,38
00297,38,200,41
00298,79,200,43
00299,122,200,41
00300,163,200,42
00301,205,200,40
00302,245,200,38
00303,283,200,40
00304,323,200,43
00305,366,200,40
00306,406,200,39
00307,445,200,40
00308,485,200,39
00309,524,200,40
00310,564,200,41
00311,605,200,40
00312,645,200,41
00313,686,200,41
00314,727,200,40
00315,767,200,39
00316,806,200,40
00317,846,200,41
00318,887,200,40
00319,927,200,40
00320,967,200,38
00321,1005,200,39
00322,1044,200,40
00323,1084,200,39
00324,1123,200,38
00325,1161,200,40
00326,1201,200,40
00327,1241,200,41
00328,1282,200,42
00329,1324,200,40
00330,1364,200,40
00331,1404,200,40
00332,1444,200,40
00333,1484,200,40
00334,1524,200,39
00335,1563,200,41
00336,1604,200,40
00337,1644,200,38
00338,1682,200,42
00339,1724,200,42
00340,1766,200,41
00348,1807,200,41
00349,1848,200,38
00350,1886,200,39
00351,1925,200,40
00352,1965,200,38
00353,0,240,40
00354,40,240,38
00355,78,240,41
00356,119,240,39
00357,158,240,42
00358,200,240,38
00359,238,240,41
00360,279,240,42
00376,321,240,40
00377,361,240,41
00378,402,240,40
00379,442,240,43
00381,485,240,42
00403,527,240,40
00406,567,240,40
00417,607,240,40
00418,647,240,39
00419,686,240,40
00420,726,240,40
00421,766,240,40
00422,806,240,39
00423,845,240,41
00424,886,240,41
00425,927,240,40
00426,967,240,40
00427,1007,240,40
00428,1047,240,39
00429,1086,240,39
00430,1125,240,40
00431,1165,240,40
00432,1205,240,40
00433,1245,240,40
00434,1285,240,40
00435,1325,240,42
00436,1367,240,39
00437,1406,240,38
00438,1444,240,40
00439,1484,240,41
00440,1525,240,42
00441,1567,240,38
00442,1605,240,39
00443,1644,240,42
00444,1686,240,42
00445,1728,240,40
00446,1768,240,39
00447,1807,240,40
00448,1847,240,41
00449,1888,240,39
00450,1927,240,40
00451,1967,240,36
00452,0,280,41
00454,41,280,40
00455,81,280,40
00456,121,280,41
00458,162,280,38
00459,200,280,37
00460,237,280,39
00461,276,280,40
00462,316,280,39
00463,355,280,39
00464,394,280,39
00465,433,280,41
00466,474,280,38
00467,512,280,39
00468,551,280,40
00470,591,280,40
00471,631,280,43
00472,674,280,39
00473,713,280,40
00474,753,280,40
00475,793,280,39
00477,832,280,39
00478,871,280,38
00479,909,280,38
00480,947,280,39
00481,986,280,41
00482,1027,280,38
00484,1065,280,38
00485,1103,280,41
00486,1144,280,38
00487,1182,280,40
00488,1222,280,39
00489,1261,280,39
00490,1300,280,41
00491,1341,280,40
00492,1381,280,42
00493,1423,280,41
00494,1464,280,38
00495,1502,280,42
00496,1544,280,38
00497,1582,280,34
00498,1616,280,36
00499,1652,280,40
00500,1692,280,38
00501,1730,280,38
00502,1768,280,39
00503,1807,280,38
00504,1845,280,37
00505,1882,280,40
00506,1922,280,40
00507,0,320,39
00509,39,320,40
00510,79,320,38
00511,117,320,40
00513,157,320,39
00514,196,320,40
00515,236,320,39
00516,275,320,41
00518,316,320,39
00519,355,320,39
00520,394,320,40
00521,434,320,40
00522,474,320,41
00523,515,320,38
00524,553,320,42
00525,595,320,44
00526,639,320,40
00527,679,320,39
00528,718,320,39
00529,757,320,41
00530,798,320,40
00531,838,320,40
00532,878,320,39
00534,917,320,37
00536,954,320,40
00537,994,320,41
00538,1035,320,40
00539,1075,320,40
00540,1115,320,39
00541,1154,320,41
00542,1195,320,41
00543,1236,320,43
00544,1279,320,42
00545,1321,320,40
00546,1361,320,40
00547,1401,320,42
00548,1443,320,39
00549,1482,320,39
00550,1521,320,37
00551,1558,320,40
00552,1598,320,40
00553,1638,320,55
00556,1693,320,36
00558,1729,320,40
00559,1769,320,42
00560,1811,320,39
00561,1850,320,40
00562,1890,320,40
00563,1930,320,37
00564,1967,320,39
00565,0,360,39
00566,39,360,39
00567,78,360,39
00568,117,360,41
00569,158,360,41
00570,199,360,40
00573,239,360,40
00574,279,360,43
00575,322,360,40
00576,362,360,38
00577,400,360,38
00578,438,360,39
00579,477,360,37
00580,514,360,40
00581,554,360,36
00584,590,360,41
00585,631,360,41
00586,672,360,39
00587,711,360,39
00588,750,360,40
00589,790,360,40
00590,830,360,39
00591,869,360,40
00592,909,360,40
00593,949,360,39
00594,988,360,37
00595,1025,360,39
00596,1064,360,42
00597,1106,360,40
00598,1146,360,42
00599,1188,360,38
00600,1226,360,40
00601,1266,360,41
00602,1307,360,40
00603,1347,360,40
00604,1387,360,41
00605,1428,360,40
00606,1468,360,39
00607,1507,360,40
00608,1547,360,40
00609,1587,360,41
00610,1628,360,39
00611,1667,360,38
00612,1705,360,42
00613,1747,360,39
00614,1786,360,40
00615,1826,360,40
00616,1866,360,43
00618,1909,360,39
00620,1948,360,41
00621,0,400,39
00623,39,400,40
00624,79,400,40
00626,119,400,38
00627,157,400,40
00628,197,400,40
00629,237,400,39
00630,276,400,39
00641,315,400,42
00643,357,400,42
00645,399,400,40
00646,439,400,43
00648,482,400,38
00649,520,400,38
00650,558,400,39
00651,597,400,42
00663,639,400,39
00665,678,400,41
00666,719,400,39
00667,758,400,42
00668,800,400,43
00669,843,400,38
00670,881,400,39
00671,920,400,40
00672,960,400,41
00673,1001,400,41
00674,1042,400,40
00675,1082,400,42
00676,1124,400,41
00677,1165,400,40
00678,1205,400,41
00679,1246,400,41
00681,1287,400,33
00682,1320,400,43
00683,1363,400,42
00684,1405,400,39
00685,1444,400,41
00686,1485,400,42
00687,1527,400,39
00688,1566,400,40
00689,1606,400,42
00690,1648,400,41
00691,1689,400,46
00692,1735,400,41
00693,1776,400,41
00694,1817,400,39
00695,1856,400,42
00696,1898,400,39
00697,1937,400,41
00698,1978,400,38
00699,0,440,40
00700,40,440,41
00701,81,440,41
00702,122,440,45
00703,167,440,39
00704,206,440,39
00705,245,440,40
00706,285,440,38
00707,323,440,42
00712,365,440,47
00720,412,440,37
00721,449,440,37
00722,486,440,40
00730,526,440,38
00731,564,440,38
00732,602,440,42
00733,644,440,43
00734,687,440,38
00735,725,440,43
00736,768,440,41
00737,809,440,40
00738,849,440,38
00739,887,440,40
00740,927,440,41
00741,968,440,39
00742,1007,440,41
00743,1048,440,40
00744,1088,440,39
00745,1127,440,40
00746,1167,440,38
00749,1205,440,42
00750,1247,440,38
00751,1285,440,41
00752,1326,440,43
00753,1369,440,42
00754,1411,440,43
00755,1454,440,39
00756,1493,440,43
00757,1536,440,39
00758,1575,440,43
00759,1618,440,41
00760,1659,440,40
00761,1699,440,39
00762,1738,440,39
00763,1777,440,41
00764,1818,440,40
00765,1858,440,40
00766,1898,440,39
00769,1937,440,41
00770,1978,440,35
00771,0,480,42
00772,42,480,42
00773,84,480,42
00774,126,480,39
00775,165,480,42
00777,207,480,40
00778,247,480,39
00779,286,480,41
00780,327,480,39
00781,366,480,41
00782,407,480,41
00785,448,480,40
00787,488,480,38
00788,526,480,39
00789,565,480,40
00790,605,480,39
00791,644,480,40
00792,684,480,42
00793,726,480,42
00794,768,480,40
00795,808,480,40
00796,848,480,38
00797,886,480,41
00799,927,480,42
00800,969,480,40
00802,1009,480,40
00804,1049,480,41
00805,1090,480,40
00807,1130,480,39
00810,1169,480,38
00811,1207,480,39
00812,1246,480,40
00813,1286,480,40
00814,1326,480,40
00815,1366,480,40
00816,1406,480,40
00817,1446,480,38
00818,1484,480,40
00819,1524,480,39
00820,1563,480,39
00822,1602,480,40
00824,1642,480,40
00825,1682,480,41
00826,1723,480,39
00827,1762,480,39
00828,1801,480,38
00829,1839,480,43
00832,1882,480,45
00833,1927,480,44
00834,1971,480,36
00835,0,520,43
00836,43,520,40
00837,83,520,40
00838,123,520,41
00839,164,520,41
00840,205,520,40
00841,245,520,39
00842,284,520,38
00843,322,520,41
00844,363,520,38
00845,401,520,41
00846,442,520,41
00849,483,520,40
00851,523,520,40
00852,563,520,40
00853,603,520,41
00854,644,520,40
00855,684,520,39
00856,723,520,40
00857,763,520,38
00858,801,520,40
00859,841,520,40
00860,881,520,38
00861,919,520,40
00862,959,520,40
00863,999,520,40
00865,1039,520,40
00866,1079,520,39
00867,1118,520,38
00869,1156,520,35
00870,1191,520,40
00871,1231,520,34
00872,1265,520,39
00873,1304,520,41
00874,1345,520,40
00875,1385,520,41
00878,1426,520,41
00879,1467,520,39
00880,1506,520,38
00881,1544,520,40
00882,1584,520,40
00883,1624,520,40
00884,1664,520,39
00885,1703,520,39
00886,1742,520,42
00887,1784,520,40
00888,1824,520,44
00889,1868,520,39
00890,1907,520,44
00891,1951,520,38
00892,0,560,38
00893,38,560,39
00894,77,560,39
00895,116,560,41
00896,157,560,41
00897,198,560,37
00898,235,560,44
00899,279,560,40
00900,319,560,40
00901,359,560,40
00902,399,560,40
00903,439,560,38
00904,477,560,40
00905,517,560,39
00906,556,560,40
00907,596,560,39
00908,635,560,43
00909,678,560,39
00910,717,560,39
00912,756,560,39
00913,795,560,38
00914,833,560,40
00915,873,560,45
00916,918,560,39
00917,957,560,44
00918,1001,560,40
00919,1041,560,38
00920,1079,560,40
00922,1119,560,41
00923,1160,560,48
00924,1208,560,37
00925,1245,560,38
00926,1283,560,40
00927,1323,560,41
00928,1364,560,40
00929,1404,560,39
00930,1443,560,43
00931,1486,560,44
00932,1530,560,40
00933,1570,560,39
00934,1609,560,40
00935,1649,560,39
00936,1688,560,42
00937,1730,560,40
00938,1770,560,42
00939,1812,560,31
00940,1843,560,37
00941,1880,560,40
00942,1920,560,40
00943,1960,560,40
00944,0,600,40
00945,40,600,40
00946,80,600,40
00947,120,600,40
00948,160,600,38
00950,198,600,38
00951,236,600,43
00952,279,600,41
00953,320,600,40
00954,360,600,38
00958,398,600,38
00959,436,600,40
00961,476,600,41
00962,517,600,35
00964,552,600,42
00965,594,600,41
00967,635,600,40
00968,675,600,40
00969,715,600,34
00970,749,600,39
00971,788,600,40
00972,828,600,40
00973,868,600,39
00974,907,600,40
00975,947,600,40
00976,987,600,40
00977,1027,600,41
00978,1068,600,40
00979,1108,600,39
00980,1147,600,36
00981,1183,600,40
00982,1223,600,39
00983,1262,600,39
00984,1301,600,41
00985,1342,600,41
00986,1383,600,40
00987,1423,600,40
00988,1463,600,39
00989,1502,600,39
00990,1541,600,40
00992,1581,600,41
00993,1622,600,39
00994,1661,600,43
00995,1704,600,52
00996,1756,600,40
00997,1796,600,40
00998,1836,600,43
00999,1879,600,36
01000,1915,600,40
01001,1955,600,39
01002,0,640,40
01004,40,640,39
01005,79,640,45
01007,124,640,39
01008,163,640,38
01009,201,640,40
01012,241,640,40
01013,281,640,35
01014,316,640,39
01015,355,640,42
01016,397,640,41
01017,438,640,41
01018,479,640,41
01019,520,640,41
01020,561,640,40
01021,601,640,40
01022,641,640,40
01023,681,640,40
01024,721,640,40
01025,761,640,38
01026,799,640,39
01027,838,640,39
01028,877,640,42
01029,919,640,39
01030,958,640,39
01031,997,640,38
01032,1035,640,38
01033,1073,640,41
01034,1114,640,42
01035,1156,640,42
01036,1198,640,43
01037,1241,640,39
01038,1280,640,39
01039,1319,640,40
01040,1359,640,37
01041,1396,640,41
01042,1437,640,42
01043,1479,640,43
01044,1522,640,39
01045,1561,640,40
01046,1601,640,42
01047,1643,640,39
01048,1682,640,40
01049,1722,640,39
01050,1761,640,43
01051,1804,640,38
01052,1842,640,41
01053,1883,640,41
01054,1924,640,41
01055,1965,640,39
01056,0,680,37
01057,37,680,41
01058,78,680,42
01059,120,680,44
01060,164,680,39
01061,203,680,42
01062,245,680,39
01063,284,680,40
01064,324,680,43
01065,367,680,41
01066,408,680,40
01067,448,680,40
01068,488,680,41
01071,529,680,39
01072,568,680,40
01073,608,680,42
01074,650,680,40
01075,690,680,38
01076,728,680,40
01077,768,680,40
01078,808,680,39
01079,847,680,40
01080,887,680,41
01081,928,680,41
01082,969,680,40
01083,1009,680,40
01084,1049,680,41
01085,1090,680,38
01086,1128,680,39
01087,1167,680,39
01088,1206,680,42
01089,1248,680,39
01090,1287,680,44
01091,1331,680,40
01092,1371,680,39
01093,1410,680,40
01094,1450,680,41
01095,1491,680,40
01096,1531,680,41
01097,1572,680,39
01098,1611,680,40
01099,1651,680,39
01100,1690,680,39
01101,1729,680,39
01102,1768,680,39
01105,1807,680,41
01106,1848,680,39
01107,1887,680,43
01108,1930,680,41
01109,1971,680,38
01110,0,720,41
01111,41,720,37
01112,78,720,40
01113,118,720,41
01114,159,720,42
01115,201,720,42
01116,243,720,40
01117,283,720,39
01118,322,720,39
01119,361,720,42
01120,403,720,40
01121,443,720,43
01122,486,720,41
01123,527,720,38
01124,565,720,40
01125,605,720,39
01126,644,720,40
01127,684,720,41
01128,725,720,38
01130,763,720,40
01131,803,720,40
01132,843,720,41
01133,884,720,39
01134,923,720,39
01135,962,720,40
01136,1002,720,41
01137,1043,720,40
01138,1083,720,40
01139,1123,720,41
01140,1164,720,37
01142,1201,720,41
01143,1242,720,38
01144,1280,720,40
01145,1320,720,41
01147,1361,720,40
01148,1401,720,40
01149,1441,720,39
01150,1480,720,38
01151,1518,720,42
01152,1560,720,41
01153,1601,720,43
01154,1644,720,44
01155,1688,720,43
01156,1731,720,42
01157,1773,720,41
01158,1814,720,40
01159,1854,720,41
01160,1895,720,38
01161,1933,720,38
01162,1971,720,43
01163,0,760,39
01164,39,760,37
01165,76,760,36
01166,112,760,41
01167,153,760,43
01168,196,760,42
01169,238,760,38
01170,276,760,43
01171,319,760,40
01172,359,760,43
01173,402,760,41
01174,443,760,40
01175,483,760,39
01176,522,760,40
01177,562,760,40
01178,602,760,41
01179,643,760,41
01180,684,760,39
01181,723,760,42
01182,765,760,40
01183,805,760,39
01184,844,760,41
01185,885,760,39
01186,924,760,39
01187,963,760,39
01188,1002,760,37
01189,1039,760,41
01190,1080,760,39
01191,1119,760,40
01192,1159,760,38
01193,1197,760,41
01194,1238,760,39
01195,1277,760,40
01196,1317,760,40
01197,1357,760,35
01198,1392,760,41
01199,1433,760,42
01200,1475,760,39
01201,1514,760,40
01202,1554,760,38
01203,1592,760,40
01204,1632,760,39
01205,1671,760,41
01206,1712,760,41
01207,1753,760,40
01208,1793,760,41
01210,1834,760,40
01214,1874,760,39
01217,1913,760,42
01218,1955,760,40
01220,0,0,42
01222,42,0,40
01225,82,0,41
01226,123,0,41
01227,164,0,41
01228,205,0,39
01229,244,0,37
01230,281,0,39
01231,320,0,39
01232,359,0,41
01233,400,0,39
01234,439,0,40
01235,479,0,40
01236,519,0,41
01237,560,0,39
01238,599,0,38
01239,637,0,42
01240,679,0,41
01241,720,0,38
01242,758,0,39
01243,797,0,39
01244,836,0,40
01245,876,0,41
01246,917,0,39
01247,956,0,40
01248,996,0,40
01249,1036,0,39
01250,1075,0,39
01251,1114,0,40
01252,1154,0,41
01253,1195,0,39
01254,1234,0,42
01255,1276,0,42
01256,1318,0,38
01257,1356,0,39
01258,1395,0,42
01259,1437,0,42
01260,1479,0,39
01261,1518,0,41
01262,1559,0,39
01263,1598,0,40
01264,1638,0,38
01265,1676,0,39
01266,1715,0,42
01268,1757,0,40
01269,1797,0,39
01270,1836,0,39
01272,1875,0,41
01274,1916,0,41
01278,1957,0,44
01280,0,40,41
01281,41,40,42
01282,83,40,41
01283,124,40,40
01284,164,40,44
01285,208,40,41
01286,249,40,40
01287,289,40,40
01288,329,40,40
01289,369,40,41
01290,410,40,39
01291,449,40,39
01293,488,40,40
01294,528,40,40
01295,568,40,47
01296,615,40,39
01297,654,40,40
01298,694,40,41
01299,735,40,40
01300,775,40,39
01301,814,40,38
01302,852,40,39
01303,891,40,38
01304,929,40,42
01305,971,40,41
01306,1012,40,44
01307,1056,40,39
01308,1095,40,43
01309,1138,40,42
01310,1180,40,39
01311,1219,40,36
01312,1255,40,37
01313,1292,40,41
01314,1333,40,40
01315,1373,40,40
01316,1413,40,40
01317,1453,40,41
01318,1494,40,41
01319,1535,40,40
01320,1575,40,42
01321,1617,40,38
01323,1655,40,42
01324,1697,40,39
01325,1736,40,40
01327,1776,40,40
01328,1816,40,40
01329,1856,40,40
01330,1896,40,40
01331,1936,40,40
01332,1976,40,40
01333,0,80,40
01334,40,80,39
01335,79,80,40
01336,119,80,39
01337,158,80,38
01338,196,80,39
01339,235,80,40
01340,275,80,42
01341,317,80,38
01342,355,80,40
01343,395,80,41
01344,436,80,40
01345,476,80,40
01346,516,80,38
01347,554,80,38
01348,592,80,40
01349,632,80,38
01350,670,80,41
01351,711,80,41
01352,752,80,41
01353,793,80,40
01354,833,80,41
01355,874,80,38
01356,912,80,40
01357,952,80,43
01358,995,80,40
01359,1035,80,40
01360,1075,80,43
01361,1118,80,42
01362,1160,80,42
01363,1202,80,41
01364,1243,80,38
01365,1281,80,38
01366,1319,80,40
01367,1359,80,42
01368,1401,80,39
01369,1440,80,42
01370,1482,80,38
01371,1520,80,41
01372,1561,80,37
01373,1598,80,41
01374,1639,80,42
01375,1681,80,39
01376,1720,80,41
01377,1761,80,40
01378,1801,80,36
01379,1837,80,41
01380,1878,80,40
01381,1918,80,41
01382,1959,80,40
01383,0,120,41
01384,41,120,38
01385,79,120,45
01386,124,120,41
01387,165,120,41
01388,206,120,41
01389,247,120,40
01390,287,120,38
01391,325,120,37
01392,362,120,39
01393,401,120,40
01394,441,120,39
01395,480,120,41
01396,521,120,42
01397,563,120,40
01398,603,120,38
01400,641,120,41
01401,682,120,40
01402,722,120,40
01403,762,120,40
01404,802,120,40
01405,842,120,39
01406,881,120,40
01407,921,120,40
01408,961,120,39
01409,1000,120,39
01410,1039,120,40
01411,1079,120,42
01412,1121,120,40
01414,1161,120,40
01415,1201,120,39
01416,1240,120,39
01417,1279,120,43
01418,1322,120,41
01419,1363,120,40
01420,1403,120,37
01421,1440,120,38
01422,1478,120,41
01423,1519,120,42
01424,1561,120,40
01425,1601,120,39
01426,1640,120,39
01427,1679,120,38
01428,1717,120,37
01430,1754,120,40
01431,1794,120,41
01432,1835,120,42
01433,1877,120,40
01434,1917,120,39
01435,1956,120,38
01436,0,160,37
01437,37,160,41
01438,78,160,40
01439,118,160,39
01440,157,160,39
01441,196,160,40
01442,236,160,39
01443,275,160,40
01444,315,160,38
01445,353,160,38
01446,391,160,40
01447,431,160,42
01448,473,160,41
01449,514,160,41
01450,555,160,40
01452,595,160,41
01453,636,160,41
01454,677,160,40
01455,717,160,43
01456,760,160,42
01457,802,160,45
01458,847,160,36
01459,883,160,43
01460,926,160,39
01461,965,160,40
01462,1005,160,40
01463,1045,160,42
01464,1087,160,38
01465,1125,160,42
01466,1167,160,40
01467,1207,160,40
01468,1247,160,40
01469,1287,160,39
01470,1326,160,42
01471,1368,160,40
01472,1408,160,40
01473,1448,160,39
01474,1487,160,42
01475,1529,160,43
01476,1572,160,39
01478,1611,160,37
01479,1648,160,39
01480,1687,160,40
01481,1727,160,36
01482,1763,160,39
01483,1802,160,41
01484,1843,160,40
01485,1883,160,40
01486,1923,160,40
01487,1963,160,40
01488,0,200,39
01489,39,200,41
01490,80,200,40
01491,120,200,40
01492,160,200,40
01493,200,200,39
01494,239,200,36
01495,275,200,40
01496,315,200,40
01497,355,200,40
01498,395,200,38
01499,433,200,40
01500,473,200,39
01501,512,200,41
01502,553,200,37
01503,590,200,40
01504,630,200,40
01505,670,200,38
01506,708,200,40
01507,748,200,40
01508,788,200,39
01509,827,200,39
01510,866,200,41
01511,907,200,38
01512,945,200,44
01513,989,200,39
01514,1028,200,37
01515,1065,200,43
01516,1108,200,40
01517,1148,200,39
01518,1187,200,41
01519,1228,200,43
01520,1271,200,40
01521,1311,200,41
01522,1352,200,39
01523,1391,200,40
01524,1431,200,35
01525,1466,200,39
01526,1505,200,42
01527,1547,200,38
01529,1585,200,40
01530,1625,200,39
01531,1664,200,39
01532,1703,200,40
01533,1743,200,40
01534,1783,200,40
01535,1823,200,40
01536,1863,200,40
01538,1903,200,40
01539,1943,200,39
01541,0,240,39
01542,39,240,38
01545,77,240,41
01546,118,240,41
01547,159,240,44
01548,203,240,41
01549,244,240,38
01550,282,240,41
01551,323,240,39
01552,362,240,39
01553,401,240,39
01554,440,240,40
01555,480,240,39
01556,519,240,40
01557,559,240,40
01558,599,240,40
01559,639,240,39
01560,678,240,40
01561,718,240,40
01562,758,240,40
01563,798,240,39
01564,837,240,40
01565,877,240,39
01566,916,240,40
01567,956,240,39
01568,995,240,41
01569,1036,240,38
01570,1074,240,39
01571,1113,240,40
01572,1153,240,40
01574,1193,240,41
01575,1234,240,39
01576,1273,240,39
01577,1312,240,39
01578,1351,240,39
01579,1390,240,40
01580,1430,240,40
01581,1470,240,41
01582,1511,240,39
01583,1550,240,40
01584,1590,240,40
01585,1630,240,41
01586,1671,240,42
01587,1713,240,39
01588,1752,240,40
01589,1792,240,40
01591,1832,240,40
01592,1872,240,39
01596,1911,240,40
01598,1951,240,41
01607,0,280,40
01608,40,280,41
01611,81,280,39
01612,120,280,40
01614,160,280,42
01621,202,280,41
01627,243,280,40
01629,283,280,39
01631,322,280,42
01638,364,280,40
01639,404,280,39
01640,443,280,40
01641,483,280,40
01642,523,280,39
01643,562,280,40
01644,602,280,39
01645,641,280,41
01646,682,280,39
01647,721,280,40
01648,761,280,40
01649,801,280,40
01650,841,280,40
01651,881,280,40
01652,921,280,40
01653,961,280,39
01654,1000,280,40
01655,1040,280,38
01656,1078,280,42
01657,1120,280,38
01658,1158,280,40
01659,1198,280,39
01660,1237,280,38
01661,1275,280,40
01662,1315,280,41
01664,1356,280,39
01666,1395,280,41
01667,1436,280,39
01669,1475,280,40
01670,1515,280,40
01671,1555,280,39
01672,1594,280,40
01673,1634,280,40
01674,1674,280,39
01675,1713,280,40
01677,1753,280,40
01678,1793,280,39
01680,1832,280,39
01681,1871,280,39
01682,1910,280,39
01684,1949,280,40
01686,0,320,40
01688,40,320,40
01689,80,320,40
01691,120,320,40
01692,160,320,40
01693,200,320,40
01696,240,320,39
01697,279,320,40
01698,319,320,40
01699,359,320,40
01703,399,320,34
01704,433,320,39
01705,472,320,40
01706,512,320,40
01707,552,320,40
01708,592,320,40
01709,632,320,39
01710,671,320,39
01711,710,320,41
01712,751,320,40
01713,791,320,40
01714,831,320,40
01715,871,320,39
01716,910,320,40
01717,950,320,40
01720,990,320,42
01721,1032,320,40
01722,1072,320,40
01723,1112,320,40
01728,1152,320,40
01729,1192,320,39
01730,1231,320,40
01731,1271,320,40
01732,1311,320,39
01734,1350,320,40
01735,1390,320,40
01736,1430,320,39
01737,1469,320,40
01740,1509,320,40
01741,1549,320,40
01743,1589,320,39
01745,1628,320,40
01748,1668,320,40
01749,1708,320,40
01752,1748,320,40
01755,1788,320,38
01757,1826,320,39
01758,1865,320,40
01760,1905,320,40
01762,1945,320,41
01764,0,360,40
01766,40,360,40
01767,80,360,40
01768,120,360,40
01769,160,360,40
01770,200,360,40
01772,240,360,40
01773,280,360,40
01781,320,360,43
01784,363,360,40
01787,403,360,41
01789,444,360,41
01791,485,360,46
01798,531,360,44
01801,575,360,39
01807,614,360,44
01808,658,360,43
01809,701,360,38
01813,739,360,41
01814,780,360,37
01815,817,360,41
01816,858,360,40
01817,898,360,43
01818,941,360,41
