x,y,width,height
955,75,24,25
979,75,24,25
1003,75,26,25
1029,75,25,25
1054,75,26,25
1080,75,27,25
1107,75,26,25
1133,75,24,25
1157,75,25,25
1182,75,25,25
1207,75,26,25
1233,75,25,25
0,100,24,25
24,100,25,25
49,100,27,25
76,100,25,25
101,100,23,25
124,100,25,25
149,100,26,25
175,100,25,25
200,100,25,25
225,100,26,25
251,100,24,25
275,100,25,25
300,100,24,25
324,100,25,25
349,100,25,25
374,100,25,25
399,100,25,25
424,100,25,25
449,100,25,25
474,100,25,25
499,100,25,25
524,100,25,25
549,100,27,25
576,100,24,25
600,100,24,25
624,100,24,25
648,100,25,25
673,100,24,25
697,100,24,25
721,100,24,25
745,100,24,25
769,100,26,25
795,100,25,25
820,100,25,25
845,100,25,25
870,100,25,25
895,100,23,25
918,100,25,25
943,100,26,25
969,100,23,25
992,100,25,25
1017,100,25,25
1042,100,25,25
1067,100,26,25
1093,100,24,25
1117,100,26,25
1143,100,25,25
1168,100,24,25
1192,100,25,25
1217,100,25,25
0,125,24,25
24,125,25,25
49,125,27,25
76,125,26,25
102,125,26,25
128,125,25,25
153,125,23,25
176,125,25,25
201,125,26,25
227,125,25,25
252,125,24,25
276,125,25,25
301,125,24,25
325,125,25,25
350,125,25,25
375,125,25,25
400,125,26,25
426,125,26,25
452,125,25,25
477,125,24,25
501,125,25,25
526,125,26,25
552,125,25,25
577,125,25,25
602,125,24,25
626,125,24,25
650,125,25,25
675,125,24,25
699,125,24,25
723,125,25,25
748,125,25,25
773,125,26,25
799,125,26,25
825,125,25,25
850,125,25,25
875,125,25,25
900,125,25,25
925,125,25,25
950,125,24,25
974,125,25,25
999,125,25,25
1024,125,23,25
1047,125,26,25
1073,125,26,25
1099,125,25,25
1124,125,26,25
1150,125,23,25
1173,125,24,25
1197,125,25,25
1222,125,23,25
0,150,25,25
25,150,24,25
49,150,26,25
75,150,24,25
99,150,26,25
125,150,24,25
149,150,25,25
174,150,26,25
200,150,25,25
225,150,26,25
251,150,25,25
276,150,27,25
303,150,26,25
329,150,25,25
354,150,25,25
379,150,25,25
404,150,24,25
428,150,25,25
453,150,25,25
478,150,25,25
503,150,25,25
528,150,25,25
553,150,25,25
578,150,25,25
603,150,25,25
628,150,25,25
653,150,24,25
677,150,24,25
701,150,25,25
726,150,25,25
751,150,25,25
776,150,25,25
801,150,25,25
826,150,26,25
852,150,24,25
876,150,24,25
900,150,25,25
925,150,25,25
950,150,26,25
976,150,24,25
1000,150,24,25
1024,150,26,25
1050,150,26,25
1076,150,25,25
1101,150,24,25
1125,150,25,25
1150,150,25,25
1175,150,24,25
1199,150,25,25
1224,150,23,25
0,175,26,25
26,175,25,25
51,175,25,25
76,175,25,25
101,175,24,25
125,175,23,25
148,175,25,25
173,175,25,25
198,175,24,25
222,175,24,25
246,175,24,25
270,175,25,25
295,175,23,25
318,175,24,25
342,175,25,25
367,175,25,25
392,175,27,25
419,175,25,25
444,175,25,25
469,175,25,25
494,175,24,25
518,175,24,25
542,175,23,25
565,175,23,25
588,175,24,25
612,175,25,25
637,175,23,25
660,175,24,25
684,175,25,25
709,175,23,25
732,175,25,25
757,175,24,25
781,175,24,25
805,175,26,25
831,175,25,25
856,175,26,25
882,175,25,25
907,175,23,25
930,175,26,25
956,175,24,25
980,175,21,25
1001,175,22,25
1023,175,25,25
1048,175,23,25
1071,175,24,25
1095,175,24,25
1119,175,24,25
1143,175,23,25
1166,175,25,25
1191,175,25,25
0,200,24,25
24,200,25,25
49,200,24,25
73,200,25,25
98,200,24,25
122,200,25,25
147,200,24,25
171,200,25,25
196,200,24,25
220,200,24,25
244,200,25,25
269,200,25,25
294,200,25,25
319,200,24,25
343,200,26,25
369,200,28,25
397,200,25,25
422,200,24,25
446,200,24,25
470,200,25,25
495,200,25,25
520,200,25,25
545,200,24,25
569,200,23,25
592,200,25,25
617,200,25,25
642,200,25,25
667,200,25,25
692,200,24,25
716,200,26,25
742,200,25,25
767,200,27,25
794,200,26,25
820,200,25,25
845,200,25,25
870,200,26,25
896,200,25,25
921,200,24,25
945,200,23,25
968,200,25,25
993,200,25,25
1018,200,34,25
1052,200,22,25
1074,200,25,25
1099,200,26,25
1125,200,24,25
1149,200,25,25
1174,200,25,25
1199,200,23,25
1222,200,24,25
0,225,24,25
24,225,24,25
48,225,25,25
73,225,25,25
98,225,25,25
123,225,25,25
148,225,25,25
173,225,27,25
200,225,25,25
225,225,24,25
249,225,24,25
273,225,24,25
297,225,23,25
320,225,25,25
345,225,22,25
367,225,26,25
393,225,26,25
419,225,24,25
443,225,24,25
467,225,25,25
492,225,25,25
517,225,25,25
542,225,25,25
567,225,25,25
592,225,24,25
616,225,23,25
639,225,24,25
663,225,26,25
689,225,25,25
714,225,26,25
740,225,23,25
763,225,25,25
788,225,25,25
813,225,25,25
838,225,25,25
863,225,25,25
888,225,25,25
913,225,24,25
937,225,25,25
962,225,25,25
987,225,26,25
1013,225,24,25
1037,225,24,25
1061,225,26,25
1087,225,24,25
1111,225,25,25
1136,225,25,25
1161,225,27,25
1188,225,24,25
1212,225,25,25
0,250,24,25
24,250,25,25
49,250,25,25
74,250,24,25
98,250,25,25
123,250,25,25
148,250,24,25
172,250,24,25
196,250,26,25
222,250,26,25
248,250,25,25
273,250,26,25
299,250,24,25
323,250,23,25
346,250,24,25
370,250,26,25
396,250,25,25
421,250,26,25
447,250,25,25
472,250,26,25
498,250,26,25
524,250,24,25
548,250,24,25
572,250,25,25
597,250,25,25
622,250,26,25
648,250,25,25
673,250,26,25
699,250,26,25
725,250,25,25
750,250,25,25
775,250,25,25
800,250,21,25
821,250,26,25
847,250,26,25
873,250,24,25
897,250,25,25
922,250,26,25
948,250,24,25
972,250,25,25
997,250,26,25
1023,250,26,25
1049,250,28,25
1077,250,26,25
1103,250,26,25
1129,250,24,25
1153,250,26,25
1179,250,24,25
1203,250,25,25
1228,250,24,25
0,275,25,25
25,275,26,25
51,275,26,25
77,275,28,25
105,275,24,25
129,275,24,25
153,275,25,25
178,275,24,25
202,275,26,25
228,275,29,25
257,275,23,25
280,275,23,25
303,275,25,25
328,275,23,25
351,275,24,25
375,275,26,25
401,275,27,25
428,275,24,25
452,275,27,25
479,275,25,25
504,275,25,25
529,275,24,25
553,275,25,25
578,275,25,25
603,275,25,25
628,275,26,25
654,275,25,25
679,275,25,25
704,275,25,25
729,275,23,25
752,275,26,25
778,275,24,25
802,275,26,25
828,275,27,25
855,275,26,25
881,275,27,25
908,275,24,25
932,275,27,25
959,275,24,25
983,275,27,25
1010,275,25,25
1035,275,25,25
1060,275,24,25
1084,275,24,25
1108,275,25,25
1133,275,25,25
1158,275,25,25
1183,275,25,25
1208,275,25,25
1233,275,22,25
0,300,26,25
26,300,26,25
52,300,26,25
78,300,24,25
102,300,26,25
128,300,25,25
153,300,24,25
177,300,26,25
203,300,25,25
228,300,25,25
253,300,26,25
279,300,25,25
304,300,24,25
328,300,25,25
353,300,25,25
378,300,24,25
402,300,25,25
427,300,26,25
453,300,26,25
479,300,25,25
504,300,25,25
529,300,24,25
553,300,25,25
578,300,26,25
604,300,25,25
629,300,25,25
654,300,25,25
679,300,25,25
704,300,25,25
729,300,24,25
753,300,25,25
778,300,25,25
803,300,25,25
828,300,25,25
853,300,25,25
878,300,25,25
903,300,23,25
926,300,25,25
951,300,24,25
975,300,24,25
999,300,25,25
1024,300,25,25
1049,300,25,25
1074,300,24,25
1098,300,24,25
1122,300,23,25
1145,300,27,25
1172,300,28,25
1200,300,27,25
1227,300,22,25
0,325,27,25
27,325,25,25
52,325,25,25
77,325,26,25
103,325,25,25
128,325,25,25
153,325,24,25
177,325,23,25
200,325,25,25
225,325,24,25
249,325,26,25
275,325,25,25
300,325,25,25
325,325,25,25
350,325,25,25
375,325,26,25
401,325,25,25
426,325,24,25
450,325,25,25
475,325,23,25
498,325,25,25
523,325,25,25
548,325,24,25
572,325,25,25
597,325,25,25
622,325,25,25
647,325,25,25
672,325,24,25
696,325,24,25
720,325,21,25
741,325,25,25
766,325,21,25
787,325,24,25
811,325,26,25
837,325,25,25
862,325,26,25
888,325,25,25
913,325,24,25
937,325,24,25
961,325,25,25
986,325,25,25
1011,325,25,25
1036,325,24,25
1060,325,24,25
1084,325,26,25
1110,325,25,25
1135,325,28,25
1163,325,24,25
1187,325,28,25
1215,325,23,25
0,350,24,25
24,350,24,25
48,350,24,25
72,350,25,25
97,350,25,25
122,350,23,25
145,350,27,25
172,350,25,25
197,350,25,25
222,350,25,25
247,350,25,25
272,350,24,25
296,350,25,25
321,350,25,25
346,350,25,25
371,350,24,25
395,350,27,25
422,350,25,25
447,350,25,25
472,350,24,25
496,350,24,25
520,350,25,25
545,350,28,25
573,350,24,25
597,350,27,25
624,350,25,25
649,350,23,25
672,350,25,25
697,350,26,25
723,350,30,25
753,350,23,25
776,350,23,25
799,350,25,25
824,350,25,25
849,350,25,25
874,350,24,25
898,350,27,25
925,350,27,25
952,350,25,25
977,350,24,25
1001,350,25,25
1026,350,24,25
1050,350,26,25
1076,350,25,25
1101,350,26,25
1127,350,19,25
1146,350,23,25
1169,350,25,25
1194,350,25,25
1219,350,25,25
0,375,25,25
25,375,25,25
50,375,25,25
75,375,25,25
100,375,24,25
124,375,24,25
148,375,27,25
175,375,26,25
201,375,25,25
226,375,24,25
250,375,24,25
274,375,25,25
299,375,25,25
324,375,22,25
346,375,26,25
372,375,25,25
397,375,25,25
422,375,25,25
447,375,21,25
468,375,24,25
492,375,25,25
517,375,25,25
542,375,24,25
566,375,25,25
591,375,25,25
616,375,25,25
641,375,25,25
666,375,25,25
691,375,24,25
715,375,22,25
737,375,25,25
762,375,24,25
786,375,24,25
810,375,25,25
835,375,25,25
860,375,25,25
885,375,25,25
910,375,24,25
934,375,24,25
958,375,25,25
983,375,25,25
1008,375,24,25
1032,375,27,25
1059,375,32,25
1091,375,25,25
1116,375,25,25
1141,375,27,25
1168,375,22,25
1190,375,25,25
1215,375,24,25
0,400,25,25
25,400,24,25
49,400,28,25
77,400,24,25
101,400,23,25
124,400,25,25
149,400,25,25
174,400,22,25
196,400,24,25
220,400,26,25
246,400,25,25
271,400,25,25
296,400,25,25
321,400,25,25
346,400,25,25
371,400,25,25
396,400,25,25
421,400,25,25
446,400,25,25
471,400,24,25
495,400,24,25
519,400,24,25
543,400,26,25
569,400,24,25
593,400,24,25
617,400,24,25
641,400,23,25
664,400,25,25
689,400,26,25
715,400,26,25
741,400,27,25
768,400,24,25
792,400,25,25
817,400,25,25
842,400,23,25
865,400,25,25
890,400,26,25
916,400,27,25
943,400,24,25
967,400,25,25
992,400,26,25
1018,400,24,25
1042,400,25,25
1067,400,24,25
1091,400,26,25
1117,400,24,25
1141,400,25,25
1166,400,25,25
1191,400,26,25
1217,400,24,25
0,425,23,25
23,425,26,25
49,425,26,25
75,425,27,25
102,425,24,25
126,425,26,25
152,425,24,25
176,425,25,25
201,425,27,25
228,425,25,25
253,425,25,25
278,425,25,25
303,425,25,25
328,425,24,25
352,425,25,25
377,425,26,25
403,425,25,25
428,425,24,25
452,425,25,25
477,425,25,25
502,425,24,25
526,425,25,25
551,425,25,25
576,425,25,25
601,425,25,25
626,425,25,25
651,425,25,25
676,425,24,25
700,425,24,25
724,425,24,25
748,425,26,25
774,425,24,25
798,425,27,25
825,425,25,25
850,425,24,25
874,425,25,25
899,425,26,25
925,425,25,25
950,425,25,25
975,425,24,25
999,425,25,25
1024,425,24,25
1048,425,24,25
1072,425,24,25
1096,425,24,25
1120,425,26,25
1146,425,24,25
1170,425,27,25
1197,425,26,25
1223,425,24,25
0,450,25,25
25,450,23,25
48,450,25,25
73,450,25,25
98,450,26,25
124,450,26,25
150,450,25,25
175,450,24,25
199,450,24,25
223,450,26,25
249,450,25,25
274,450,26,25
300,450,26,25
326,450,23,25
349,450,25,25
374,450,24,25
398,450,25,25
423,450,25,25
448,450,24,25
472,450,25,25
497,450,25,25
522,450,25,25
547,450,25,25
572,450,24,25
596,450,25,25
621,450,25,25
646,450,25,25
671,450,25,25
696,450,26,25
722,450,23,25
745,450,25,25
770,450,24,25
794,450,25,25
819,450,25,25
844,450,25,25
869,450,25,25
894,450,25,25
919,450,23,25
942,450,26,25
968,450,25,25
993,450,27,25
1020,450,27,25
1047,450,27,25
1074,450,26,25
1100,450,25,25
1125,450,25,25
1150,450,26,25
1176,450,23,25
1199,450,24,25
1223,450,27,25
0,475,25,25
25,475,23,25
48,475,22,25
70,475,26,25
96,475,27,25
123,475,26,25
149,475,23,25
172,475,27,25
199,475,25,25
224,475,27,25
251,475,25,25
276,475,25,25
301,475,25,25
326,475,25,25
351,475,25,25
376,475,25,25
401,475,26,25
427,475,24,25
451,475,26,25
477,475,25,25
502,475,24,25
526,475,26,25
552,475,25,25
577,475,24,25
601,475,24,25
625,475,23,25
648,475,26,25
674,475,24,25
698,475,25,25
723,475,24,25
747,475,25,25
772,475,24,25
796,475,25,25
821,475,25,25
846,475,22,25
868,475,25,25
893,475,26,25
919,475,24,25
943,475,25,25
968,475,23,25
991,475,25,25
1016,475,24,25
1040,475,25,25
1065,475,26,25
1091,475,25,25
1116,475,25,25
1141,475,25,25
1166,475,24,25
1190,475,26,25
1216,475,25,25
0,500,26,25
26,500,25,25
51,500,25,25
76,500,25,25
101,500,25,25
126,500,24,25
150,500,23,25
173,500,24,25
197,500,24,25
221,500,25,25
246,500,24,25
270,500,25,25
295,500,25,25
320,500,25,25
345,500,24,25
369,500,24,25
393,500,26,25
419,500,25,25
444,500,23,25
467,500,25,25
492,500,24,25
516,500,25,25
541,500,25,25
566,500,24,25
590,500,25,25
615,500,25,25
640,500,25,25
665,500,24,25
689,500,25,25
714,500,25,25
739,500,24,25
763,500,26,25
789,500,26,25
815,500,24,25
839,500,24,25
863,500,26,25
889,500,26,25
915,500,24,25
939,500,25,25
964,500,24,25
988,500,25,25
1013,500,24,25
1037,500,24,25
1061,500,26,25
1087,500,25,25
1112,500,24,25
1136,500,25,25
1161,500,26,25
1187,500,25,25
1212,500,28,25
0,525,26,25
26,525,26,25
52,525,25,25
77,525,25,25
102,525,28,25
130,525,25,25
155,525,25,25
180,525,25,25
205,525,25,25
230,525,25,25
255,525,25,25
280,525,24,25
304,525,25,25
329,525,25,25
354,525,29,25
383,525,24,25
407,525,25,25
432,525,26,25
458,525,25,25
483,525,24,25
507,525,23,25
530,525,24,25
554,525,23,25
577,525,26,25
603,525,26,25
629,525,28,25
657,525,24,25
681,525,26,25
707,525,26,25
733,525,24,25
757,525,22,25
779,525,23,25
802,525,25,25
827,525,25,25
852,525,25,25
877,525,25,25
902,525,25,25
927,525,25,25
952,525,25,25
977,525,26,25
1003,525,23,25
1026,525,26,25
1052,525,24,25
1076,525,25,25
1101,525,25,25
1126,525,25,25
1151,525,25,25
1176,525,25,25
1201,525,25,25
1226,525,25,25
0,550,25,25
25,550,24,25
49,550,25,25
74,550,25,25
99,550,23,25
122,550,24,25
146,550,25,25
171,550,26,25
197,550,24,25
221,550,25,25
246,550,26,25
272,550,25,25
297,550,25,25
322,550,24,25
346,550,23,25
369,550,25,25
394,550,24,25
418,550,26,25
444,550,26,25
470,550,26,25
496,550,25,25
521,550,26,25
547,550,23,25
570,550,25,25
595,550,27,25
622,550,25,25
647,550,25,25
672,550,27,25
699,550,26,25
725,550,26,25
751,550,25,25
776,550,24,25
800,550,23,25
823,550,25,25
848,550,26,25
874,550,24,25
898,550,26,25
924,550,24,25
948,550,25,25
973,550,23,25
996,550,25,25
1021,550,26,25
1047,550,24,25
1071,550,26,25
1097,550,25,25
1122,550,22,25
1144,550,25,25
1169,550,25,25
1194,550,26,25
1220,550,25,25
0,575,26,25
26,575,24,25
50,575,28,25
78,575,25,25
103,575,26,25
129,575,25,25
154,575,25,25
179,575,23,25
202,575,23,25
225,575,24,25
249,575,25,25
274,575,24,25
298,575,26,25
324,575,26,25
350,575,25,25
375,575,23,25
398,575,25,25
423,575,25,25
448,575,25,25
473,575,25,25
498,575,25,25
523,575,25,25
548,575,25,25
573,575,25,25
598,575,24,25
622,575,24,25
646,575,25,25
671,575,26,25
697,575,25,25
722,575,25,25
747,575,24,25
771,575,24,25
795,575,26,25
821,575,25,25
846,575,25,25
871,575,23,25
894,575,24,25
918,575,25,25
943,575,26,25
969,575,25,25
994,575,24,25
1018,575,24,25
1042,575,24,25
1066,575,23,25
1089,575,25,25
1114,575,25,25
1139,575,26,25
1165,575,25,25
1190,575,24,25
1214,575,24,25
0,600,23,25
23,600,26,25
49,600,25,25
74,600,24,25
98,600,24,25
122,600,25,25
147,600,24,25
171,600,25,25
196,600,24,25
220,600,23,25
243,600,25,25
268,600,26,25
294,600,26,25
320,600,25,25
345,600,25,25
370,600,25,25
395,600,26,25
421,600,25,25
446,600,26,25
472,600,26,25
498,600,28,25
526,600,22,25
548,600,27,25
575,600,24,25
599,600,25,25
624,600,25,25
649,600,26,25
675,600,23,25
698,600,26,25
724,600,25,25
749,600,25,25
774,600,25,25
799,600,24,25
823,600,26,25
849,600,25,25
874,600,25,25
899,600,24,25
923,600,26,25
949,600,27,25
976,600,24,25
1000,600,23,25
1023,600,24,25
1047,600,25,25
1072,600,22,25
1094,600,24,25
1118,600,25,25
1143,600,25,25
1168,600,25,25
1193,600,25,25
1218,600,25,25
0,625,25,25
25,625,25,25
50,625,25,25
75,625,25,25
100,625,25,25
125,625,25,25
150,625,22,25
172,625,25,25
197,625,25,25
222,625,25,25
247,625,24,25
271,625,25,25
296,625,25,25
321,625,25,25
346,625,23,25
369,625,25,25
394,625,25,25
419,625,24,25
443,625,25,25
468,625,25,25
493,625,24,25
517,625,24,25
541,625,26,25
567,625,24,25
591,625,27,25
618,625,24,25
642,625,23,25
665,625,26,25
691,625,25,25
716,625,24,25
740,625,25,25
765,625,27,25
792,625,25,25
817,625,25,25
842,625,25,25
867,625,25,25
892,625,22,25
914,625,24,25
938,625,26,25
964,625,24,25
988,625,25,25
1013,625,24,25
1037,625,24,25
1061,625,25,25
1086,625,25,25
1111,625,25,25
1136,625,25,25
1161,625,25,25
1186,625,25,25
1211,625,24,25
0,650,25,25
25,650,24,25
49,650,26,25
75,650,25,25
100,650,27,25
127,650,26,25
153,650,24,25
177,650,25,25
202,650,24,25
226,650,24,25
250,650,24,25
274,650,25,25
299,650,24,25
323,650,25,25
348,650,25,25
373,650,25,25
398,650,25,25
423,650,25,25
448,650,25,25
473,650,25,25
498,650,24,25
522,650,25,25
547,650,24,25
571,650,25,25
596,650,24,25
620,650,26,25
646,650,24,25
670,650,24,25
694,650,25,25
719,650,25,25
744,650,25,25
769,650,24,25
793,650,24,25
817,650,24,25
841,650,24,25
865,650,25,25
890,650,25,25
915,650,25,25
940,650,24,25
964,650,25,25
989,650,25,25
1014,650,25,25
1039,650,26,25
1065,650,24,25
1089,650,25,25
1114,650,25,25
1139,650,25,25
1164,650,24,25
1188,650,25,25
1213,650,25,25
0,675,25,25
25,675,25,25
50,675,24,25
74,675,25,25
99,675,26,25
125,675,25,25
150,675,25,25
175,675,24,25
199,675,26,25
225,675,25,25
250,675,25,25
275,675,25,25
300,675,25,25
325,675,24,25
349,675,25,25
374,675,25,25
399,675,26,25
425,675,24,25
449,675,25,25
474,675,25,25
499,675,25,25
524,675,25,25
549,675,25,25
574,675,25,25
599,675,24,25
623,675,25,25
648,675,23,25
671,675,26,25
697,675,23,25
720,675,25,25
745,675,24,25
769,675,24,25
793,675,25,25
818,675,26,25
844,675,24,25
868,675,25,25
893,675,25,25
918,675,25,25
943,675,25,25
968,675,24,25
992,675,25,25
1017,675,25,25
1042,675,25,25
1067,675,25,25
1092,675,25,25
1117,675,25,25
1142,675,24,25
1166,675,25,25
1191,675,24,25
1215,675,25,25
0,700,25,25
25,700,25,25
50,700,25,25
75,700,25,25
100,700,25,25
125,700,25,25
150,700,24,25
174,700,25,25
199,700,25,25
224,700,25,25
249,700,21,25
270,700,24,25
294,700,25,25
319,700,25,25
344,700,25,25
369,700,25,25
394,700,24,25
418,700,24,25
442,700,25,25
467,700,25,25
492,700,25,25
517,700,25,25
542,700,25,25
567,700,25,25
592,700,25,25
617,700,26,25
643,700,25,25
668,700,25,25
693,700,25,25
718,700,25,25
743,700,24,25
767,700,25,25
792,700,25,25
817,700,24,25
841,700,25,25
866,700,25,25
891,700,24,25
915,700,25,25
940,700,25,25
965,700,25,25
990,700,24,25
1014,700,25,25
1039,700,25,25
1064,700,25,25
1089,700,25,25
1114,700,24,25
1138,700,25,25
1163,700,25,25
1188,700,25,25
1213,700,25,25
0,725,25,25
25,725,25,25
50,725,25,25
75,725,25,25
100,725,25,25
125,725,25,25
150,725,25,25
175,725,25,25
200,725,27,25
227,725,25,25
252,725,25,25
277,725,25,25
302,725,29,25
331,725,27,25
358,725,24,25
382,725,27,25
409,725,27,25
436,725,23,25
459,725,25,25
484,725,23,25
507,725,26,25
533,725,25,25
558,725,27,25
585,725,25,25
610,725,24,25
634,725,27,25
661,725,25,25
686,725,24,25
710,725,24,25
734,725,27,25
761,725,24,25
785,725,26,25
811,725,22,25
833,725,25,25
858,725,25,25
883,725,24,25
907,725,24,25
931,725,26,25
957,725,26,25
983,725,25,25
1008,725,24,25
1032,725,27,25
1059,725,25,25
1084,725,25,25
1109,725,24,25
1133,725,23,25
1156,725,25,25
1181,725,24,25
1205,725,24,25
1229,725,25,25
0,750,25,25
25,750,25,25
50,750,25,25
75,750,25,25
100,750,25,25
125,750,25,25
150,750,25,25
175,750,25,25
200,750,25,25
225,750,25,25
250,750,25,25
275,750,25,25
300,750,24,25
324,750,25,25
349,750,24,25
373,750,25,25
398,750,25,25
423,750,24,25
447,750,25,25
472,750,25,25
497,750,25,25
522,750,25,25
547,750,25,25
572,750,25,25
597,750,25,25
622,750,25,25
647,750,25,25
672,750,25,25
697,750,25,25
722,750,25,25
747,750,25,25
772,750,25,25
797,750,25,25
822,750,24,25
846,750,25,25
871,750,25,25
896,750,25,25
921,750,26,25
947,750,25,25
972,750,24,25
996,750,25,25
1021,750,26,25
1047,750,24,25
1071,750,25,25
1096,750,26,25
1122,750,26,25
1148,750,25,25
1173,750,25,25
1198,750,24,25
1222,750,24,25
0,775,25,25
25,775,24,25
49,775,25,25
74,775,24,25
98,775,24,25
122,775,25,25
147,775,24,25
171,775,25,25
196,775,27,25
223,775,25,25
248,775,25,25
273,775,25,25
298,775,26,25
324,775,25,25
349,775,24,25
373,775,25,25
398,775,24,25
422,775,25,25
447,775,25,25
472,775,25,25
497,775,25,25
522,775,25,25
547,775,24,25
571,775,25,25
596,775,25,25
621,775,25,25
646,775,24,25
670,775,24,25
694,775,26,25
720,775,25,25
745,775,25,25
770,775,25,25
795,775,25,25
820,775,25,25
845,775,27,25
872,775,25,25
897,775,26,25
923,775,24,25
947,775,25,25
972,775,24,25
996,775,25,25
1021,775,25,25
1046,775,25,25
1071,775,26,25
1097,775,26,25
1123,775,25,25
1148,775,26,25
1174,775,27,25
1201,775,24,25
1225,775,24,25
0,800,22,25
22,800,26,25
48,800,24,25
72,800,23,25
95,800,25,25
120,800,24,25
144,800,25,25
169,800,25,25
194,800,25,25
219,800,24,25
243,800,22,25
265,800,26,25
291,800,24,25
315,800,24,25
339,800,24,25
363,800,25,25
388,800,25,25
413,800,25,25
438,800,25,25
463,800,26,25
489,800,25,25
514,800,25,25
539,800,25,25
564,800,25,25
589,800,26,25
615,800,24,25
639,800,25,25
664,800,24,25
688,800,24,25
712,800,25,25
737,800,26,25
763,800,24,25
787,800,26,25
813,800,22,25
835,800,27,25
862,800,25,25
887,800,23,25
910,800,24,25
934,800,26,25
960,800,29,25
989,800,27,25
1016,800,25,25
1041,800,27,25
1068,800,24,25
1092,800,25,25
1117,800,27,25
1144,800,25,25
1169,800,25,25
1194,800,25,25
1219,800,24,25
0,825,24,25
24,825,25,25
49,825,25,25
74,825,25,25
99,825,25,25
124,825,25,25
149,825,24,25
173,825,25,25
198,825,25,25
223,825,25,25
248,825,24,25
272,825,25,25
297,825,25,25
322,825,25,25
347,825,22,25
369,825,25,25
394,825,25,25
419,825,26,25
445,825,25,25
470,825,24,25
494,825,25,25
519,825,29,25
548,825,23,25
571,825,25,25
596,825,24,25
620,825,25,25
645,825,25,25
670,825,24,25
694,825,25,25
719,825,24,25
743,825,24,25
767,825,25,25
792,825,25,25
817,825,25,25
842,825,25,25
867,825,24,25
891,825,25,25
916,825,26,25
942,825,27,25
969,825,23,25
992,825,25,25
1017,825,23,25
1040,825,24,25
1064,825,26,25
1090,825,26,25
1116,825,27,25
1143,825,27,25
1170,825,25,25
1195,825,23,25
1218,825,27,25
0,850,25,25
25,850,23,25
48,850,24,25
72,850,25,25
97,850,25,25
122,850,25,25
147,850,25,25
172,850,24,25
