id,title,date_earliest,date_latest,duration,production_period_name,production_country,production_region,production_minting_place,nominal,currency
18200034,Ephesos,188,217,29,Römische Kaiserzeit,Türkei,Asia,Ephesos,,
18200035,Bundesrepublik Deutschland: 2004 Europäische Union,2004,2004,0,Moderne seit 1900,Deutschland,Baden-Württemberg,Karlsruhe,10 Euro, Euro
18200036,Pergamon,170,217,47,Römische Kaiserzeit,Türkei,Mysien,Pergamon,,
18200037,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,0,Moderne seit 1900,Deutschland,Brandenburg,Berlin,200 Euro, Euro
18200038,Severus Alexander,208,235,27,Römische Kaiserzeit,Italien,Italia,Rom,Quinar (Gold),Quinar (Gold)
18200039,Herennia Etruscilla,190,251,61,Römische Kaiserzeit,Italien,Italia,Rom,Aureus,Aureus
18200040,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,0,Moderne seit 1900,Deutschland,Brandenburg,Berlin,100 Euro, Euro
18200041,Bundesrepublik Deutschland: 2003 Quedlinburg,1948,2003,55,Moderne seit 1900,Deutschland,Brandenburg,Berlin,100 Euro, Euro
18200042,Bundesrepublik Deutschland: 2004 Bamberg,2004,2004,0,Moderne seit 1900,Deutschland,Brandenburg,Berlin,100 Euro, Euro
18200043,"Faltz, Raimund: Bau der Schloßbrücke",1658,1703,45,Barock,Deutschland,Brandenburg,Berlin,,
18200044,"Faltz, Raimund: Neubau der Berliner Schleuse",1658,1703,45,Barock,Deutschland,Brandenburg,Berlin,,
18200045,Persischer Satrap,-400,-330,70,Klassik,,Persis,,Stater,Stater
18200047,"Faltz, Raimund: Erweiterung der Stadt Berlin",1658,1703,45,Barock,Deutschland,Brandenburg,Berlin,,
18200048,"Faltz, Raimund: Krönung Friedrich I.",1658,1703,45,Barock,Deutschland,Brandenburg,Berlin,48 Dukaten, Dukaten
18200049,Persischer Satrap in Pergamon,-400,-333,67,Klassik,Türkei,Mysien,Pergamon,Diobol,Diobol
18200050,Persischer Satrap: Tissaphernes,-411,-395,16,Klassik,Türkei,Karien,Astyra,,
18200051,"Faltz, Raimund: Preismedaille (?) Akademie der Künste",1658,1703,45,Barock,Deutschland,Brandenburg,Berlin,,
18200053,"Faltz, Raimund: Kurprinz Friedrich Wilhelm (I.)",1658,1703,45,Barock,Deutschland,Brandenburg,Berlin,,
18200054,Diocletianus,245,313,68,Römische Spätantike,Deutschland,Gallia,Trier,Aureus,Aureus
18200055,Commodus,161,192,31,Römische Kaiserzeit,Italien,Italia,Rom,Aureus,Aureus
18200056,Domitianus,51,96,45,Römische Kaiserzeit,Italien,Italia,Rom,Sesterz,Sesterz
18200057,"Faltz, Raimund: Der Schutz Belgiens",1658,1703,45,Barock,Deutschland,Brandenburg,,,
18200058,Divus Augustus,-63,14,77,Römische Kaiserzeit,Italien,Italia,Rom,As,As
18200059,Divus Augustus,-63,14,77,Römische Kaiserzeit,Italien,Italia,Rom,As (halbiert),As (halbiert)
18200060,"Faltz, Raimund: Mars und Minerva (Gründung Universität Halle)",1658,1703,45,Barock,Deutschland,Brandenburg,,,
18200061,"Faltz, Raimund: Borussia (Krönung Friedrichs in Preußen)",1701,1701,0,Barock,Deutschland,Brandenburg,,,
18200062,"Faltz, Raimund: Adlerhorst (Friedrich Wilhelm (I.) als Kurprinz)",1658,1703,45,Barock,Deutschland,Brandenburg,,,
18200063,Bosporos: Rheskouporis III.,208,235,27,Römische Kaiserzeit,Ukraine,Bosporos,,Stater,Stater
18200064,Röm. Republik: C. Calpurnius Piso Frugi,-67,-67,0,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200065,Thrakien: Lysimachi,-297,-200,97,Hellenismus,Türkei,Thrakien,,Tetradrachme,Tetradrachme
18200066,Kaiserreich: 1915 Mansfeld,1859,1936,77,Moderne seit 1900,Deutschland,Brandenburg,Berlin,3 Mark, Mark
18200067,Philippus I.,204,249,45,Römische Kaiserzeit,Italien,Italia,Rom,Doppeldenar,Doppeldenar
18200068,Apameia,190,251,61,Römische Kaiserzeit,Türkei,Phrygien,Apameia (Kibotos),,
18200069,Kaiserreich: Bayern 1918,1845,1921,76,Moderne seit 1900,Deutschland,Bayern,München,3 Mark, Mark
18200070,Pergamon,-123,-67,56,Hellenismus,Türkei,Mysien,Pergamon,Cistophor,Cistophor
18200071,Kaiserreich: Württemberg 1916,1872,1949,77,Moderne seit 1900,Deutschland,Württemberg,Stuttgart,3 Mark, Mark
18200072,Pergamon,189,211,22,Römische Kaiserzeit,Türkei,Mysien,Pergamon,,
18200073,Pergamon,188,217,29,Römische Kaiserzeit,Türkei,Mysien,Pergamon,,
18200074,Kaiserreich: Württemberg 1911,1848,1921,73,Moderne seit 1900,Deutschland,Württemberg,Stuttgart,3 Mark, Mark
18200075,Aspendos,-440,-420,20,Klassik,Türkei,Pamphylien,Aspendos,Stater,Stater
18200076,Seleukiden: Antiochos I.,-324,-261,63,Hellenismus,Irak,Babylonien,Seleukia am Tigris,Tetradrachme,Tetradrachme
18200077,Kaiserreich: Hessen 1904,1872,1943,71,Moderne seit 1900,Deutschland,Brandenburg,Berlin,5 Mark, Mark
18200078,Makedonien: Alexandros III.,-188,-170,18,Hellenismus,Türkei,Ionien,Temnos,Tetradrachme,Tetradrachme
18200079,Side,-300,-100,200,Hellenismus,Türkei,Pamphylien,Side,Tetradrachme,Tetradrachme
18200080,Kaiserreich: Hessen 1917,1874,1943,69,Moderne seit 1900,Deutschland,Hessen,Berlin,3 Mark, Mark
18200081,Augustus,-63,14,77,Römische Kaiserzeit,Frankreich,Gallia,Lyon,As,As
18200082,Claudius,-10,54,64,Römische Kaiserzeit,Italien,Italia,Rom,Sesterz,Sesterz
18200083,Caesarea: Nero,37,68,31,Römische Kaiserzeit,Türkei,Kappadokien,Caesarea (Kayseri),Drachme,Drachme
18200084,Kaiserreich: Mecklenburg-Schwerin 1904,1882,1945,63,Moderne seit 1900,Deutschland,Brandenburg,Berlin,5 Mark, Mark
18200085,Caesarea: Nero,37,68,31,Römische Kaiserzeit,Türkei,Kappadokien,Caesarea (Kayseri),Drachme,Drachme
18200086,Kaiserreich: 1908 Universität Jena,1503,1554,51,Moderne seit 1900,Deutschland,Brandenburg,Berlin,5 Mark, Mark
18200087,Gaza,146,211,65,Römische Kaiserzeit,Palästinensische Autonomiegebiete,Iudaea,Gaza,,
18200088,Kaiserreich: Sachsen-Weimar-Eisenach 1915,1868,1922,54,Moderne seit 1900,Deutschland,Brandenburg,Berlin,3 Mark, Mark
18200089,Pergamon,188,217,29,Römische Kaiserzeit,Türkei,Mysien,Pergamon,,
18200091,Side,221,221,0,Römische Kaiserzeit,Türkei,Pamphylien,Side,5 Assaria, Assaria
18200092,Elektron,-600,-500,100,Archaik,Türkei,Kleinasien,,Stater,Stater
18200093,Elektron,-600,-550,50,Archaik,Türkei,Kleinasien,,1/3 Stater (Trite), Stater (Trite)
18200094,Elektron,-600,-550,50,Archaik,Türkei,Lydien,,1/3 Stater (Trite), Stater (Trite)
18200095,Elektron,-600,-550,50,Archaik,Türkei,Kleinasien,,1/12 Stater (Hemihekte), Stater (Hemihekte)
18200096,Elektron,-600,-550,50,Archaik,Türkei,Kleinasien,,1/12 Stater (Hemihekte), Stater (Hemihekte)
18200097,Elektron,-600,-550,50,Archaik,Türkei,Kleinasien,,1/48 Stater,Stater
18200098,Elektron,-600,-550,50,Archaik,Türkei,Kleinasien,,1/96 Stater,Stater
18200099,Milet,-600,-550,50,Archaik,Türkei,Ionien,Milet,Stater,Stater
18200100,Milet,-600,-550,50,Archaik,Türkei,Ionien,Milet,1/6 Stater (Hekte), Stater (Hekte)
18200101,Elektron,-600,-500,100,Archaik,Türkei,Kleinasien,,1/3 Stater (Trite), Stater (Trite)
18200102,Elektron,-620,-500,120,Archaik,Türkei,Kleinasien,,1/2 Stater (Hemistater), Stater (Hemistater)
18200103,Elektron,-620,-500,120,Archaik,Türkei,Kleinasien,,1/2 Stater (Hemistater), Stater (Hemistater)
18200104,Elektron,-620,-500,120,Archaik,Türkei,Kleinasien,,1/2 Stater (Hemistater), Stater (Hemistater)
18200105,Elektron,-600,-500,100,Archaik,Türkei,Kleinasien,,1/2 Stater (Hemistater), Stater (Hemistater)
18200106,Athen?,-600,-500,100,Archaik,Griechenland,Attika,Athen?,1/12 Stater (Hemihekte), Stater (Hemihekte)
18200107,Kyzikos,-600,-550,50,Archaik,Türkei,Mysien,Kyzikos,Stater,Stater
18200108,Kyzikos,-500,-400,100,Klassik,Türkei,Mysien,Kyzikos,Stater,Stater
18200109,Kyzikos,-500,-400,100,Klassik,Türkei,Mysien,Kyzikos,1/6 Stater (Hekte), Stater (Hekte)
18200110,Chios?,-500,-400,100,Klassik,Griechenland,Ionische Inseln,Chios?,Stater,Stater
18200111,Lampsakos?,-460,-440,20,Klassik,Türkei,Mysien,Lampsakos?,Stater,Stater
18200112,Akragas,-413,-411,2,Klassik,Italien,Sizilien,Akragas,Tetradrachme,Tetradrachme
18200113,Gela,-480,-470,10,Klassik,Italien,Sizilien,Gela,Tetradrachme,Tetradrachme
18200114,Selinunt,-420,-420,0,Klassik,Italien,Sizilien,Selinunt,Tetradrachme,Tetradrachme
18200115,Syrakus,-406,-380,26,Klassik,Italien,Sizilien,Syrakus,100 Litren, Litren
18200116,Weimarer Republik: 1927 Bremerhaven,1865,1954,89,Moderne seit 1900,Deutschland,Brandenburg,Berlin,5 Reichsmark, Reichsmark
18200117,Weimarer Republik: 1927 Nordhausen,895,936,41,Moderne seit 1900,Deutschland,Brandenburg,Berlin,3 Reichsmark, Reichsmark
18200118,Weimarer Republik: 1929 Lessing,1871,1938,67,Moderne seit 1900,Deutschland,Brandenburg,Berlin,5 Reichsmark, Reichsmark
18200119,Syrakus,-380,406,786,Klassik,Italien,Sizilien,Syrakus,100 Litren, Litren
18200120,Syrakus,-400,-370,30,Klassik,Italien,Sizilien,Syrakus,Dekadrachme,Dekadrachme
18200121,Phasis (Kolchis),-494,-400,94,Klassik,Georgien,Kolchis,Phasis (Poti),,
18200122,Pantikapaion,-400,-300,100,Klassik,Ukraine,Taurische Chersonesos,Pantikapaion,Tridrachme,Tridrachme
18200123,Ainos,-478,-450,28,Klassik,Türkei,Thrakien,Ainos,Tetradrachme,Tetradrachme
18200124,Mende,-450,-400,50,Klassik,Griechenland,Makedonien,Mende,Tetradrachme,Tetradrachme
18200125,Makedonien: 1. Meris,-158,-150,8,Hellenismus,Griechenland,Makedonien,Amphipolis,Tetradrachme,Tetradrachme
18200126,Theben,-450,-400,50,Klassik,Griechenland,Böotien,Theben,Stater,Stater
18200127,"Marescotti, Antonio: Antonio Pisano",1395,1455,60,Renaissance,Italien,,,,
18200128,"Pisano, Antonio, gen. Pisanello: Sigismundo Pandolfo Malatesta",1395,1455,60,Renaissance,Italien,,,,
18200129,"Pisano, Antonio, gen. Pisanello: Gianfrancesco Gonzaga",1395,1455,60,Renaissance,Italien,,,,
18200130,Weimarer Republik: 1929 Verfassung,1871,1938,67,Moderne seit 1900,Deutschland,Brandenburg,Berlin,5 Reichsmark, Reichsmark
18200131,Weimarer Republik: 1929 Graf Zeppelin,1896,1955,59,Moderne seit 1900,Deutschland,Brandenburg,Berlin,5 Reichsmark, Reichsmark
18200132,Korinth,-478,-458,20,Klassik,Griechenland,Achaia,Korinth,Stater,Stater
18200133,Aigina,-400,-300,100,Klassik,Griechenland,Attika (Inseln),Aigina,Stater,Stater
18200134,"Pisano, Antonio, gen. Pisanello: Inigo d'Avalos",1395,1455,60,Renaissance,Italien,Kampanien,Neapel,,
18200135,Athen,-506,-490,16,Archaik,Griechenland,Attika,Athen,Tetradrachme,Tetradrachme
18200136,Athen,-480,-404,76,Klassik,Griechenland,Attika,Athen,Tetradrachme,Tetradrachme
18200137,Weimarer Republik: 1930 Walther von der Vogelweide,1896,1957,61,Moderne seit 1900,Deutschland,Württemberg,Stuttgart,3 Reichsmark, Reichsmark
18200138,Aitolische Liga,-220,-196,24,Hellenismus,Griechenland,Aitolien,,Stater,Stater
18200139,Sparta: Kleomenes III.,-254,-219,35,Hellenismus,Griechenland,Lakonien,Sparta,Tetradrachme,Tetradrachme
18200140,Weimarer Republik: 1931 Stein,1871,1938,67,Moderne seit 1900,Deutschland,,Berlin,3 Reichsmark, Reichsmark
18200141,"Pisano, Antonio, gen. Pisanello: Vittorio da Feltre",1395,1455,60,Renaissance,Italien,,,,
18200142,Gortyn,-450,-400,50,Klassik,Griechenland,Kreta,Gortyn,Stater,Stater
18200143,Weimarer Republik: 1932 Goethe,1871,1938,67,Moderne seit 1900,Deutschland,Brandenburg,Berlin,5 Reichsmark, Reichsmark
18200144,Gortyn,-350,-270,80,Hellenismus,Griechenland,Kreta,Gortyn,Stater,Stater
18200145,Phaistos,-400,-300,100,Klassik,Griechenland,Kreta,Phaistos,Stater,Stater
18200147,Melos,-400,-300,100,Klassik,Griechenland,Ägäische Inseln,Melos,1/2 Stater (Hemistater), Stater (Hemistater)
18200148,Kalymna,-560,-540,20,Archaik,Griechenland,Karische Inseln,Kalymna,Stater,Stater
18200149,Rhodos,-408,-395,13,Klassik,Griechenland,Karische Inseln,Rhodos,Tetradrachme,Tetradrachme
18200150,Kyzikos,-550,-480,70,Archaik,Türkei,Mysien,Kyzikos,Stater,Stater
18200151,Kyzikos,-480,-470,10,Klassik,Türkei,Mysien,Kyzikos,Stater,Stater
18200152,Kyzikos,-510,-490,20,Archaik,Türkei,Mysien,Kyzikos,Stater,Stater
18200153,Kyzikos,-480,-410,70,Klassik,Türkei,Mysien,Kyzikos,Stater,Stater
18200154,"Pisano, Antonio, gen. Pisanello: Bellotto Cumano",1395,1455,60,Renaissance,Italien,,,,
18200155,"Pisano, Antonio, gen. Pisanello: Leonello d'Este",1395,1455,60,Renaissance,Italien,,,,
18200156,"Pisano, Antonio, gen. Pisanello: Leonello d'Este",1395,1455,60,Renaissance,Italien,Emilia-Romagna,Ferrara,,
18200157,"Pisano, Antonio, gen. Pisanello: Francesco Sforza",1395,1455,60,Renaissance,Italien,,,,
18200158,Kyzikos,-430,-410,20,Klassik,Türkei,Mysien,Kyzikos,Stater,Stater
18200159,Kyzikos,-450,-400,50,Klassik,Türkei,Mysien,Kyzikos,Stater,Stater
18200160,Milet,-360,-340,20,Klassik,Türkei,Ionien,Milet,Tetradrachme,Tetradrachme
18200161,"Pisano, Antonio, gen. Pisanello: Cecilia Gonzaga",1395,1455,60,Renaissance,Italien,,,,
18200162,"Pisano, Antonio, gen. Pisanello: Niccolò Piccinino",1395,1455,60,Renaissance,Italien,,,,
18200163,Persischer Satrap: Tarkuwarma-Datames,-378,-372,6,Klassik,Türkei,Kilikien,Tarsos,Stater,Stater
18200164,Sidon,-342,-341,1,Klassik,Libanon,Phönizien,Sidon (Saida),Doppelsiglos,Doppelsiglos
18200165,Lykien: Ddänävälä/Ddenevele,-410,-390,20,Klassik,Türkei,Lykien,Telmessos,Stater,Stater
18200166,Lykien: Mithrapata,-385,-370,15,Klassik,Türkei,Lykien,,Stater,Stater
18200167,Drittes Reich: 1933 Luther,1483,1546,63,Moderne seit 1900,Deutschland,Brandenburg,Berlin,5 Reichsmark, Reichsmark
18200168,"Pisano, Antonio, gen. Pisanello: Leonello d'Este",1395,1455,60,Renaissance,Italien,,,,
18200169,"Pisano, Antonio, gen. Pisanello: Lodovico Gonzaga",1395,1455,60,Renaissance,Italien,,,,
18200170,Lykien: Perikles,-375,-362,13,Klassik,Türkei,Lykien,,Stater,Stater
18200171,Makedonien: Amyntas III.,-393,-369,24,Klassik,Griechenland,Makedonien,,Stater (Didrachme),Stater (Didrachme)
18200172,Makedonien: Philippos II.,-359,-336,23,Klassik,Griechenland,Makedonien,Amphipolis,Tetradrachme,Tetradrachme
18200173,Lysimachos,-356,-323,33,Hellenismus,Türkei,Thrakien,Lysimacheia,Stater,Stater
18200174,Makedonien: Demetrios Poliorketes,-291,-283,8,Hellenismus,Griechenland,Makedonien,Amphipolis,Tetradrachme,Tetradrachme
18200175,Makedonien: Philippos V.,-238,-179,59,Hellenismus,Griechenland,Makedonien,,Stater,Stater
18200176,Makedonien: Philippos V.,-238,-179,59,Hellenismus,Griechenland,Makedonien,,Tetradrachme,Tetradrachme
18200177,Ptolemäer: Ptolemaios (I.),-356,-323,33,Hellenismus,Ägypten,Ägypten,Alexandria,Tetradrachme,Tetradrachme
18200178,Ptolemäer: Ptolemaios I.,-356,-323,33,Hellenismus,Ägypten,Ägypten,Alexandria,Stater,Stater
18200179,Ptolemäer: Ptolemaios II.,-367,-282,85,Hellenismus,Ägypten,Ägypten,Alexandria,Pentadrachme (5 Drachmen),Pentadrachme (Drachmen)
18200180,Ptolemäer: Arsinoe II.,-308,-246,62,Hellenismus,Ägypten,Ägypten,Alexandria,Oktodrachme,Oktodrachme
18200181,Ptolemäer: Ptolemaios III.,-284,-222,62,Hellenismus,Ägypten,Ägypten,Alexandria,Oktodrachme,Oktodrachme
18200182,Ptolemäer: Ptolemaios V.,-210,-180,30,Hellenismus,Ägypten,Ägypten,Alexandria,Tetradrachme,Tetradrachme
18200183,Herakleia am Latmos,-170,-140,30,Hellenismus,Türkei,Ionien,Herakleia am Latmos,Tetradrachme,Tetradrachme
18200184,Kyme,-165,-133,32,Hellenismus,Türkei,Aeolis,Kyme,Tetradrachme,Tetradrachme
18200185,Lebedos,-150,-140,10,Hellenismus,Türkei,Ionien,Lebedos,Tetradrachme,Tetradrachme
18200186,Kyrene,-435,-330,105,Klassik,Libyen,Kyrenaika,Kyrene,Stater,Stater
18200187,Barke,-435,-310,125,Klassik,Libyen,Kyrenaika,Barke,Stater,Stater
18200188,Karthago,-350,-270,80,Hellenismus,Tunesien,Zeugitanien,Karthago,Stater,Stater
18200189,Karthago: Sikulopunier,-310,-300,10,Hellenismus,Italien,Sizilien,Karthago?,Tetradrachme,Tetradrachme
18200190,Mauretanien: Iuba II.,-50,23,73,Römische Kaiserzeit,Algerien,Mauretanien,Caesarea (Iol),Denar (ANT),Denar (ANT)
18200191,Bosporos: Asandros,-36,-17,19,Hellenismus,Ukraine,Bosporos,,Stater,Stater
18200192,Kappadokien: Archelaos,-17,17,34,Römische Kaiserzeit,Türkei,Kappadokien,Caesarea (Kayseri),Drachme,Drachme
18200193,Parther: Phraates IV.,-38,-2,36,Römische Kaiserzeit,Iran,Parthien,Laodikeia in Medien,Drachme,Drachme
18200194,Röm. Republik: M. Aurelius Cotta,-139,-139,0,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200195,Röm. Republik: C. Servilius M. filius,-136,-136,0,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200196,Röm. Republik: M. Aurelius Scaurus und L. Licinius und Cn. Domitius,-118,-118,0,Hellenismus,Frankreich,Gallia,Narbonne?,Denar (serratus),Denar (serratus)
18200197,Röm. Republik: N. Fabius Pictor,-126,-126,0,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200198,Röm. Republik: C. Fundanius Q.,-101,-101,0,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200199,Röm. Republik: C. Fundanius,-101,-101,0,Hellenismus,Italien,Italia,Rom,Quinar,Quinar
18200200,Röm. Republik: C. Servilius,-82,-80,2,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200201,Röm. Republik: P. Lepidus und L. Scribonius Libo,-62,-62,0,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200202,Röm. Republik: M. Iunius Brutus,-85,-42,43,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200203,"Pisano, Antonio, gen. Pisanello: Johannes VIII. Palaiologos",1395,1455,60,Renaissance,Italien,,,,
18200204,Röm. Republik: C. Coelius Caldus,-51,-51,0,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200205,Seleukiden: Seleukos I.,-356,-323,33,Hellenismus,Iran,Medien,Ekbatana,Doppeldareike,Doppeldareike
18200206,Seleukiden: Antiochos III.,-242,-187,55,Hellenismus,Irak,Babylonien,Seleukia am Tigris,Oktodrachme,Oktodrachme
18200207,Seleukiden: Antiochos IV.,-170,-164,6,Hellenismus,Israel,Phönizien,Ake-Akkon,Tetradrachme,Tetradrachme
18200208,Seleukiden: Antiochos IV.,-169,-164,5,Hellenismus,Türkei,Syria,Antiochia (Antakya),Tetradrachme,Tetradrachme
18200209,Seleukiden: Kleopatra Thea und Antiochos VIII.,-125,-121,4,Hellenismus,Israel,Phönizien,Ake-Akkon,Tetradrachme,Tetradrachme
18200210,Seleukiden: Antiochos XI. und Philippos I. Philadelphos,-115,-92,23,Hellenismus,Türkei,Kilikien,Tarsos?,Tetradrachme,Tetradrachme
18200211,Syrakus: Hieron II.,-306,-215,91,Hellenismus,Italien,Sizilien,Syrakus,,
18200212,Syrakus: Hieronymos,-215,-214,1,Hellenismus,Italien,Sizilien,Syrakus,10 Litren, Litren
18200213,"Pisano, Antonio, gen. Pisanello: König Alfons V. von Neapel",1395,1455,60,Renaissance,Italien,,,,
18200214,Achulla,-63,14,77,Römische Kaiserzeit,Tunesien,Byzacene,Achulla,,
18200215,Antiochia am Orontes,-47,9,56,Römische Kaiserzeit,Türkei,Syria,Antiochia (Antakya),,
18200216,"Pasti, Matteo de': Benedetto de' Pasti",1420,1468,48,Renaissance,Italien,,,,
18200217,Sparta: Kleomenes III.,-254,-219,35,Hellenismus,Griechenland,Lakonien,Sparta,Tetradrachme,Tetradrachme
18200218,Bithynien: Prusias I.,-229,-182,47,Hellenismus,Türkei,Bithynien,,Tetradrachme,Tetradrachme
18200219,Pontos: Mithradates IV.,-160,-151,9,Hellenismus,Türkei,Pontos,,Tetradrachme,Tetradrachme
18200220,Kappadokien: Orophernes,-159,-157,2,Hellenismus,Türkei,Ionien,Priene?,Tetradrachme,Tetradrachme
18200221,Parther: Mithradates I.,-171,-132,39,Hellenismus,Irak,Babylonien,Seleukia am Tigris,Tetradrachme,Tetradrachme
18200222,Baktrien: Agathokles,-190,-180,10,Hellenismus,Afghanistan,Baktrien,,Tetradrachme,Tetradrachme
18200223,Baktrien: Eukratides I.,-170,-145,25,Hellenismus,Afghanistan,Baktrien,,Drachme,Drachme
18200224,Baktrien: Eukratides I.,-170,-145,25,Hellenismus,Afghanistan,Baktrien,,Tetradrachme,Tetradrachme
18200225,Baktrien: Menandros I.,-155,-130,25,Hellenismus,Afghanistan,Baktrien,,Drachme,Drachme
18200226,Indoskythen: Azilises I.,-51,-35,16,Hellenismus,Pakistan,Kaschmir,Hazara,Tetradrachme,Tetradrachme
18200227,Thraker: Mostis,-130,-100,30,Hellenismus,Bulgarien,Thrakien,,Tetradrachme,Tetradrachme
18200228,Illyrien: Ballaios,-167,-135,32,Hellenismus,,Illyrien,,,
18200229,Bosporos: Pharnakes II.,-53,-47,6,Hellenismus,Ukraine,Bosporos,,Stater,Stater
18200230,"Aiax, Toparch in Kilikien",13,15,2,Römische Kaiserzeit,Türkei,Kilikien,Olba,,
18200231,Kappadokien: Artaxias,18,19,1,Römische Kaiserzeit,Türkei,Kappadokien,Caesarea (Kayseri),Didrachme,Didrachme
18200232,Kommagene: Antiochos IV.,38,72,34,Römische Kaiserzeit,Türkei,Kommagene,,,
18200233,Röm. Republik: M. Lollius Palikanus,-45,-45,0,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200234,Röm. Republik: C. Iulius Caesar und M. Mettius,-100,-44,56,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200235,Röm. Republik: C. Antonius,-43,-43,0,Hellenismus,Griechenland,Makedonien,,Denar (ANT),Denar (ANT)
18200236,Röm. Republik: L. Cestius und C. Norbanus,-43,-43,0,Hellenismus,Italien,Italia,Rom,Aureus,Aureus
18200237,Röm. Republik: L. Mussidius Longus,-42,-42,0,Hellenismus,Italien,Italia,Rom,Aureus,Aureus
18200238,Röm. Republik: L. Mussidius Longus,-42,-42,0,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200239,Röm. Republik: Sex. Pompeius Magnus,-106,-48,58,Hellenismus,Italien,Sizilien,,Denar (serratus),Denar (serratus)
