id,title,date_earliest,date_latest,production_country,production_region,production_minting_place,x,y,width,height
00035,Bundesrepublik Deutschland: 2004 Europäische Union,2004,2004,Deutschland,Baden-Württemberg,Karlsruhe,808,0,31,31
00036,Pergamon,170,217,Türkei,Mysien,Pergamon,839,0,31,31
00037,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,Deutschland,Brandenburg,Berlin,870,0,31,31
00038,Severus Alexander,208,235,Italien,Italia,Rom,901,0,41,31
00039,Herennia Etruscilla,190,251,Italien,Italia,Rom,942,0,31,31
00040,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,Deutschland,Brandenburg,Berlin,973,0,31,31
00041,Bundesrepublik Deutschland: 2003 Quedlinburg,1948,2003,Deutschland,Brandenburg,Berlin,1004,0,31,31
00042,Bundesrepublik Deutschland: 2004 Bamberg,2004,2004,Deutschland,Brandenburg,Berlin,1035,0,31,31
00045,Persischer Satrap,-400,-330,,Persis,,1066,0,31,31
00049,Persischer Satrap in Pergamon,-400,-333,Türkei,Mysien,Pergamon,1097,0,31,31
00050,Persischer Satrap: Tissaphernes,-411,-395,Türkei,Karien,Astyra,1128,0,29,31
00054,Diocletianus,245,313,Deutschland,Gallia,Trier,1157,0,28,31
00055,Commodus,161,192,Italien,Italia,Rom,1185,0,31,31
00056,Domitianus,51,96,Italien,Italia,Rom,1216,0,30,31
00058,Divus Augustus,-63,14,Italien,Italia,Rom,1246,0,31,31
00059,Divus Augustus,-63,14,Italien,Italia,Rom,1277,0,21,31
00063,Bosporos: Rheskouporis III.,208,235,Ukraine,Bosporos,,1298,0,29,31
00064,Röm. Republik: C. Calpurnius Piso Frugi,-67,-67,Italien,Italia,Rom,1327,0,31,31
00065,Thrakien: Lysimachi,-297,-200,Türkei,Thrakien,,1358,0,31,31
00066,Kaiserreich: 1915 Mansfeld,1859,1936,Deutschland,Brandenburg,Berlin,1389,0,31,31
00067,Philippus I.,204,249,Italien,Italia,Rom,1420,0,30,31
00068,Apameia,190,251,Türkei,Phrygien,Apameia (Kibotos),1450,0,31,31
00069,Kaiserreich: Bayern 1918,1845,1921,Deutschland,Bayern,München,1481,0,31,31
00070,Pergamon,-123,-67,Türkei,Mysien,Pergamon,1512,0,29,31
00071,Kaiserreich: Württemberg 1916,1872,1949,Deutschland,Württemberg,Stuttgart,0,31,31,31
00072,Pergamon,189,211,Türkei,Mysien,Pergamon,31,31,29,31
00073,Pergamon,188,217,Türkei,Mysien,Pergamon,60,31,29,31
00074,Kaiserreich: Württemberg 1911,1848,1921,Deutschland,Württemberg,Stuttgart,89,31,31,31
00075,Aspendos,-440,-420,Türkei,Pamphylien,Aspendos,120,31,27,31
00076,Seleukiden: Antiochos I.,-324,-261,Irak,Babylonien,Seleukia am Tigris,147,31,30,31
00077,Kaiserreich: Hessen 1904,1872,1943,Deutschland,Brandenburg,Berlin,177,31,31,31
00078,Makedonien: Alexandros III.,-188,-170,Türkei,Ionien,Temnos,208,31,31,31
00079,Side,-300,-100,Türkei,Pamphylien,Side,239,31,31,31
00080,Kaiserreich: Hessen 1917,1874,1943,Deutschland,Hessen,Berlin,270,31,31,31
00081,Augustus,-63,14,Frankreich,Gallia,Lyon,301,31,32,31
00082,Claudius,-10,54,Italien,Italia,Rom,333,31,31,31
00083,Caesarea: Nero,37,68,Türkei,Kappadokien,Caesarea (Kayseri),364,31,32,31
00084,Kaiserreich: Mecklenburg-Schwerin 1904,1882,1945,Deutschland,Brandenburg,Berlin,396,31,31,31
00085,Caesarea: Nero,37,68,Türkei,Kappadokien,Caesarea (Kayseri),427,31,31,31
00086,Kaiserreich: 1908 Universität Jena,1503,1554,Deutschland,Brandenburg,Berlin,458,31,31,31
00087,Gaza,146,211,Palästinensische Autonomiegebiete,Iudaea,Gaza,489,31,31,31
00088,Kaiserreich: Sachsen-Weimar-Eisenach 1915,1868,1922,Deutschland,Brandenburg,Berlin,520,31,31,31
00089,Pergamon,188,217,Türkei,Mysien,Pergamon,551,31,31,31
00091,Side,221,221,Türkei,Pamphylien,Side,582,31,31,31
00092,Elektron,-600,-500,Türkei,Kleinasien,,613,31,35,31
00093,Elektron,-600,-550,Türkei,Kleinasien,,648,31,32,31
00094,Elektron,-600,-550,Türkei,Lydien,,680,31,36,31
00095,Elektron,-600,-550,Türkei,Kleinasien,,716,31,31,31
00096,Elektron,-600,-550,Türkei,Kleinasien,,747,31,30,31
00097,Elektron,-600,-550,Türkei,Kleinasien,,777,31,30,31
00098,Elektron,-600,-550,Türkei,Kleinasien,,807,31,31,31
00099,Milet,-600,-550,Türkei,Ionien,Milet,838,31,38,31
00100,Milet,-600,-550,Türkei,Ionien,Milet,876,31,36,31
00101,Elektron,-600,-500,Türkei,Kleinasien,,912,31,30,31
00102,Elektron,-620,-500,Türkei,Kleinasien,,942,31,33,31
00103,Elektron,-620,-500,Türkei,Kleinasien,,975,31,32,31
00104,Elektron,-620,-500,Türkei,Kleinasien,,1007,31,33,31
00105,Elektron,-600,-500,Türkei,Kleinasien,,1040,31,33,31
00106,Athen?,-600,-500,Griechenland,Attika,Athen?,1073,31,29,31
00107,Kyzikos,-600,-550,Türkei,Mysien,Kyzikos,1102,31,28,31
00108,Kyzikos,-500,-400,Türkei,Mysien,Kyzikos,1130,31,28,31
00109,Kyzikos,-500,-400,Türkei,Mysien,Kyzikos,1158,31,32,31
00110,Chios?,-500,-400,Griechenland,Ionische Inseln,Chios?,1190,31,29,31
00111,Lampsakos?,-460,-440,Türkei,Mysien,Lampsakos?,1219,31,30,31
00112,Akragas,-413,-411,Italien,Sizilien,Akragas,1249,31,28,31
00113,Gela,-480,-470,Italien,Sizilien,Gela,1277,31,28,31
00114,Selinunt,-420,-420,Italien,Sizilien,Selinunt,1305,31,32,31
00115,Syrakus,-406,-380,Italien,Sizilien,Syrakus,1337,31,30,31
00116,Weimarer Republik: 1927 Bremerhaven,1865,1954,Deutschland,Brandenburg,Berlin,1367,31,31,31
00117,Weimarer Republik: 1927 Nordhausen,895,936,Deutschland,Brandenburg,Berlin,1398,31,31,31
00118,Weimarer Republik: 1929 Lessing,1871,1938,Deutschland,Brandenburg,Berlin,1429,31,31,31
00119,Syrakus,406,-380,Italien,Sizilien,Syrakus,1460,31,31,31
00120,Syrakus,-400,-370,Italien,Sizilien,Syrakus,1491,31,31,31
00121,Phasis (Kolchis),-494,-400,Georgien,Kolchis,Phasis (Poti),1522,31,34,31
00122,Pantikapaion,-400,-300,Ukraine,Taurische Chersonesos,Pantikapaion,0,62,31,31
00123,Ainos,-478,-450,Türkei,Thrakien,Ainos,31,62,30,31
00124,Mende,-450,-400,Griechenland,Makedonien,Mende,61,62,32,31
00125,Makedonien: 1. Meris,-158,-150,Griechenland,Makedonien,Amphipolis,93,62,31,31
00126,Theben,-450,-400,Griechenland,Böotien,Theben,124,62,28,31
00130,Weimarer Republik: 1929 Verfassung,1871,1938,Deutschland,Brandenburg,Berlin,152,62,31,31
00131,Weimarer Republik: 1929 Graf Zeppelin,1896,1955,Deutschland,Brandenburg,Berlin,183,62,31,31
00132,Korinth,-478,-458,Griechenland,Achaia,Korinth,214,62,28,31
00133,Aigina,-400,-300,Griechenland,Attika (Inseln),Aigina,242,62,32,31
00135,Athen,-506,-490,Griechenland,Attika,Athen,274,62,31,31
00136,Athen,-480,-404,Griechenland,Attika,Athen,305,62,31,31
00137,Weimarer Republik: 1930 Walther von der Vogelweide,1896,1957,Deutschland,Württemberg,Stuttgart,336,62,31,31
00138,Aitolische Liga,-220,-196,Griechenland,Aitolien,,367,62,30,31
00139,Sparta: Kleomenes III.,-254,-219,Griechenland,Lakonien,Sparta,397,62,32,31
00140,Weimarer Republik: 1931 Stein,1871,1938,Deutschland,,Berlin,429,62,31,31
00142,Gortyn,-450,-400,Griechenland,Kreta,Gortyn,460,62,31,31
00143,Weimarer Republik: 1932 Goethe,1871,1938,Deutschland,Brandenburg,Berlin,491,62,31,31
00144,Gortyn,-350,-270,Griechenland,Kreta,Gortyn,522,62,30,31
00145,Phaistos,-400,-300,Griechenland,Kreta,Phaistos,552,62,29,31
00147,Melos,-400,-300,Griechenland,Ägäische Inseln,Melos,581,62,31,31
00148,Kalymna,-560,-540,Griechenland,Karische Inseln,Kalymna,612,62,31,31
00149,Rhodos,-408,-395,Griechenland,Karische Inseln,Rhodos,643,62,29,31
00150,Kyzikos,-550,-480,Türkei,Mysien,Kyzikos,672,62,32,31
00151,Kyzikos,-480,-470,Türkei,Mysien,Kyzikos,704,62,31,31
00152,Kyzikos,-510,-490,Türkei,Mysien,Kyzikos,735,62,31,31
00153,Kyzikos,-480,-410,Türkei,Mysien,Kyzikos,766,62,25,31
00158,Kyzikos,-430,-410,Türkei,Mysien,Kyzikos,791,62,25,31
00159,Kyzikos,-450,-400,Türkei,Mysien,Kyzikos,816,62,25,31
00160,Milet,-360,-340,Türkei,Ionien,Milet,841,62,31,31
00163,Persischer Satrap: Tarkuwarma-Datames,-378,-372,Türkei,Kilikien,Tarsos,872,62,31,31
00164,Sidon,-342,-341,Libanon,Phönizien,Sidon (Saida),903,62,32,31
00165,Lykien: Ddänävälä/Ddenevele,-410,-390,Türkei,Lykien,Telmessos,935,62,30,31
00166,Lykien: Mithrapata,-385,-370,Türkei,Lykien,,965,62,33,31
00167,Drittes Reich: 1933 Luther,1483,1546,Deutschland,Brandenburg,Berlin,998,62,31,31
00170,Lykien: Perikles,-375,-362,Türkei,Lykien,,1029,62,30,31
00171,Makedonien: Amyntas III.,-393,-369,Griechenland,Makedonien,,1059,62,28,31
00172,Makedonien: Philippos II.,-359,-336,Griechenland,Makedonien,Amphipolis,1087,62,29,31
00173,Lysimachos,-356,-323,Türkei,Thrakien,Lysimacheia,1116,62,30,31
00174,Makedonien: Demetrios Poliorketes,-291,-283,Griechenland,Makedonien,Amphipolis,1146,62,30,31
00175,Makedonien: Philippos V.,-238,-179,Griechenland,Makedonien,,1176,62,30,31
00176,Makedonien: Philippos V.,-238,-179,Griechenland,Makedonien,,1206,62,30,31
00177,Ptolemäer: Ptolemaios (I.),-356,-323,Ägypten,Ägypten,Alexandria,1236,62,32,31
00178,Ptolemäer: Ptolemaios I.,-356,-323,Ägypten,Ägypten,Alexandria,1268,62,30,31
00179,Ptolemäer: Ptolemaios II.,-367,-282,Ägypten,Ägypten,Alexandria,1298,62,32,31
00180,Ptolemäer: Arsinoe II.,-308,-246,Ägypten,Ägypten,Alexandria,1330,62,30,31
00181,Ptolemäer: Ptolemaios III.,-284,-222,Ägypten,Ägypten,Alexandria,1360,62,32,31
00182,Ptolemäer: Ptolemaios V.,-210,-180,Ägypten,Ägypten,Alexandria,1392,62,32,31
00183,Herakleia am Latmos,-170,-140,Türkei,Ionien,Herakleia am Latmos,1424,62,31,31
00184,Kyme,-165,-133,Türkei,Aeolis,Kyme,1455,62,31,31
00185,Lebedos,-150,-140,Türkei,Ionien,Lebedos,1486,62,30,31
00186,Kyrene,-435,-330,Libyen,Kyrenaika,Kyrene,0,93,32,31
00187,Barke,-435,-310,Libyen,Kyrenaika,Barke,32,93,29,31
00188,Karthago,-350,-270,Tunesien,Zeugitanien,Karthago,61,93,31,31
00189,Karthago: Sikulopunier,-310,-300,Italien,Sizilien,Karthago?,92,93,29,31
00190,Mauretanien: Iuba II.,-50,23,Algerien,Mauretanien,Caesarea (Iol),121,93,31,31
00191,Bosporos: Asandros,-36,-17,Ukraine,Bosporos,,152,93,31,31
00192,Kappadokien: Archelaos,-17,17,Türkei,Kappadokien,Caesarea (Kayseri),183,93,32,31
00193,Parther: Phraates IV.,-38,-2,Iran,Parthien,Laodikeia in Medien,215,93,32,31
00194,Röm. Republik: M. Aurelius Cotta,-139,-139,Italien,Italia,Rom,247,93,31,31
00195,Röm. Republik: C. Servilius M. filius,-136,-136,Italien,Italia,Rom,278,93,31,31
00196,Röm. Republik: M. Aurelius Scaurus und L. Licinius und Cn. Domitius,-118,-118,Frankreich,Gallia,Narbonne?,309,93,30,31
00197,Röm. Republik: N. Fabius Pictor,-126,-126,Italien,Italia,Rom,339,93,32,31
00198,Röm. Republik: C. Fundanius Q.,-101,-101,Italien,Italia,Rom,371,93,30,31
00199,Röm. Republik: C. Fundanius,-101,-101,Italien,Italia,Rom,401,93,29,31
00200,Röm. Republik: C. Servilius,-82,-80,Italien,Italia,Rom,430,93,30,31
00201,Röm. Republik: P. Lepidus und L. Scribonius Libo,-62,-62,Italien,Italia,Rom,460,93,30,31
00202,Röm. Republik: M. Iunius Brutus,-85,-42,Italien,Italia,Rom,490,93,32,31
00204,Röm. Republik: C. Coelius Caldus,-51,-51,Italien,Italia,Rom,522,93,32,31
00205,Seleukiden: Seleukos I.,-356,-323,Iran,Medien,Ekbatana,554,93,33,31
00206,Seleukiden: Antiochos III.,-242,-187,Irak,Babylonien,Seleukia am Tigris,587,93,30,31
00207,Seleukiden: Antiochos IV.,-170,-164,Israel,Phönizien,Ake-Akkon,617,93,33,31
00208,Seleukiden: Antiochos IV.,-169,-164,Türkei,Syria,Antiochia (Antakya),650,93,33,31
00209,Seleukiden: Kleopatra Thea und Antiochos VIII.,-125,-121,Israel,Phönizien,Ake-Akkon,683,93,31,31
00210,Seleukiden: Antiochos XI. und Philippos I. Philadelphos,-115,-92,Türkei,Kilikien,Tarsos?,714,93,28,31
00211,Syrakus: Hieron II.,-306,-215,Italien,Sizilien,Syrakus,742,93,30,31
00212,Syrakus: Hieronymos,-215,-214,Italien,Sizilien,Syrakus,772,93,30,31
00214,Achulla,-63,14,Tunesien,Byzacene,Achulla,802,93,31,31
00215,Antiochia am Orontes,-47,9,Türkei,Syria,Antiochia (Antakya),833,93,34,31
00217,Sparta: Kleomenes III.,-254,-219,Griechenland,Lakonien,Sparta,867,93,31,31
00218,Bithynien: Prusias I.,-229,-182,Türkei,Bithynien,,898,93,33,31
00219,Pontos: Mithradates IV.,-160,-151,Türkei,Pontos,,931,93,32,31
00220,Kappadokien: Orophernes,-159,-157,Türkei,Ionien,Priene?,963,93,31,31
00221,Parther: Mithradates I.,-171,-132,Irak,Babylonien,Seleukia am Tigris,994,93,32,31
00222,Baktrien: Agathokles,-190,-180,Afghanistan,Baktrien,,1026,93,31,31
00223,Baktrien: Eukratides I.,-170,-145,Afghanistan,Baktrien,,1057,93,33,31
00224,Baktrien: Eukratides I.,-170,-145,Afghanistan,Baktrien,,1090,93,31,31
00225,Baktrien: Menandros I.,-155,-130,Afghanistan,Baktrien,,1121,93,32,31
00226,Indoskythen: Azilises I.,-51,-35,Pakistan,Kaschmir,Hazara,1153,93,30,31
00227,Thraker: Mostis,-130,-100,Bulgarien,Thrakien,,1183,93,30,31
00228,Illyrien: Ballaios,-167,-135,,Illyrien,,1213,93,30,31
00229,Bosporos: Pharnakes II.,-53,-47,Ukraine,Bosporos,,1243,93,32,31
00230,"Aiax, Toparch in Kilikien",13,15,Türkei,Kilikien,Olba,1275,93,31,31
00231,Kappadokien: Artaxias,18,19,Türkei,Kappadokien,Caesarea (Kayseri),1306,93,32,31
00232,Kommagene: Antiochos IV.,38,72,Türkei,Kommagene,,1338,93,33,31
00233,Röm. Republik: M. Lollius Palikanus,-45,-45,Italien,Italia,Rom,1371,93,32,31
00234,Röm. Republik: C. Iulius Caesar und M. Mettius,-100,-44,Italien,Italia,Rom,1403,93,30,31
00235,Röm. Republik: C. Antonius,-43,-43,Griechenland,Makedonien,,1433,93,31,31
00236,Röm. Republik: L. Cestius und C. Norbanus,-43,-43,Italien,Italia,Rom,1464,93,31,31
00237,Röm. Republik: L. Mussidius Longus,-42,-42,Italien,Italia,Rom,1495,93,32,31
00238,Röm. Republik: L. Mussidius Longus,-42,-42,Italien,Italia,Rom,1527,93,31,31
00239,Röm. Republik: Sex. Pompeius Magnus,-106,-48,Italien,Sizilien,,0,124,30,31
00240,Röm. Republik: C. Numonius Vaala,-41,-41,Italien,Italia,Rom,30,124,31,31
00241,Röm. Republik: C. Numonius Vaala,-41,-41,Italien,Italia,Rom,61,124,33,31
00242,"Röm. Republik: M. Barbatius Pollio, M. Antonius und C. Iulius Caesar (Octavianus)",-83,-30,Türkei,Kleinasien,,94,124,31,31
00243,"Röm. Republik: M. Barbatius Pollio, M. Antonius und C. Iulius Caesar (Octavianus)",-83,-30,Türkei,Kleinasien,,125,124,29,31
00244,Augustus,-63,14,Frankreich,Gallia,Lyon,154,124,31,31
00245,Augustus,-63,14,Frankreich,Gallia,Lyon,185,124,32,31
00246,Nero,37,68,Italien,Italia,Rom,217,124,31,31
00247,Elis,-360,-340,Griechenland,Elis,Elis,248,124,31,31
00248,Nero,37,68,Frankreich,Gallia,Lyon,279,124,32,31
00249,Domitianus,51,96,Italien,Italia,Rom,311,124,30,31
00250,Domitianus,51,96,Italien,Italia,Rom,341,124,31,31
00251,Nerva,30,98,Italien,Italia,Rom,372,124,30,31
00252,Nerva,30,98,Italien,Italia,Rom,402,124,31,31
00253,Traianus,53,117,Italien,Italia,Rom,433,124,31,31
00254,Traianus,53,117,Italien,Italia,Rom,464,124,31,31
00255,Diva Marciana,53,112,Italien,Italia,Rom,495,124,31,31
00256,Diva Matidia,76,138,Italien,Italia,Rom,526,124,31,31
00257,Hadrianus,76,138,Italien,Italia,Rom,557,124,31,31
00258,Hadrianus,76,138,Italien,Italia,Rom,588,124,31,31
00259,Antoninus Pius,86,161,Italien,Italia,Rom,619,124,31,31
00260,Antoninus Pius,86,161,Italien,Italia,Rom,650,124,31,31
00261,Diva Faustina (Maior),86,161,Italien,Italia,Rom,681,124,33,31
00262,Diva Faustina (Maior),86,161,Italien,Italia,Rom,714,124,30,31
00263,Antoninus Pius,86,161,Italien,Italia,Rom,744,124,30,31
00264,Marcus Aurelius,121,180,Italien,Italia,Rom,774,124,30,31
00265,Marcus Aurelius,121,180,Italien,Italia,Rom,804,124,31,31
00266,Marcus Aurelius,121,180,Italien,Italia,Rom,835,124,30,31
00267,Commodus,161,192,Italien,Italia,Rom,865,124,30,31
00268,Commodus,161,192,Italien,Italia,Rom,895,124,30,31
00269,Septimius Severus,146,211,Italien,Italia,Rom,925,124,30,31
00270,Septimius Severus,146,211,Italien,Italia,Rom,955,124,32,31
00271,Iulia Domna,170,217,Italien,Italia,Rom,987,124,31,31
00272,Iulia Domna,170,217,Italien,Italia,Rom,1018,124,31,31
00273,Macrinus,164,218,Italien,Italia,Rom,1049,124,31,31
00274,Macrinus,164,218,Italien,Italia,Rom,1080,124,31,31
00275,Elagabalus,203,222,Italien,Italia,Rom,1111,124,29,31
00276,Elagabalus,203,222,Italien,Italia,Rom,1140,124,31,31
00278,Iulia Mamaea,208,235,Italien,Italia,Rom,1171,124,32,31
00279,Iulia Mamaea,208,235,Italien,Italia,Rom,1203,124,29,31
00280,Maximinus Thrax,172,238,Italien,Italia,Rom,1232,124,31,31
00281,Maximinus Thrax,172,238,Italien,Italia,Rom,1263,124,31,31
00282,Gordianus III.,225,244,Italien,Italia,Rom,1294,124,31,31
00283,Gordianus III.,225,244,Italien,Italia,Rom,1325,124,32,31
00284,Traianus Decius,190,251,Italien,Italia,Rom,1357,124,30,31
00285,Traianus Decius,190,251,Italien,Italia,Rom,1387,124,32,31
00286,Gallienus,213,268,Italien,Italia,Rom,1419,124,31,31
00287,Gallienus,213,268,Italien,Italia,Rom,1450,124,30,31
00294,Constantinus I.,316,337,Italien,Italia,Ticinum-Pavia,1480,124,31,31
00295,Spotttaler auf das Augsburger Interim,1549,1549,Deutschland,Ostfriesland,Jever,1511,124,31,31
00296,Constantinus I.,320,337,Großbritannien,Britannien,London,0,155,30,31
00297,Constantinus I.,318,337,Italien,Italia,Ticinum-Pavia,30,155,31,31
00298,Constantinus I.,319,337,Kroatien,Pannonien,Siscia (Sisak),61,155,33,31
00299,Constantinus II.,317,340,Griechenland,Makedonien,Thessaloniki,94,155,32,31
00300,Constantinus I.,327,337,Türkei,Thrakien,Konstantinopolis (Istanbul),126,155,32,31
00301,Constantinus I.,334,337,Italien,Italia,Aquileia,158,155,31,31
00302,Constantinus II.,317,340,Kroatien,Pannonien,Siscia (Sisak),189,155,29,31
00303,Constans,320,350,Italien,Italia,Aquileia,218,155,31,31
00304,Constantius II.,317,361,Italien,Italia,Rom,249,155,32,31
00305,Magnentius,301,353,Deutschland,Gallia,Trier,281,155,31,31
00306,Constantius II.,317,361,Deutschland,Gallia,Trier,312,155,30,31
00307,Vetranio,350,356,Kroatien,Pannonien,Siscia (Sisak),342,155,31,31
00308,Vetranio,350,356,Kroatien,Pannonien,Siscia (Sisak),373,155,30,31
00309,Valentinianus I.,321,375,Türkei,Oriens,Antiochia (Antakya),403,155,31,31
00310,Valens,328,378,Frankreich,Gallia,Arles,434,155,31,31
00311,Valentinianus I.,321,375,Deutschland,Gallia,Trier,465,155,31,31
00312,Valens,328,378,Türkei,Oriens,Antiochia (Antakya),496,155,32,31
00313,Aelia Flaccilla,347,386,Türkei,Thrakien,Konstantinopolis (Istanbul),528,155,32,31
00314,Aelia Eudoxia,377,404,Türkei,Thrakien,Konstantinopolis (Istanbul),560,155,31,31
00315,Arcadius,377,408,Türkei,Thrakien,Konstantinopolis (Istanbul),591,155,30,31
00316,Honorius,384,423,Türkei,Thrakien,Konstantinopolis (Istanbul),621,155,31,31
00317,Honorius,384,423,Italien,Italia,Ravenna,652,155,32,31
00318,Ptolemäer: Ptolemaios II.,-367,-282,Libanon,Phönizien,Tyros (Sur),684,155,31,31
00319,Syrakus: Hieronymos,-215,-214,Italien,Sizilien,Syrakus,715,155,31,31
00320,Septimius Severus,146,211,Italien,Italia,Rom,746,155,30,31
00321,Persischer Satrap: Pixodaros,-340,-334,Türkei,Karien,,776,155,30,31
00322,Elis,-350,-323,Griechenland,Elis,Elis,806,155,31,31
00323,Tenedos,-189,-100,Türkei,Inseln der Troas,Tenedos,837,155,30,31
00324,Samos,213,268,Griechenland,Ionische Inseln,Samos,867,155,30,31
00325,Faustina (Minor),121,180,Italien,Italia,Rom,897,155,31,31
00326,Röm. Republik: L. Roscius Fabatus,-64,-64,Italien,Italia,Rom,928,155,31,31
00327,Velia,-340,-310,Italien,Lukanien,Velia,959,155,32,31
00328,Athen,-136,-135,Griechenland,Attika,Athen,991,155,32,31
00329,Makedonien: Antigonos Gonatas,-319,-239,Griechenland,Makedonien,Amphipolis,1023,155,31,31
00330,Hadrianus,76,138,Italien,Italia,Rom,1054,155,31,31
00331,Pergamon,-336,-320,Türkei,Mysien,Pergamon,1085,155,31,31
00332,Poseidonia,-530,-500,Italien,Lukanien,Poseidonia-Paestum,1116,155,31,31
00333,Brettii,-210,-210,Italien,Bruttium,Lokroi Epizephyrioi,1147,155,31,31
00334,Rhaukos,-320,-270,Griechenland,Kreta,Rhaukos,1178,155,30,31
00335,Hadrianus,76,138,Italien,Italia,Rom,1208,155,31,31
00336,Kuschan: Vasudeva I.,190,225,Afghanistan,Gandhara,,1239,155,31,31
00337,Syros,-150,-150,Griechenland,Ägäische Inseln,Syros,1270,155,29,31
00338,Metapont,-375,-375,Italien,Lukanien,Metapont,1299,155,32,31
00339,Kyzikos,-390,-340,Türkei,Mysien,Kyzikos,1331,155,32,31
00340,Sabina,86,136,Italien,Italia,Rom,1363,155,31,31
00348,Kyzikos,86,161,Türkei,Mysien,Kyzikos,1394,155,32,31
00349,Katane,-415,-404,Italien,Sizilien,Katane,1426,155,29,31
00350,Abdera,-475,-450,Griechenland,Thrakien,Abdera,1455,155,30,31
00351,Kroton,-350,-300,Italien,Bruttium,,1485,155,31,31
00352,Antoninus Pius,86,161,Italien,Italia,Rom,1516,155,29,31
00353,Myrina,-150,-150,Türkei,Aeolis,Myrina,0,186,31,31
00354,Aitolische Liga,-220,-196,Griechenland,Aitolien,,31,186,30,31
00355,Ephesos,-258,-202,Türkei,Ionien,Ephesos,61,186,32,31
00356,Selinunt,-470,-440,Italien,Sizilien,Selinunt,93,186,30,31
00357,Hadrianus,76,138,Italien,Italia,Rom,123,186,32,31
00358,Pergamon,213,268,Türkei,Mysien,Pergamon,155,186,30,31
00359,Maroneia,-189,-45,Griechenland,Thrakien,Maroneia,185,186,31,31
00360,Röm. Republik: L. Cassius Longinus,-78,-78,Italien,Italia,Rom,216,186,32,31
00376,Naxos,-430,-420,Italien,Sizilien,Naxos,248,186,31,31
00377,Naxos,-530,-490,Italien,Sizilien,Naxos,279,186,32,31
00378,Röm. Republik: M. Antonius,-83,-30,Türkei,Ionien,Ephesos?,311,186,31,31
00379,Knidos,-465,-449,Türkei,Karien,Knidos,342,186,33,31
00381,Eryx,-410,-400,Italien,Sizilien,Eryx,375,186,32,31
00403,Deutsche Demokratische Republik: 1966 Leibniz,1933,2011,Deutschland,Brandenburg,Berlin,407,186,31,31
00406,Deutsche Demokratische Republik: 1966 Schinkel,1936,2014,Deutschland,Brandenburg,Berlin,438,186,31,31
00417,Theodosius II.,401,450,Türkei,Thrakien,Konstantinopolis (Istanbul),469,186,31,31
00418,Valentinianus III.,419,455,Türkei,Thrakien,Konstantinopolis (Istanbul),500,186,30,31
00419,Valentinianus III.,419,455,Italien,Italia,Ravenna,530,186,31,31
00420,Valentinianus III.,419,455,Italien,Italia,Ravenna,561,186,31,31
00421,Valentinianus III.,419,455,Italien,Italia,Rom?,592,186,31,31
00422,Licinia Eudoxia,422,493,Italien,Italia,Ravenna,623,186,31,31
00423,Galla Placidia,419,450,Italien,Italia,Ravenna,654,186,31,31
00424,Galla Placidia,419,450,Italien,Italia,Ravenna,685,186,31,31
