id,last_name,first_name,date_earliest,date_latest
2e9f6bc11d,,"Ernst Ludwig (1892-1918), Großherzog von Hessen",1868,1937
f0c4a28ec5,,"Philipp I. (1509-1567), Landgraf von Hessen",1504,1567
b5d191ac8c,Otto,Schultz,1848,1911
52dc92de85,Heinrich,Jobst,1874,1943
3cdc1c9328,Reinhard,Kullrich,1869,1947
3fc033f8b3,,Claudius,-10,54
9ef9557539,,Nero,37,68
5461db7034,,Agrippina (minor),15,59
242bb25e55,,"Friedrich Franz IV. (1897-1918), Großherzog von Mecklenburg-Schwerin",1882,1945
6c4aca7973,,"Alexandra (1904-1918), Großherzogin von Mecklenburg-Schwerin",1882,1963
e686ad2586,,"Johann Friedrich I. (1532-1547), Kurfürst von Sachsen",1503,1554
626a665149,,"Wilhelm Ernst (1901-1918), Großherzog von Sachsen-Weimar",1876,1923
f9b5381aa1,Georg,Roemer,1868,1922
76607d6d1a,,"Karl August (1758-1828), Herzog von Sachsen-Weimar-Eisennach, seit 1815 Großherzog",1757,1828
e8de0dafcd,,Marcus Caerelius Attalos,,
3763cfc913,,Annia Faustina,,
77076f0161,,Euainetos,,
5c594b45e6,Maximilian,Dasio,1865,1954
a0f46794d0,,"Heinrich I. (912-936), König seit 919, seit 912 Herzog von Sachsen",,936
809de456b5,,"Mathilde (919-936), Königin",895,968
52ca5356e2,Rudolf,Bosselt,1871,1938
51ce393a75,Gotthold Ephraim,Lessing,1729,1781
cccdcacc49,Paul von,Hindenburg,1847,1934
fee7665729,Franz,Krischker,1896,1955
64b1d1a139,Eddy,Smith,1896,1957
289101046e,,Walther von der Vogelweide,1170,1230
eebd44daaf,,Kleomenes III.,-254,-219
7b968b7d2c,Heinrich Friedrich Karl vom und zum,Stein,1757,1831
bfa5ed3fc4,Johann Wolfgang von,Goethe,1749,1832
1ce58941d3,,Demainos,,
2dfb044222,,Tarkuwarma-Datames,,
d117cc57b6,,"ʿAbd ʿAshtart III., König von Sidon",,
06d7d33912,,Ddänävälä/Ddenevele,,
a14470c033,,Mithrapata,,
135ef795af,Martin,Luther,1483,1546
e3ceb0b294,Hans,Wissel,1897,1948
c1adecb95a,,Rößler,,
c6d81d74b5,,Perikles,,
810bfdc32d,,Amyntas III.,,
5c10fcee32,,Philippos II.,,-336
faa15c9870,,Alexandros III. von Makedonien,-356,-323
dfa7af6a60,,Lysimachos,-361,-281
451e4bf146,,Demetrios Poliorketes,,-283
a9af077864,,Philippos V.,-238,-179
e723245158,,Ptolemaios I. Soter,-367,-282
765d2b5387,,Ptolemaios II. Philadelphos,-308,-246
12acf1d202,,Arsinoe II.,,
2621b5e141,,Ptolemaios III. Euergetes I.,-284,-222
5b1cbacde2,,Ptolemaios IV. Philopator,-245,-204
ed63491d39,,Ptolemaios V. Epiphanes Eucharistos,-210,-180
cb1a0e7a28,,Kallias (1),,
9ad81ec978,,Athenaios,,
b45bb50d63,,Akesis,,
a0579f2054,,"Iuba II. (25 v.-23 n. Chr.), König von Mauretanien",-50,23
5cfc58340c,,Kleopatra Selene,-40,
8c2904883e,,Asandros,,-17
6be77dd4b2,,Archelaos Philopator,,17
d2f6357999,,Phraates IV. (38-2 v. Chr.),,
fdfa677845,,Marcus Aurelius Cotta,,
2437452779,,Gaius Servilius M. F.,,
4942955334,,Marcus Aurelius Scaurus,,
d3ccb6346f,,Gnaeus Domitius (1),,
e830f1bc04,,Lucius Licinius (Crassus),,
051458c90b,,Numerius Fabius Pictor,,
7c434329b3,,Gaius Fundanius Q.,,
7480edff46,,Gaius Serveilius,,
f8de9ecac6,,Lucius Aemilius Lepidus Paullus,,
3a24933834,,Lucius Scribonius Libo,,
22bd161aef,,Gaius Servilius Ahala,,
a04e181d23,,Lucius Iunius Brutus,,
73c25e871f,,Marcus Iunius Brutus,-85,-42
9065a8c5ba,,Gaius Coelius Caldus (1),,
0d1a3cf45e,,Gaius Coelius Caldus (2),,
2fa7b811da,,Seleukos I. Nikator,-358,-281
0189eca383,,Antiochos III.,-242,-187
5ab31cbd7c,,Antiochos IV.,,-164
981fb88181,,Kleopatra Thea,,-121
634433779f,,Antiochos VIII.,,-96
612c4315ca,,Antiochos XI.,,-92
9eb79fef26,,Philippos I. Philadelphos,-115,-83
e3af96a089,,Hieron II.,-306,-215
3e763594fe,,Hieronymos (1),,-214
e1178f8a0c,,Lucius Caesar,-17,2
e068185113,,Gaius Caesar,-20,4
3faa123253,,Publius Quinctilius Varus,-47,9
575a0844a8,,Prusias I.,,-182
9f2971efcf,,Mithradates IV. von Pontos,,
480e082d7c,,Orophernes,,
9d89bd7a76,,Mithradates I. (171-138 v. Chr.),,-132
fa76bc0046,,Euthydemos I.,,
82eb0e3ed1,,Agathokles von Baktrien,,
a42e13511b,,Eukratides I.,,
18be147ef4,,Menandros I. von Baktrien,,
521ece555d,,Azilises I.,,
d69ecfaf54,,Mostis,,
b67c5895f2,,Ballaios,,
b9dc3e62a2,,Pharnakes II.,,-47
2460f62d7f,,"Ajax, Sohn des Teukros",,
b08c07f2d4,,Germanicus,,19
50dc058f8f,,Artaxias III. von Armenien,,35
1102531406,,"Antiochos IV. (38-72 n. Chr.), König von Kommagene",,
88f976057e,,Lollius Palikanus,,
636b844bcc,,Gaius Iulius Caesar,-100,-44
fb907b886c,,Marcus Mettius,,
c602f93fb8,,Gaius Antonius,,
8557c2511f,,Lucius Cestius,,
4c2dcc12f1,,Gaius Norbanus,,
ced59b4125,,Lucius Mussidius T. f. Longus,,
c0e68c7e05,,Gnaeus Pompeius Magnus,-106,-48
fc7daf747a,,Sextus Pompeius Magnus,-67,-35
5cd551a18c,,Gaius Numonius Vaala,,
6fa38e0737,,Marcus Antonius,-83,-30
e832d5470d,,Marcus Barbatius Pollio,,
da516e3fe6,,Nerva,30,98
ff54c2b743,,Traianus,53,117
9aec026c2f,,Ulpia Marciana,,112
ddf82afdf1,,Matidia,,
f8e838afcf,,Hadrianus,76,138
902ea5e4d4,,Antoninus Pius,86,161
84f7fd2e45,,Faustina (maior),,
4faccef8d2,,Faustina (minor),,
82993df79b,,Macrinus,164,218
9dfdab781b,,Elagabalus,203,222
d2a9e3e588,,Iulia Mamaea,,235
232b3dac56,,Maximinus Thrax,172,238
ed116ca99b,,Gallienus,213,268
08b129bfd9,,Constantinus I.,,337
e450c8cad2,,Jesus Christus,,
4aecb9dead,,Constantinus II.,317,340
87732e75b8,,Constans,320,350
f82675c840,,Constantius II.,317,361
371c3fc140,,Magnentius,301,353
4f7fe48e73,,Vetranio,,356
1bee9c9564,,Valentinianus I.,321,375
c2868a12c8,,Valens,328,378
7de7664e89,,Aelia Flaccilla,,386
df9a17052f,,Theodosius I.,347,395
1bfdeb0106,,Aelia Eudoxia,,404
53cd372b3d,,Arcadius,377,408
a924994455,,Honorius,384,423
7e91a86d1a,,Pixodaros,,
a67bf294d8,,Lucius Roscius Fabatus,,
4445d14925,,Kleudoros,,
3022148186,,Aristoph...,,
06382a5959,,Hera...,,
ea6ce699fb,,Philo...,,
a2733d9ab2,,Antigonos Gonatas,-319,-239
10df7384fe,,Vasudeva I.,,
114e8c2b27,,Aristoxenos,,
47082baf7c,,Sabina,86,136
d81e20b66a,,Herakleidas,,
bdccf3657f,,Metrophanes,,
c67689a5c0,,Sextus Claudius Silianus,,
e81f476bca,,Lucius Cassius Longinus,,
fbf844b863,,Octavia (minor),-69,-11
4a79260dc6,Dietrich,Dorfstecher,1933,2011
4432b62671,Gerhard,Rommel,1934,2014
76e45ffe48,Gottfried Wilhelm,Leibniz,1646,1716
e501cf3d40,Axel,Bertram,1936,
e13eba845a,Karl Friedrich,Schinkel,1781,1841
b93dc1f99b,,Theodosius II.,401,450
f79a99b3a7,,Valentinianus III.,419,455
681e07b73c,,Licinia Eudoxia,422,493
ad74675ba7,,Galla Placidia,,450
ad12de0926,,Leo I.,,474
14d393e7f5,,Anthemius,,472
00b7dfc02d,,Seleukos VI. Epiphanes Nikator,-120,-95
47dffaff71,,Lucius Memmius Galeria,,
a024313245,,Gaius Considius Nonianus,,
115c3a2ede,,P. Carisius,,
27a545e4b0,,Titus,39,81
762a331273,,Ba`lshallim I.,,
c1624c01dd,Wilfried,Fitzenreiter,1932,2008
53b3ac7337,H.,Polkehn,,
a27d45d74c,,"Friedrich III. (1486-1525), Kurfürst von Sachsen",1463,1525
e24aafba39,,"Friedrich August III. (1904-1918), König von Sachsen",1865,1932
3ccf6fa2a7,Friedrich Wilhelm (Fritz),Hörnlein,1873,1945
76dfd743c7,,Titus Carisius,,
0753f1c99a,Karl,Roth,,
b5e7b1cabd,Alfons,Feuerle,1885,1968
5702c55d76,Johann Christoph Friedrich von,Schiller,1759,1805
f92981298b,Karl,Föll,,
506356fb9e,Friedrich Wilhelm Heinrich,Fischer,1879,1944
030a77d2ba,Hans Joachim,Dobler,,
ce93b4d16a,Frantisek,Chochola,1943,
c76408820f,,Lucius Aurelius Cotta,,
f3c9a72b79,,Lucilla,149,181
3251048308,,Gaius Mamilius Limetanus,,
9bad4c9d20,,Numerianus,253,284
c5ea678039,,Constantinus III.,,411
1367f8531e,,Priscus Attalus,,
262f7a656f,,Iovinus,,413
c0af43fd27,,Caligula (Gaius Caesar Germanicus),12,41
6bd52a97cf,,Antonia (minor),-36,37
90fe868551,,"Johann Friedrich II. (1554-1567), Herzog von Sachsen",1529,1595
578bb0e964,,Iohannes,,425
8c0ef822b6,,Aelia Eudocia,,460
2d7469591b,,Iusta Grata Honoria,417,455
4ab2abc910,,Petronius Maximus,396,455
c48ae76f0e,,Marcianus,,457
4881035f21,,Aelia Pulcheria,399,453
6a77ba1fea,,Avitus,385,457
7bafe882fd,,Maioranus,,461
deafe9e3f4,Christoph Friedrich von,Lattorf,1696,1762
ee84fad8f2,,Aelia Verina,,484
74d332fc4b,,Libius Severus,,465
305b31a425,,Glycerius,,
c57ceec31a,,Iulius Nepos,,480
46bf821037,,Romulus (Augustulus),,
8688f30265,,Zeno,,491
1ab4d42bff,,Leo II.,467,474
74f979bc0e,,Basiliscus,,476
28526925fd,,Marcus,,476
a2c85d65ee,,Ariadne,450,515
b52399418d,,"Albrecht VII. (1480-1560), Graf von Mansfeld",1480,1560
5ceede9b5f,,Otho,32,69
b25f88f948,,Vespasianus,9,79
6846e3e239,,Domitia Longina,,
22cac5679d,,Titus Claudius Aristeas,,
521b33540a,,Quintus Aelius Lamia,,
1cd1aefcda,,Publius Licinius Stolo,,
ea0d8b420c,,Aulus Licinius Nerva Silianus,,
dd5c14e452,,Regulus,,
520b2597d3,,Taurus,,
c27481eecb,,Pulcher,,
8804278e14,,Homer,,
7c347d2210,,Claudius Rufinus Sophistes,,
c841e7b32d,,Valerianus I.,200,262
770ad33f78,,Pythagoras,-570,-510
564aa56326,,Herodot,,
aa3b3228e1,,Tacitus,200,276
8dc6d373f8,,Salonina,,268
10e71d9750,,Egnatia Mariniana,,253
e9cc32d260,,Galerius Maximianus,250,311
79de8e3fb7,,Lucius Verus,130,169
349dbf43c1,,Pertinax,126,193
8b71a28342,,Valerianus II.,,258
16a7e1ac03,,Saloninus,,260
cbbd203c78,,Claudius Gothicus,214,270
6efc171011,,Quintillus,,270
94a11f0b1f,,Aurelianus,214,275
dfd2174014,,Diadumenianus,208,218
d860c54445,,Sallustia Orbiana,,
1603704d13,,Otacilia Severa,,249
8a525f7fba,,Ulpia Severina,,
5363b76285,,Philippus II.,237,249
03480f0d33,,Trebonianus Gallus,206,253
4ebaeb6b7d,,Vaballathus,,273
a46b8201e9,,Florianus,,276
cd5b4961f2,,Probus,232,282
903b65ac29,,Carus,223,283
22e857eb2a,,Carinus,250,285
3366b67a9d,,Magnia Urbica,,
994ac4c7b1,,Nigrinianus,,284
ea1f1a9166,,Maximianus Herculius,250,310
7b121cfb31,,Alexandros I. (498-454 v. Chr.) von Makedonien,,-454
6280cf3848,,Uranius Antoninus,,
37ad206150,,Macrianus (Minor),,261
68f10abaf1,,Quietus,,261
471946d3c4,,Constantius I.,250,306
a629799b9d,,Fausta,,326
858fbce048,Anna W.,Williams,,
afa225e52b,,Marcus Ambibulus,,
e72cdab42d,,"Victoria (1837-1901), Königin von Großbritannien, seit 1877 Kaiserin von Indien",1819,1901
3828704b8c,,Crispus,300,326
ad71323072,,"Friedrich Wilhelm (1640-1688), der Große Kurfürst",1620,1688
e1aec2b401,,"Alexej Michailowitsch (1645-1676), Zar von Russland",1629,1676
8eaf66aa29,David,Koch,,1650
189720b14c,Hans,Weizelmann,,
8c445ac168,,"Stephan (1505-1526), Graf von Schlick",,1526
0ee063c0f1,,"Mutsuhito (1868-1912), Ära Meiji, Kaiser von Japan",1852,1912
8b35493c03,,Publius Claudius Attalos,,
7cbbb64f9c,,Zosimos Philopator,,
65fcd2c2e7,,Antinoos,110,130
bc6b046f67,,Antiochos,,
a33d7fcbe8,,"Philipp II. (1556-1598), König von Spanien, seit 1580 als Philipp I. König von Portugal",1527,1598
1b197a705c,,"Maria Theresia (1740-1780), Königin von Ungarn und Böhmen, Kaiserin",1717,1780
47a134f629,,"Milo (722/723-761/762), Bischof von Trier und 714-744 Reims",,762
e9ef033d56,,Donesiphoros,,
d070a35cf7,,"Albrecht II. Alcibiades (1527-1554), Markgraf von Brandenburg-Kulmbach",1522,1557
4d633adda7,Johann,Hille,,
f96035579a,,"Christian IV. (1588-1648), König von Dänemark und Norwegen, Herzog von Schleswig-Holstein",1577,1648
5d927444c8,,"Philipp Reinhard, Graf von Solms, Dänischer Statthalter in Wolfenbüttel",1593,1635
85c7855b80,,"Ludwig Friedrich (1710-1759), Herzog von Sachsen-Hildburghausen",1710,1759
b1731784ba,,"Ferdinand I. (1521-1564), Erzherzog, seit 1531 König und seit 1558 Kaiser",1503,1564
e24e007151,William,Wyon,1795,1851
9de0d5970d,,Gratianus,359,383
629e7e7994,Liborius,Müller,,
64fd3dfd70,,"Georg Wilhelm (1619-1640), Kurfürst von Brandenburg",,1640
2c808b8433,,Huvishka,,
59328e51c0,,Vima Taktu,,
c74b7ad300,Andreas,Schele,,
b228f526f9,,"Philipp II. (1606-1618), Herzog von Pommern-Stettin",1573,1618
a93c4c7b00,,"Philipp III. (1598-1621), König von Spanien, als Philipp II. König von Portugal",1578,1621
2b9b0fadba,,Magnus Maximus,335,388
3e685eaede,,Severus II.,,307
f24dfeaf9f,,Maximinus Daia,,313
7cdb4e9828,,Iulianus,331,363
77714a14ed,,"Johann Wilhelm (1592-1609), Herzog von Jülich, Kleve und Berg",1562,1609
122dfdb1f5,,"Beatrix II. (1138-1160), Äbtissin",,1160
3f293c082f,,"Meregart (1160-1161), Äbtissin",,
472a3edcd5,,"Adelheid III. (1161-1184), Äbtissin",1130,1184
62264cab58,,"Albrecht der Bär (1123-1170), seit 1134 Markgraf der Nordmark",,1170
93ea0086ca,,"Sophie, Markgräfin von Anhalt",,1160
17f590d567,,"Ulrich (1149-1160, 1177-1180), Bischof von Halberstadt",,1180
c387f61378,,"Bernhard (1170-1212), Graf, seit 1180 Herzog von Sachsen",,1212
dd709cc172,,"Walter II. (1133-1166), Graf von Arnstein",,
d068d78a05,,"Burchard II. (1142-1174), Graf",,
273d73fdfc,,"Heinrich der Löwe (1142-1180), Herzog von Sachsen, seit 1156 Herzog von Bayern",1129,1195
0a648f2656,,"Heribert I. (1183-1199), Abt",,
5ef6e74e18,,"Wichmann (1149-1192), 1149-1154 Bischof von Naumburg, seit 1154 Erzbischof von Magdeburg",,1192
3cf9660ed7,,"Johann (1151-1170), Bischof von Merseburg",,
346fdaf082,,"Berthold I. (1154-1161), Bischof von Naumburg",,1161
6a38bbb274,,"Radboto (1168-1181), Abt von Pegau",,1181
6661d774e4,,"Jacza von Köpenick (1150-1176?), slawischer Fürst",,
45e4d01ef8,,"Otto I. (1153/1157-1184), Markgraf von Brandenburg",1124,1184
623a0d495d,,Maxentius,,312
5f3c46da7b,,Valerius Romulus,294,309
a779d16ac3,,Galeria Valeria,,314
19d8ac543d,,Licinius I.,265,325
1fd4f9042f,,Licinius II.,315,326
17c196ab59,,Lucius Cornelius Lentulus (3),,
26657470bb,,Hekatomnos,,
412f0a0383,,Pharnabazos,,-373
cccd05301c,,"Themistokles, attischer Staatsmann und persischer Satrap",-525,-459
b48ed2afc6,,"Konrad (1123-1156), Markgraf von Meißen",,1157
d0f021a096,,"Otto der Reiche (1156-1190), Markgraf von Meißen",,1190
a3121eacf2,,"Dietrich (1158-1185), Markgraf von der Ostmark/Lausitz",1142,1185
bfaf7ab487,,"Ludwig III. (1172-1190), Landgraf",,
95d8e4ba26,,"Christian (1165-1183), Erzbischof von Mainz",,1183
b64473a9e0,,"Cäcilia (um 1140-1160), Äbtissin",,
3a61ed2c57,,"Rainald von Dassel (1159-1167), Erzbischof von Köln",1114,1167
3ef235dea1,,"Engilrich, Abt",,
671833d442,,"Konrad III. (1138-1152), König",1093,1152
a7d769de52,,"Adela von Vohburg (1152-1153), Königin",1128,1187
ebf1889c31,,"Friedrich I. Barbarossa (1152-1190), König, seit 1155 Kaiser",1122,1190
9e1403fa45,,"Burchard (1168-1176), Abt",,
7919d2cebc,,"Siegfried (1180-1200), Abt von Hersfeld",,
3ea67a8636,,"Gertrud (um 1180), Äbtissin",,
afb4e0b370,,"Beatrix (1156-1184), Kaiserin",1140,1184
97bb0692af,,"Kuno (1151-1212), Herr von Minzenberg",,
85bc0a77da,,Helena,250,329
d3440db30e,,"Heinrich I. (1247-1308), Landgraf von Hessen",1244,1308
0b3195f33d,,"Udalschalk (1184-1202), Bischof von Augsburg",,1202
2e4a29abad,,"Heinrich VI. (1169-1197), König, seit 1191 Kaiser, seit 1194 König von Sizilien",1165,1197
a94ae6085d,,"Friedrich II. (1197-1250), König von Sizilien, seit 1212 deutscher König, seit 1220 Kaiser",1194,1250
e464f5ed77,,Delmatius,,337
6e7be15d41,,Hannibalianus,,337
573931b5bc,,Flavia Maximiana Theodora,,
25f520d27e,,Titus Annius Rufus,,
16e63bca2c,,Gaius Curiatius Trigeminus,,
4c76277974,,Lucius Iulius,,
a9d0ce4600,Gotthard,Martinengo,,
16ceb7dbcf,,"Klemens Wenzel von Sachsen (1768-1802), Erzbischof von Trier",1739,1812
095616b82b,,Flavius Victor,,388
f3fd7ec4cc,,"Pius VI. (1775-1799), Papst",1717,1799
eb8d25d1bf,Robert,Scot,,
a591291472,Adam Heinrich von,Ehrenberg,,
84c92da0bb,,"Friedrich II. (1740-1786), König in, seit 1772 von Preußen",1712,1786
9924dc6087,Johan Sebastian van,Namen,,
150b42c9bc,Johan Wilhelm,Marmé,,
c1318436f2,,"Johann V. Flugi von Aspermont (1601-1627), Bischof von Chur",1550,1627
5c2472ac78,Christian,Gobrecht,,
f1d5252f3c,,"Johann Georg (1603-1618), Fürst von Anhalt-Dessau",1567,1618
57f75cc8a7,,"August (1611-1653), Fürst von Anhalt-Plötzkau",1575,1653
8f57057810,,"Rudolf (1606-1621), Fürst von Anhalt-Zerbst",1576,1621
980e5bf463,,"Ludwig I. (1606-1650), Fürst von Anhalt-Köthen",1579,1650
f3e59e1363,,"Christian I. (1606-1630), Fürst von Anhalt-Bernburg",1568,1630
a0da42b6cf,Johann (Hans),Jakob,,1635
d20dc9fe1d,,Constantius Gallus,325,354
c6e3ef54e5,,Iovianus,331,364
3227b4d918,,"Ludwig VIII. (1739-1768), Landgraf von Hessen-Darmstadt",1698,1768
8628970b6c,,"Küchler, Conrad Heinrich",,
0400438d66,,"Ludwig XIII. (1610-1643), König von Frankreich",1601,1643
ff38510762,Jean,Warin,1607,1672
99ececbeda,,"August III. (1733-1763), König von Polen, als Friedrich August II. Kurfürst von Sachsen",1696,1763
1d43010856,,"Isabella II. (1833-1868), Königin von Spanien",1830,1904
6249c36035,,"Georg V. (1910-1936), König von Großbritannien",1865,1936
27f2fe7582,,Brenet,,
63dc2f9bb3,,"Napoleon Bonaparte (1799-1815), 1799-1804 Erster Konsul, 1804-1814, 1815 als Napoleon I. Kaiser der Franzosen",1769,1821
ddf1f06e5d,Charles-Pierre de,l'Espine,,
20a3d221cb,Pierre-Joseph,Tiolier,1763,1819
d3df869727,,"Joachim II. (1535-1571), Kurfürst von Brandenburg",1505,1571
2c8e4faf51,,"Joachim I. (1499-1535), Kurfürst von Brandenburg",1484,1535
cf5b9d313a,,"Albrecht (1513-1545), Administrator von Halberstadt, Erzbischof von Magdeburg und Mainz, Kardinal, Markgraf von Brandenburg seit 1499",1490,1545
293a112986,,Tiberius Veturius Sempronianus,,
ea62ab5cdb,,Sextus Pompeius,,
4ba74ee9b1,,Gaius Minucius Augurinus,,
6118f202fd,,Marcus Caecilius Q. f. Q. n. Metellus,,
159a0b68c1,,Gaius Caecilius Metellus,,
71491ea8fb,,Marcus Furius L. f. Philus,,
4c03d70c49,,Marcus Sergius Silus,,
67b2faf901,,Manius Aemilius Lepidus,,
46377d3809,,Valentinianus II.,371,392
6b308ec6fb,,Diodotos (Tryphon),,-138
b3478888a0,,"Timarchos (ca. 164-161 v. Chr.), seleukidischer Usurpator",,-160
bc33ce7170,,Diodotos II.,,
4004220a87,,Mithradates IV. (ca. 128-147 n. Chr.),,
2d048c5ff1,,Clodius Albinus,147,197
013fad9f41,,Pescennius Niger,135,194
6b4a8120c4,,Pacatianus,,248
061a290b17,,Regalianus,,260
31da104a0d,,Sulpicia Dryantilla,,
4fe5d24226,,Postumus,,269
0b2128d1b4,,Vasudeva II.,,
f9eedfd139,,"Wilhelm I. (1815-1840), König der Niederlande",1772,1843
23a754bd5f,,"Friedrich II. (1760-1785), Landgraf von Hessen",1720,1785
7bf32fbc75,,Laelianus,,269
2c445081ef,,"Friedrich Eugen (1795-1797), Herzog von Württemberg",1732,1797
70cb712beb,,"Betulius, Johann Gottfried",,
2afef7fdcc,,"Peter I. (1689-1725), Zar von Russland",,1725
278b616952,,"Ferdinand von Österreich (1790-1824), 1803-1805 Herzog von Salzburg, 1806-1814 Großherzog von Würzburg und 1790-1801, 1814-1824 der Toskana, 1803-1806 Kurfürst",1769,1824
5de6627a5d,,"Wilhelm I. (1816-1864), König von Württemberg",1781,1864
7d62547f8d,,Marius,,269
bb066a781e,,"Ludwig XVI. (1774-1793), König von Frankreich, seit 1791 König der Franzosen",1754,1793
c47ceba3f4,Francois,Séguy,,
36294345e9,Benjamin,Duvivier,1730,1819
3f6ce04dc2,Augustin,Dupré,1748,1833
35fbe9ea41,,"Ludwig XIV. (1643-1715), König von Frankreich",1638,1715
e9b20255b9,Nikolaus,Wintgens,,
c254ea2a19,,"Anton Günther (1603-1667), Graf von Oldenburg und seit 1647 Delmenhorst",1583,1667
5e663925af,,Victorinus,,271
bed26798cf,,Tetricus I.,,
55972858d5,,Tetricus II.,,
5bab3b635a,,Odovacar (476-493),,493
0088b35b9b,,Anastasius I. (491-518),,518
20ac8321cc,,Theoderich (493-526),454,526
2715bbc1d5,,Justinus I. (518-527),,527
b7d5b4b2a1,,Justinianus I. (527-565),,565
bdc53aa943,,Athalarich (526-534),516,534
1feb134394,,Zenobia,,272
069f4badc5,,Theodahat (534-536),,536
1c0baf63b4,,Witigis (536-540),,
2e5809279a,,Baduila/Totila (541-552),,552
fccd2e4903,,Theia/Teja (552),,
6bf01f83d6,,Aurelius Iulianus,,285
3731468231,,Carausius,,293
f8adf2aa09,,Allectus,,296
16084244be,,Domitius Domitianus,,297
c380d1b007,,Domitius Alexander,,310
7bfe90c29d,,Valerius Valens,,317
ba381aaaaf,,"Stephan I. Uroš (1243-1276), König von Raszien und Serbien",1220,1277
e1db3e174f,,"Friedrich II. (1323-1349), Markgraf von Meißen und Landgraf von Thüringen",1310,1349
59fe1517c1,,Publius Licinius Nerva,,
30075ce48f,,Decentius,,353
e9c8fe9ad0,,"Karl XV. (1859-1872), König von Schweden",1826,1872
7e4a97d45f,,Nepotianus,,350
78e7fe79e1,,"Christian Wilhelm (1608-1631), Markgraf von Brandenburg, Erzbischof seit 1598, Administrator seit 1614 des Erzbistums Magdeburg, 1624 Administrator des Bistums Halberstadt",1587,1665
4adb387fa9,Anton der Jüngere,Koburger,,
8b0943d8cf,,Lucius Caesius,,
ac7997036c,,Procopius,,366
ce53ce954d,,"Albert VII. von Österreich (1599-1621), Herzog von Burgund, spanischer Statthalter der Niederlande",1559,1621
36cdd05a1e,,"Elisabeth (Isabella Clara Eugenia) (1599-1633), spanische Statthalterin der Niederlande",1566,1633
c6670bc386,,Lucius Memmius,,
b757f5d8a2,,"Wilhelm I. (1861-1888), König von Preußen, seit 1871 deutscher Kaiser",1797,1888
f1f0f455a1,,Manius Fonteius,,
9c2ba11f8e,Johann,Dittmar,,
c7ffcde1cc,,Gaius Sulpicius Galba,,
2a46e0e7ce,Jean-Auguste,Barre,1811,1896
7bf875550b,,Domard,,
783c82c35b,,Quintus Minucius M. f. Thermus,,
b06fa23351,,"Hieronymus Napoleon (1807-1813), König von Westfalen",1784,1860
731cee35d1,,Quintus Servilius Caepio,,
23d8e580be,,Lucius Calpurnius Piso Caesoninus,,
450c28ba23,,"Wenzel II. (1278-1305), König von Böhmen, seit 1300 als Wenzel I. König von Polen",1271,1305
