id,title,date_earliest,date_latest,thumb_vs,production_country,production_region,production_minting_place,x,y,width,height
00030,Gordianus III.,225,244,http://ww2.smb.museum/mk_edit/images/n0/30/vs_thumb.jpg,Italien,Italia,Rom,885,0,39,40
00031,Axum: Ouazebas,390,410,http://ww2.smb.museum/mk_edit/images/n0/31/vs_thumb.jpg,Äthiopien,Axum,Axum,924,0,39,40
00033,Bundesrepublik Deutschland: 2000 10 Jahre Deutsche Einheit,1942,2000,http://ww2.smb.museum/mk_edit/images/n0/33/vs_thumb.jpg,Deutschland,Bayern,München,963,0,39,40
00034,Ephesos,188,217,http://ww2.smb.museum/mk_edit/images/n0/34/vs_thumb.jpg,Türkei,Asia,Ephesos,1002,0,39,40
00035,Bundesrepublik Deutschland: 2004 Europäische Union,2004,2004,http://ww2.smb.museum/mk_edit/images/n0/36/vs_thumb.jpg,Deutschland,Baden-Württemberg,Karlsruhe,1041,0,39,40
00036,Pergamon,170,217,http://ww2.smb.museum/mk_edit/images/n0/38/vs_thumb.jpg,Türkei,Mysien,Pergamon,1080,0,40,40
00037,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,http://ww2.smb.museum/mk_edit/images/n0/39/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,1120,0,39,40
00038,Severus Alexander,208,235,http://ww2.smb.museum/mk_edit/images/n0/41/vs_thumb.jpg,Italien,Italia,Rom,1159,0,56,40
00039,Herennia Etruscilla,190,251,http://ww2.smb.museum/mk_edit/images/n0/43/vs_thumb.jpg,Italien,Italia,Rom,1215,0,40,40
00040,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,http://ww2.smb.museum/mk_edit/images/n0/45/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,1255,0,40,40
00041,Bundesrepublik Deutschland: 2003 Quedlinburg,1948,2003,http://ww2.smb.museum/mk_edit/images/n0/44/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,1295,0,39,40
00042,Bundesrepublik Deutschland: 2004 Bamberg,2004,2004,http://ww2.smb.museum/mk_edit/images/n0/46/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,1334,0,39,40
00045,Persischer Satrap,-400,-330,http://ww2.smb.museum/mk_edit/images/n0/35/vs_thumb.jpg,,Persis,,1373,0,40,40
00049,Persischer Satrap in Pergamon,-400,-333,http://ww2.smb.museum/mk_edit/images/n0/50/vs_thumb.jpg,Türkei,Mysien,Pergamon,1413,0,41,40
00050,Persischer Satrap: Tissaphernes,-411,-395,http://ww2.smb.museum/mk_edit/images/n0/55/vs_thumb.jpg,Türkei,Karien,Astyra,1454,0,37,40
00054,Diocletianus,245,313,http://ww2.smb.museum/mk_edit/images/n0/40/vs_thumb.jpg,Deutschland,Gallia,Trier,1491,0,35,40
00055,Commodus,161,192,http://ww2.smb.museum/mk_edit/images/n0/62/vs_thumb.jpg,Italien,Italia,Rom,1526,0,40,40
00056,Domitianus,51,96,http://ww2.smb.museum/mk_edit/images/n0/56/vs_thumb.jpg,Italien,Italia,Rom,1566,0,39,40
00058,Divus Augustus,-63,14,http://ww2.smb.museum/mk_edit/images/n0/64/vs_thumb.jpg,Italien,Italia,Rom,1605,0,40,40
00059,Divus Augustus,-63,14,http://ww2.smb.museum/mk_edit/images/n0/42/vs_thumb.jpg,Italien,Italia,Rom,1645,0,25,40
00063,Bosporos: Rheskouporis III.,208,235,http://ww2.smb.museum/mk_edit/images/n0/68/vs_thumb.jpg,Ukraine,Bosporos,,1670,0,37,40
00064,Röm. Republik: C. Calpurnius Piso Frugi,-67,-67,http://ww2.smb.museum/mk_edit/images/n0/69/vs_thumb.jpg,Italien,Italia,Rom,1707,0,40,40
00065,Thrakien: Lysimachi,-297,-200,http://ww2.smb.museum/mk_edit/images/n0/71/vs_thumb.jpg,Türkei,Thrakien,,1747,0,41,40
00066,Kaiserreich: 1915 Mansfeld,1859,1936,http://ww2.smb.museum/mk_edit/images/n0/73/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,1788,0,40,40
00067,Philippus I.,204,249,http://ww2.smb.museum/mk_edit/images/n0/74/vs_thumb.jpg,Italien,Italia,Rom,1828,0,39,40
00068,Apameia,190,251,http://ww2.smb.museum/mk_edit/images/n0/75/vs_thumb.jpg,Türkei,Phrygien,Apameia (Kibotos),1867,0,40,40
00069,Kaiserreich: Bayern 1918,1845,1921,http://ww2.smb.museum/mk_edit/images/n0/76/vs_thumb.jpg,Deutschland,Bayern,München,1907,0,40,40
00070,Pergamon,-123,-67,http://ww2.smb.museum/mk_edit/images/n0/77/vs_thumb.jpg,Türkei,Mysien,Pergamon,1947,0,38,40
00071,Kaiserreich: Württemberg 1916,1872,1949,http://ww2.smb.museum/mk_edit/images/n0/78/vs_thumb.jpg,Deutschland,Württemberg,Stuttgart,0,40,40,40
00072,Pergamon,189,211,http://ww2.smb.museum/mk_edit/images/n0/79/vs_thumb.jpg,Türkei,Mysien,Pergamon,40,40,38,40
00073,Pergamon,188,217,http://ww2.smb.museum/mk_edit/images/n0/80/vs_thumb.jpg,Türkei,Mysien,Pergamon,78,40,38,40
00074,Kaiserreich: Württemberg 1911,1848,1921,http://ww2.smb.museum/mk_edit/images/n0/81/vs_thumb.jpg,Deutschland,Württemberg,Stuttgart,116,40,40,40
00075,Aspendos,-440,-420,http://ww2.smb.museum/mk_edit/images/n0/82/vs_thumb.jpg,Türkei,Pamphylien,Aspendos,156,40,34,40
00076,Seleukiden: Antiochos I.,-324,-261,http://ww2.smb.museum/mk_edit/images/n0/83/vs_thumb.jpg,Irak,Babylonien,Seleukia am Tigris,190,40,39,40
00077,Kaiserreich: Hessen 1904,1872,1943,http://ww2.smb.museum/mk_edit/images/n0/84/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,229,40,40,40
00078,Makedonien: Alexandros III.,-188,-170,http://ww2.smb.museum/mk_edit/images/n0/85/vs_thumb.jpg,Türkei,Ionien,Temnos,269,40,40,40
00079,Side,-300,-100,http://ww2.smb.museum/mk_edit/images/n0/86/vs_thumb.jpg,Türkei,Pamphylien,Side,309,40,40,40
00080,Kaiserreich: Hessen 1917,1874,1943,http://ww2.smb.museum/mk_edit/images/n0/87/vs_thumb.jpg,Deutschland,Hessen,Berlin,349,40,40,40
00081,Augustus,-63,14,http://ww2.smb.museum/mk_edit/images/n0/88/vs_thumb.jpg,Frankreich,Gallia,Lyon,389,40,41,40
00082,Claudius,-10,54,http://ww2.smb.museum/mk_edit/images/n0/89/vs_thumb.jpg,Italien,Italia,Rom,430,40,41,40
00083,Caesarea: Nero,37,68,http://ww2.smb.museum/mk_edit/images/n0/90/vs_thumb.jpg,Türkei,Kappadokien,Caesarea (Kayseri),471,40,41,40
00084,Kaiserreich: Mecklenburg-Schwerin 1904,1882,1945,http://ww2.smb.museum/mk_edit/images/n0/91/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,512,40,40,40
00085,Caesarea: Nero,37,68,http://ww2.smb.museum/mk_edit/images/n0/92/vs_thumb.jpg,Türkei,Kappadokien,Caesarea (Kayseri),552,40,40,40
00086,Kaiserreich: 1908 Universität Jena,1503,1554,http://ww2.smb.museum/mk_edit/images/n0/93/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,592,40,40,40
00087,Gaza,146,211,http://ww2.smb.museum/mk_edit/images/n0/94/vs_thumb.jpg,Palästinensische Autonomiegebiete,Iudaea,Gaza,632,40,40,40
00088,Kaiserreich: Sachsen-Weimar-Eisenach 1915,1868,1922,http://ww2.smb.museum/mk_edit/images/n0/95/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,672,40,40,40
00089,Pergamon,188,217,http://ww2.smb.museum/mk_edit/images/n0/96/vs_thumb.jpg,Türkei,Mysien,Pergamon,712,40,40,40
00091,Side,221,221,http://ww2.smb.museum/mk_edit/images/n0/98/vs_thumb.jpg,Türkei,Pamphylien,Side,752,40,40,40
00092,Elektron,-600,-500,http://ww2.smb.museum/mk_edit/images/n0/99/vs_thumb.jpg,Türkei,Kleinasien,,792,40,47,40
00093,Elektron,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/100/vs_thumb.jpg,Türkei,Kleinasien,,839,40,41,40
00094,Elektron,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/101/vs_thumb.jpg,Türkei,Lydien,,880,40,48,40
00095,Elektron,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/102/vs_thumb.jpg,Türkei,Kleinasien,,928,40,40,40
00096,Elektron,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/103/vs_thumb.jpg,Türkei,Kleinasien,,968,40,38,40
00097,Elektron,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/104/vs_thumb.jpg,Türkei,Kleinasien,,1006,40,39,40
00098,Elektron,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/105/vs_thumb.jpg,Türkei,Kleinasien,,1045,40,40,40
00099,Milet,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/106/vs_thumb.jpg,Türkei,Ionien,Milet,1085,40,51,40
00100,Milet,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/107/vs_thumb.jpg,Türkei,Ionien,Milet,1136,40,48,40
00101,Elektron,-600,-500,http://ww2.smb.museum/mk_edit/images/n0/108/vs_thumb.jpg,Türkei,Kleinasien,,1184,40,38,40
00102,Elektron,-620,-500,http://ww2.smb.museum/mk_edit/images/n0/109/vs_thumb.jpg,Türkei,Kleinasien,,1222,40,44,40
00103,Elektron,-620,-500,http://ww2.smb.museum/mk_edit/images/n0/110/vs_thumb.jpg,Türkei,Kleinasien,,1266,40,41,40
00104,Elektron,-620,-500,http://ww2.smb.museum/mk_edit/images/n0/111/vs_thumb.jpg,Türkei,Kleinasien,,1307,40,43,40
00105,Elektron,-600,-500,http://ww2.smb.museum/mk_edit/images/n0/112/vs_thumb.jpg,Türkei,Kleinasien,,1350,40,44,40
00106,Athen?,-600,-500,http://ww2.smb.museum/mk_edit/images/n0/113/vs_thumb.jpg,Griechenland,Attika,Athen?,1394,40,37,40
00107,Kyzikos,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/114/vs_thumb.jpg,Türkei,Mysien,Kyzikos,1431,40,35,40
00108,Kyzikos,-500,-400,http://ww2.smb.museum/mk_edit/images/n0/115/vs_thumb.jpg,Türkei,Mysien,Kyzikos,1466,40,36,40
00109,Kyzikos,-500,-400,http://ww2.smb.museum/mk_edit/images/n0/116/vs_thumb.jpg,Türkei,Mysien,Kyzikos,1502,40,42,40
00110,Chios?,-500,-400,http://ww2.smb.museum/mk_edit/images/n0/70/vs_thumb.jpg,Griechenland,Ionische Inseln,Chios?,1544,40,37,40
00111,Lampsakos?,-460,-440,http://ww2.smb.museum/mk_edit/images/n0/117/vs_thumb.jpg,Türkei,Mysien,Lampsakos?,1581,40,39,40
00112,Akragas,-413,-411,http://ww2.smb.museum/mk_edit/images/n0/72/vs_thumb.jpg,Italien,Sizilien,Akragas,1620,40,35,40
00113,Gela,-480,-470,http://ww2.smb.museum/mk_edit/images/n0/118/vs_thumb.jpg,Italien,Sizilien,Gela,1655,40,35,40
00114,Selinunt,-420,-420,http://ww2.smb.museum/mk_edit/images/n0/119/vs_thumb.jpg,Italien,Sizilien,Selinunt,1690,40,42,40
00115,Syrakus,-406,-380,http://ww2.smb.museum/mk_edit/images/n0/120/vs_thumb.jpg,Italien,Sizilien,Syrakus,1732,40,39,40
00116,Weimarer Republik: 1927 Bremerhaven,1865,1954,http://ww2.smb.museum/mk_edit/images/n0/121/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,1771,40,39,40
00117,Weimarer Republik: 1927 Nordhausen,895,936,http://ww2.smb.museum/mk_edit/images/n0/122/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,1810,40,40,40
00118,Weimarer Republik: 1929 Lessing,1871,1938,http://ww2.smb.museum/mk_edit/images/n0/123/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,1850,40,40,40
00119,Syrakus,406,-380,http://ww2.smb.museum/mk_edit/images/n0/124/vs_thumb.jpg,Italien,Sizilien,Syrakus,1890,40,40,40
00120,Syrakus,-400,-370,http://ww2.smb.museum/mk_edit/images/n0/125/vs_thumb.jpg,Italien,Sizilien,Syrakus,1930,40,40,40
00121,Phasis (Kolchis),-494,-400,http://ww2.smb.museum/mk_edit/images/n0/126/vs_thumb.jpg,Georgien,Kolchis,Phasis (Poti),1970,40,45,40
00122,Pantikapaion,-400,-300,http://ww2.smb.museum/mk_edit/images/n0/127/vs_thumb.jpg,Ukraine,Taurische Chersonesos,Pantikapaion,0,80,41,40
00123,Ainos,-478,-450,http://ww2.smb.museum/mk_edit/images/n0/128/vs_thumb.jpg,Türkei,Thrakien,Ainos,41,80,39,40
00124,Mende,-450,-400,http://ww2.smb.museum/mk_edit/images/n0/129/vs_thumb.jpg,Griechenland,Makedonien,Mende,80,80,41,40
00125,Makedonien: 1. Meris,-158,-150,http://ww2.smb.museum/mk_edit/images/n0/130/vs_thumb.jpg,Griechenland,Makedonien,Amphipolis,121,80,40,40
00126,Theben,-450,-400,http://ww2.smb.museum/mk_edit/images/n0/131/vs_thumb.jpg,Griechenland,Böotien,Theben,161,80,35,40
00130,Weimarer Republik: 1929 Verfassung,1871,1938,http://ww2.smb.museum/mk_edit/images/n0/135/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,196,80,40,40
00131,Weimarer Republik: 1929 Graf Zeppelin,1896,1955,http://ww2.smb.museum/mk_edit/images/n0/136/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,236,80,40,40
00132,Korinth,-478,-458,http://ww2.smb.museum/mk_edit/images/n0/137/vs_thumb.jpg,Griechenland,Achaia,Korinth,276,80,36,40
00133,Aigina,-400,-300,http://ww2.smb.museum/mk_edit/images/n0/139/vs_thumb.jpg,Griechenland,Attika (Inseln),Aigina,312,80,42,40
00135,Athen,-506,-490,http://ww2.smb.museum/mk_edit/images/n0/138/vs_thumb.jpg,Griechenland,Attika,Athen,354,80,39,40
00136,Athen,-480,-404,http://ww2.smb.museum/mk_edit/images/n0/141/vs_thumb.jpg,Griechenland,Attika,Athen,393,80,41,40
00137,Weimarer Republik: 1930 Walther von der Vogelweide,1896,1957,http://ww2.smb.museum/mk_edit/images/n0/142/vs_thumb.jpg,Deutschland,Württemberg,Stuttgart,434,80,39,40
00138,Aitolische Liga,-220,-196,http://ww2.smb.museum/mk_edit/images/n0/143/vs_thumb.jpg,Griechenland,Aitolien,,473,80,38,40
00139,Sparta: Kleomenes III.,-254,-219,http://ww2.smb.museum/mk_edit/images/n0/144/vs_thumb.jpg,Griechenland,Lakonien,Sparta,511,80,42,40
00140,Weimarer Republik: 1931 Stein,1871,1938,http://ww2.smb.museum/mk_edit/images/n0/145/vs_thumb.jpg,Deutschland,,Berlin,553,80,40,40
00142,Gortyn,-450,-400,http://ww2.smb.museum/mk_edit/images/n0/147/vs_thumb.jpg,Griechenland,Kreta,Gortyn,593,80,40,40
00143,Weimarer Republik: 1932 Goethe,1871,1938,http://ww2.smb.museum/mk_edit/images/n0/148/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,633,80,40,40
00144,Gortyn,-350,-270,http://ww2.smb.museum/mk_edit/images/n0/149/vs_thumb.jpg,Griechenland,Kreta,Gortyn,673,80,38,40
00145,Phaistos,-400,-300,http://ww2.smb.museum/mk_edit/images/n0/150/vs_thumb.jpg,Griechenland,Kreta,Phaistos,711,80,38,40
00147,Melos,-400,-300,http://ww2.smb.museum/mk_edit/images/n0/152/vs_thumb.jpg,Griechenland,Ägäische Inseln,Melos,749,80,40,40
00148,Kalymna,-560,-540,http://ww2.smb.museum/mk_edit/images/n0/153/vs_thumb.jpg,Griechenland,Karische Inseln,Kalymna,789,80,40,40
00149,Rhodos,-408,-395,http://ww2.smb.museum/mk_edit/images/n0/154/vs_thumb.jpg,Griechenland,Karische Inseln,Rhodos,829,80,37,40
00150,Kyzikos,-550,-480,http://ww2.smb.museum/mk_edit/images/n0/155/vs_thumb.jpg,Türkei,Mysien,Kyzikos,866,80,42,40
00151,Kyzikos,-480,-470,http://ww2.smb.museum/mk_edit/images/n0/156/vs_thumb.jpg,Türkei,Mysien,Kyzikos,908,80,40,40
00152,Kyzikos,-510,-490,http://ww2.smb.museum/mk_edit/images/n0/157/vs_thumb.jpg,Türkei,Mysien,Kyzikos,948,80,40,40
00153,Kyzikos,-480,-410,http://ww2.smb.museum/mk_edit/images/n0/158/vs_thumb.jpg,Türkei,Mysien,Kyzikos,988,80,31,40
00158,Kyzikos,-430,-410,http://ww2.smb.museum/mk_edit/images/n0/163/vs_thumb.jpg,Türkei,Mysien,Kyzikos,1019,80,30,40
00159,Kyzikos,-450,-400,http://ww2.smb.museum/mk_edit/images/n0/164/vs_thumb.jpg,Türkei,Mysien,Kyzikos,1049,80,30,40
00160,Milet,-360,-340,http://ww2.smb.museum/mk_edit/images/n0/165/vs_thumb.jpg,Türkei,Ionien,Milet,1079,80,40,40
00163,Persischer Satrap: Tarkuwarma-Datames,-378,-372,http://ww2.smb.museum/mk_edit/images/n0/168/vs_thumb.jpg,Türkei,Kilikien,Tarsos,1119,80,39,40
00164,Sidon,-342,-341,http://ww2.smb.museum/mk_edit/images/n0/169/vs_thumb.jpg,Libanon,Phönizien,Sidon (Saida),1158,80,42,40
00165,Lykien: Ddänävälä/Ddenevele,-410,-390,http://ww2.smb.museum/mk_edit/images/n0/170/vs_thumb.jpg,Türkei,Lykien,Telmessos,1200,80,39,40
00166,Lykien: Mithrapata,-385,-370,http://ww2.smb.museum/mk_edit/images/n0/171/vs_thumb.jpg,Türkei,Lykien,,1239,80,44,40
00167,Drittes Reich: 1933 Luther,1483,1546,http://ww2.smb.museum/mk_edit/images/n0/172/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,1283,80,40,40
00170,Lykien: Perikles,-375,-362,http://ww2.smb.museum/mk_edit/images/n0/175/vs_thumb.jpg,Türkei,Lykien,,1323,80,39,40
00171,Makedonien: Amyntas III.,-393,-369,http://ww2.smb.museum/mk_edit/images/n0/176/vs_thumb.jpg,Griechenland,Makedonien,,1362,80,36,40
00172,Makedonien: Philippos II.,-359,-336,http://ww2.smb.museum/mk_edit/images/n0/177/vs_thumb.jpg,Griechenland,Makedonien,Amphipolis,1398,80,38,40
00173,Lysimachos,-356,-323,http://ww2.smb.museum/mk_edit/images/n0/178/vs_thumb.jpg,Türkei,Thrakien,Lysimacheia,1436,80,38,40
00174,Makedonien: Demetrios Poliorketes,-291,-283,http://ww2.smb.museum/mk_edit/images/n0/179/vs_thumb.jpg,Griechenland,Makedonien,Amphipolis,1474,80,39,40
00175,Makedonien: Philippos V.,-238,-179,http://ww2.smb.museum/mk_edit/images/n0/180/vs_thumb.jpg,Griechenland,Makedonien,,1513,80,39,40
00176,Makedonien: Philippos V.,-238,-179,http://ww2.smb.museum/mk_edit/images/n0/181/vs_thumb.jpg,Griechenland,Makedonien,,1552,80,39,40
00177,Ptolemäer: Ptolemaios (I.),-356,-323,http://ww2.smb.museum/mk_edit/images/n0/182/vs_thumb.jpg,Ägypten,Ägypten,Alexandria,1591,80,41,40
00178,Ptolemäer: Ptolemaios I.,-356,-323,http://ww2.smb.museum/mk_edit/images/n0/183/vs_thumb.jpg,Ägypten,Ägypten,Alexandria,1632,80,39,40
00179,Ptolemäer: Ptolemaios II.,-367,-282,http://ww2.smb.museum/mk_edit/images/n0/184/vs_thumb.jpg,Ägypten,Ägypten,Alexandria,1671,80,41,40
00180,Ptolemäer: Arsinoe II.,-308,-246,http://ww2.smb.museum/mk_edit/images/n0/185/vs_thumb.jpg,Ägypten,Ägypten,Alexandria,1712,80,39,40
00181,Ptolemäer: Ptolemaios III.,-284,-222,http://ww2.smb.museum/mk_edit/images/n0/186/vs_thumb.jpg,Ägypten,Ägypten,Alexandria,1751,80,41,40
00182,Ptolemäer: Ptolemaios V.,-210,-180,http://ww2.smb.museum/mk_edit/images/n0/187/vs_thumb.jpg,Ägypten,Ägypten,Alexandria,1792,80,41,40
00183,Herakleia am Latmos,-170,-140,http://ww2.smb.museum/mk_edit/images/n0/188/vs_thumb.jpg,Türkei,Ionien,Herakleia am Latmos,1833,80,40,40
00184,Kyme,-165,-133,http://ww2.smb.museum/mk_edit/images/n0/189/vs_thumb.jpg,Türkei,Aeolis,Kyme,1873,80,40,40
00185,Lebedos,-150,-140,http://ww2.smb.museum/mk_edit/images/n0/190/vs_thumb.jpg,Türkei,Ionien,Lebedos,1913,80,39,40
00186,Kyrene,-435,-330,http://ww2.smb.museum/mk_edit/images/n0/191/vs_thumb.jpg,Libyen,Kyrenaika,Kyrene,0,120,42,40
00187,Barke,-435,-310,http://ww2.smb.museum/mk_edit/images/n0/192/vs_thumb.jpg,Libyen,Kyrenaika,Barke,42,120,37,40
00188,Karthago,-350,-270,http://ww2.smb.museum/mk_edit/images/n0/193/vs_thumb.jpg,Tunesien,Zeugitanien,Karthago,79,120,41,40
00189,Karthago: Sikulopunier,-310,-300,http://ww2.smb.museum/mk_edit/images/n0/194/vs_thumb.jpg,Italien,Sizilien,Karthago?,120,120,37,40
00190,Mauretanien: Iuba II.,-50,23,http://ww2.smb.museum/mk_edit/images/n0/195/vs_thumb.jpg,Algerien,Mauretanien,Caesarea (Iol),157,120,41,40
00191,Bosporos: Asandros,-36,-17,http://ww2.smb.museum/mk_edit/images/n0/196/vs_thumb.jpg,Ukraine,Bosporos,,198,120,40,40
00192,Kappadokien: Archelaos,-17,17,http://ww2.smb.museum/mk_edit/images/n0/197/vs_thumb.jpg,Türkei,Kappadokien,Caesarea (Kayseri),238,120,41,40
00193,Parther: Phraates IV.,-38,-2,http://ww2.smb.museum/mk_edit/images/n0/199/vs_thumb.jpg,Iran,Parthien,Laodikeia in Medien,279,120,41,40
00194,Röm. Republik: M. Aurelius Cotta,-139,-139,http://ww2.smb.museum/mk_edit/images/n0/200/vs_thumb.jpg,Italien,Italia,Rom,320,120,41,40
00195,Röm. Republik: C. Servilius M. filius,-136,-136,http://ww2.smb.museum/mk_edit/images/n0/201/vs_thumb.jpg,Italien,Italia,Rom,361,120,40,40
00196,Röm. Republik: M. Aurelius Scaurus und L. Licinius und Cn. Domitius,-118,-118,http://ww2.smb.museum/mk_edit/images/n0/202/vs_thumb.jpg,Frankreich,Gallia,Narbonne?,401,120,39,40
00197,Röm. Republik: N. Fabius Pictor,-126,-126,http://ww2.smb.museum/mk_edit/images/n0/203/vs_thumb.jpg,Italien,Italia,Rom,440,120,42,40
00198,Röm. Republik: C. Fundanius Q.,-101,-101,http://ww2.smb.museum/mk_edit/images/n0/204/vs_thumb.jpg,Italien,Italia,Rom,482,120,39,40
00199,Röm. Republik: C. Fundanius,-101,-101,http://ww2.smb.museum/mk_edit/images/n0/205/vs_thumb.jpg,Italien,Italia,Rom,521,120,36,40
00200,Röm. Republik: C. Servilius,-82,-80,http://ww2.smb.museum/mk_edit/images/n0/206/vs_thumb.jpg,Italien,Italia,Rom,557,120,39,40
00201,Röm. Republik: P. Lepidus und L. Scribonius Libo,-62,-62,http://ww2.smb.museum/mk_edit/images/n0/207/vs_thumb.jpg,Italien,Italia,Rom,596,120,38,40
00202,Röm. Republik: M. Iunius Brutus,-85,-42,http://ww2.smb.museum/mk_edit/images/n0/208/vs_thumb.jpg,Italien,Italia,Rom,634,120,42,40
00204,Röm. Republik: C. Coelius Caldus,-51,-51,http://ww2.smb.museum/mk_edit/images/n0/210/vs_thumb.jpg,Italien,Italia,Rom,676,120,41,40
00205,Seleukiden: Seleukos I.,-356,-323,http://ww2.smb.museum/mk_edit/images/n0/211/vs_thumb.jpg,Iran,Medien,Ekbatana,717,120,43,40
00206,Seleukiden: Antiochos III.,-242,-187,http://ww2.smb.museum/mk_edit/images/n0/212/vs_thumb.jpg,Irak,Babylonien,Seleukia am Tigris,760,120,38,40
00207,Seleukiden: Antiochos IV.,-170,-164,http://ww2.smb.museum/mk_edit/images/n0/213/vs_thumb.jpg,Israel,Phönizien,Ake-Akkon,798,120,43,40
00208,Seleukiden: Antiochos IV.,-169,-164,http://ww2.smb.museum/mk_edit/images/n0/214/vs_thumb.jpg,Türkei,Syria,Antiochia (Antakya),841,120,43,40
