id,title,date_earliest,date_latest,production_country,production_region,production_minting_place,diameter,weight,production_material,production_technique,nominal
00029,Bundesrepublik Deutschland: 2002 Währungsunion,1944,2002,Deutschland,Baden-Württemberg,Stuttgart,"32,6",18.00,Silver,struck,10 Euro
00030,Gordianus III.,225,244,Italien,Italia,Rom,24,4.67,Silver,struck,Doppeldenar
00031,Axum: Ouazebas,390,410,Äthiopien,Axum,Axum,20,2.37,Bronze,struck,
00033,Bundesrepublik Deutschland: 2000 10 Jahre Deutsche Einheit,1942,2000,Deutschland,Bayern,München,"32,5",15.54,Silver,struck,10 Deutsche Mark
00034,Ephesos,188,217,Türkei,Asia,Ephesos,37,23.14,Bronze,struck,
00035,Bundesrepublik Deutschland: 2004 Europäische Union,2004,2004,Deutschland,Baden-Württemberg,Karlsruhe,"32,5",18.12,Silver,struck,10 Euro
00036,Pergamon,170,217,Türkei,Mysien,Pergamon,60,93.34,Bronze,struck,
00037,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,Deutschland,Brandenburg,Berlin,"32,6",31.10,Gold,struck,200 Euro
00038,Severus Alexander,208,235,Italien,Italia,Rom,24,4.56,Gold,struck,Quinar (Gold)
00039,Herennia Etruscilla,190,251,Italien,Italia,Rom,19,3.84,Gold,struck,Aureus
00040,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,Deutschland,Brandenburg,Berlin,"28,0",15.55,Gold,struck,100 Euro
00041,Bundesrepublik Deutschland: 2003 Quedlinburg,1948,2003,Deutschland,Brandenburg,Berlin,28,15.55,Gold,struck,100 Euro
00042,Bundesrepublik Deutschland: 2004 Bamberg,2004,2004,Deutschland,Brandenburg,Berlin,"28,0",15.55,Gold,struck,100 Euro
00045,Persischer Satrap,-400,-330,,Persis,,23,14.75,Silver,struck,Stater
00049,Persischer Satrap in Pergamon,-400,-333,Türkei,Mysien,Pergamon,12,1.60,Silver,struck,Diobol
00050,Persischer Satrap: Tissaphernes,-411,-395,Türkei,Karien,Astyra,12,1.45,Bronze,struck,
00054,Diocletianus,245,313,Deutschland,Gallia,Trier,21,5.86,Gold,struck,Aureus
00055,Commodus,161,192,Italien,Italia,Rom,20,7.12,Gold,struck,Aureus
00056,Domitianus,51,96,Italien,Italia,Rom,32,23.31,Bronze,struck,Sesterz
00058,Divus Augustus,-63,14,Italien,Italia,Rom,30,11.34,Bronze,struck,As
00059,Divus Augustus,-63,14,Italien,Italia,Rom,27,5.39,Bronze,struck,As (halbiert)
00063,Bosporos: Rheskouporis III.,208,235,Ukraine,Bosporos,,21,7.14,Gold,struck,Stater
00064,Röm. Republik: C. Calpurnius Piso Frugi,-67,-67,Italien,Italia,Rom,18,3.99,Silver,struck,Denar (ANT)
00065,Thrakien: Lysimachi,-297,-200,Türkei,Thrakien,,31,16.80,Silver,struck,Tetradrachme
00066,Kaiserreich: 1915 Mansfeld,1859,1936,Deutschland,Brandenburg,Berlin,"33,0",16.68,Silver,struck,3 Mark
00067,Philippus I.,204,249,Italien,Italia,Rom,23,4.83,Silver,struck,Doppeldenar
00068,Apameia,190,251,Türkei,Phrygien,Apameia (Kibotos),32,16.87,Bronze,struck,
00069,Kaiserreich: Bayern 1918,1845,1921,Deutschland,Bayern,München,34,16.66,Silver,struck,3 Mark
00070,Pergamon,-123,-67,Türkei,Mysien,Pergamon,27,12.25,Silver,struck,Cistophor
00071,Kaiserreich: Württemberg 1916,1872,1949,Deutschland,Württemberg,Stuttgart,"33,0",16.67,Silver,struck,3 Mark
00072,Pergamon,189,211,Türkei,Mysien,Pergamon,44,27.28,Bronze,struck,
00073,Pergamon,188,217,Türkei,Mysien,Pergamon,37,21.41,Bronze,struck,
00074,Kaiserreich: Württemberg 1911,1848,1921,Deutschland,Württemberg,Stuttgart,"33,0",16.70,Silver,struck,3 Mark
00075,Aspendos,-440,-420,Türkei,Pamphylien,Aspendos,24,10.86,Silver,struck,Stater
00076,Seleukiden: Antiochos I.,-324,-261,Irak,Babylonien,Seleukia am Tigris,31,16.65,Silver,struck,Tetradrachme
00077,Kaiserreich: Hessen 1904,1872,1943,Deutschland,Brandenburg,Berlin,"38,0",27.79,Silver,struck,5 Mark
00078,Makedonien: Alexandros III.,-188,-170,Türkei,Ionien,Temnos,34,15.73,Silver,struck,Tetradrachme
00079,Side,-300,-100,Türkei,Pamphylien,Side,30,16.04,Silver,struck,Tetradrachme
00080,Kaiserreich: Hessen 1917,1874,1943,Deutschland,Hessen,Berlin,33,16.67,Silver,struck,3 Mark
00081,Augustus,-63,14,Frankreich,Gallia,Lyon,28,10.83,Bronze,struck,As
00082,Claudius,-10,54,Italien,Italia,Rom,36,26.50,Bronze,struck,Sesterz
00083,Caesarea: Nero,37,68,Türkei,Kappadokien,Caesarea (Kayseri),18,3.41,Silver,struck,Drachme
00084,Kaiserreich: Mecklenburg-Schwerin 1904,1882,1945,Deutschland,Brandenburg,Berlin,"38,0",27.80,Silver,struck,5 Mark
00085,Caesarea: Nero,37,68,Türkei,Kappadokien,Caesarea (Kayseri),17,3.05,Silver,struck,Drachme
00086,Kaiserreich: 1908 Universität Jena,1503,1554,Deutschland,Brandenburg,Berlin,"38,1",27.79,Silver,struck,5 Mark
00087,Gaza,146,211,Palästinensische Autonomiegebiete,Iudaea,Gaza,27,14.88,Bronze,struck,
00088,Kaiserreich: Sachsen-Weimar-Eisenach 1915,1868,1922,Deutschland,Brandenburg,Berlin,"33,0",16.69,Silver,struck,3 Mark
00089,Pergamon,188,217,Türkei,Mysien,Pergamon,41,39.14,Bronze,struck,
00091,Side,221,221,Türkei,Pamphylien,Side,33,16.40,Bronze,struck,5 Assaria
00092,Elektron,-600,-500,Türkei,Kleinasien,,17-21,13.80,Electrum,struck,Stater
00093,Elektron,-600,-550,Türkei,Kleinasien,,12,4.64,Electrum,struck,1/3 Stater (Trite)
00094,Elektron,-600,-550,Türkei,Lydien,,10-13,4.68,Electrum,struck,1/3 Stater (Trite)
00095,Elektron,-600,-550,Türkei,Kleinasien,,8,1.14,Electrum,struck,1/12 Stater (Hemihekte)
00096,Elektron,-600,-550,Türkei,Kleinasien,,7,1.13,Electrum,struck,1/12 Stater (Hemihekte)
00097,Elektron,-600,-550,Türkei,Kleinasien,,4,0.30,Electrum,struck,1/48 Stater
00098,Elektron,-600,-550,Türkei,Kleinasien,,4,0.14,Electrum,struck,1/96 Stater
00099,Milet,-600,-550,Türkei,Ionien,Milet,16-21,13.99,Electrum,struck,Stater
00100,Milet,-600,-550,Türkei,Ionien,Milet,11,2.34,Electrum,struck,1/6 Stater (Hekte)
00101,Elektron,-600,-500,Türkei,Kleinasien,,13,4.72,Electrum,struck,1/3 Stater (Trite)
00102,Elektron,-620,-500,Türkei,Kleinasien,,14,6.96,Electrum,struck,1/2 Stater (Hemistater)
00103,Elektron,-620,-500,Türkei,Kleinasien,,14,6.98,Electrum,struck,1/2 Stater (Hemistater)
00104,Elektron,-620,-500,Türkei,Kleinasien,,14,7.02,Electrum,struck,1/2 Stater (Hemistater)
00105,Elektron,-600,-500,Türkei,Kleinasien,,15,7.93,Electrum,struck,1/2 Stater (Hemistater)
00106,Athen?,-600,-500,Griechenland,Attika,Athen?,8,1.35,Electrum,struck,1/12 Stater (Hemihekte)
00107,Kyzikos,-600,-550,Türkei,Mysien,Kyzikos,18,16.20,Electrum,struck,Stater
00108,Kyzikos,-500,-400,Türkei,Mysien,Kyzikos,19,16.13,Electrum,struck,Stater
00109,Kyzikos,-500,-400,Türkei,Mysien,Kyzikos,10,2.44,Electrum,struck,1/6 Stater (Hekte)
00110,Chios?,-500,-400,Griechenland,Ionische Inseln,Chios?,19,15.33,Electrum,struck,Stater
00111,Lampsakos?,-460,-440,Türkei,Mysien,Lampsakos?,19-21,15.23,Electrum,struck,Stater
00112,Akragas,-413,-411,Italien,Sizilien,Akragas,26-31,16.76,Silver,struck,Tetradrachme
00113,Gela,-480,-470,Italien,Sizilien,Gela,25,17.55,Silver,struck,Tetradrachme
00114,Selinunt,-420,-420,Italien,Sizilien,Selinunt,28,17.28,Silver,struck,Tetradrachme
00115,Syrakus,-406,-380,Italien,Sizilien,Syrakus,14,5.78,Gold,struck,100 Litren
00116,Weimarer Republik: 1927 Bremerhaven,1865,1954,Deutschland,Brandenburg,Berlin,"36,0",24.98,Silver,struck,5 Reichsmark
00117,Weimarer Republik: 1927 Nordhausen,895,936,Deutschland,Brandenburg,Berlin,"30,10",15.02,Silver,struck,3 Reichsmark
00118,Weimarer Republik: 1929 Lessing,1871,1938,Deutschland,Brandenburg,Berlin,"36,0",24.99,Silver,struck,5 Reichsmark
00119,Syrakus,406,-380,Italien,Sizilien,Syrakus,14,5.78,Gold,struck,100 Litren
00120,Syrakus,-400,-370,Italien,Sizilien,Syrakus,36,42.61,Silver,struck,Dekadrachme
00121,Phasis (Kolchis),-494,-400,Georgien,Kolchis,Phasis (Poti),19-22,10.15,Silver,struck,
00122,Pantikapaion,-400,-300,Ukraine,Taurische Chersonesos,Pantikapaion,25,11.40,Silver,struck,Tridrachme
00123,Ainos,-478,-450,Türkei,Thrakien,Ainos,25,16.40,Silver,struck,Tetradrachme
00124,Mende,-450,-400,Griechenland,Makedonien,Mende,28,16.58,Silver,struck,Tetradrachme
00125,Makedonien: 1. Meris,-158,-150,Griechenland,Makedonien,Amphipolis,32,16.56,Silver,struck,Tetradrachme
00126,Theben,-450,-400,Griechenland,Böotien,Theben,19-22,12.23,Silver,struck,Stater
00130,Weimarer Republik: 1929 Verfassung,1871,1938,Deutschland,Brandenburg,Berlin,"35,8",25.09,Silver,struck,5 Reichsmark
00131,Weimarer Republik: 1929 Graf Zeppelin,1896,1955,Deutschland,Brandenburg,Berlin,"36,0",24.99,Silver,struck,5 Reichsmark
00132,Korinth,-478,-458,Griechenland,Achaia,Korinth,20,8.68,Silver,struck,Stater
00133,Aigina,-400,-300,Griechenland,Attika (Inseln),Aigina,22,12.29,Silver,struck,Stater
00135,Athen,-506,-490,Griechenland,Attika,Athen,23,16.51,Silver,struck,Tetradrachme
00136,Athen,-480,-404,Griechenland,Attika,Athen,24,17.07,Silver,struck,Tetradrachme
00137,Weimarer Republik: 1930 Walther von der Vogelweide,1896,1957,Deutschland,Württemberg,Stuttgart,"29,9",14.82,Silver,struck,3 Reichsmark
00138,Aitolische Liga,-220,-196,Griechenland,Aitolien,,19,8.44,Gold,struck,Stater
00139,Sparta: Kleomenes III.,-254,-219,Griechenland,Lakonien,Sparta,28,16.99,Silver,struck,Tetradrachme
00140,Weimarer Republik: 1931 Stein,1871,1938,Deutschland,,Berlin,"30,2",14.94,Silver,struck,3 Reichsmark
00142,Gortyn,-450,-400,Griechenland,Kreta,Gortyn,20,11.23,Silver,struck,Stater
00143,Weimarer Republik: 1932 Goethe,1871,1938,Deutschland,Brandenburg,Berlin,37,25.09,Silver,struck,5 Reichsmark
00144,Gortyn,-350,-270,Griechenland,Kreta,Gortyn,27,11.47,Silver,struck,Stater
00145,Phaistos,-400,-300,Griechenland,Kreta,Phaistos,28,11.64,Silver,struck,Stater
00147,Melos,-400,-300,Griechenland,Ägäische Inseln,Melos,20,7.37,Silver,struck,1/2 Stater (Hemistater)
00148,Kalymna,-560,-540,Griechenland,Karische Inseln,Kalymna,24,9.82,Silver,struck,Stater
00149,Rhodos,-408,-395,Griechenland,Karische Inseln,Rhodos,26,16.76,Silver,struck,Tetradrachme
00150,Kyzikos,-550,-480,Türkei,Mysien,Kyzikos,20,16.13,Electrum,struck,Stater
00151,Kyzikos,-480,-470,Türkei,Mysien,Kyzikos,20,15.87,Electrum,struck,Stater
00152,Kyzikos,-510,-490,Türkei,Mysien,Kyzikos,19,15.90,Electrum,struck,Stater
00153,Kyzikos,-480,-410,Türkei,Mysien,Kyzikos,15-20,15.86,Electrum,struck,Stater
00158,Kyzikos,-430,-410,Türkei,Mysien,Kyzikos,16-21,16.00,Electrum,struck,Stater
00159,Kyzikos,-450,-400,Türkei,Mysien,Kyzikos,16-21,16.07,Electrum,struck,Stater
00160,Milet,-360,-340,Türkei,Ionien,Milet,23,15.18,Silver,struck,Tetradrachme
00163,Persischer Satrap: Tarkuwarma-Datames,-378,-372,Türkei,Kilikien,Tarsos,23,10.49,Silver,struck,Stater
00164,Sidon,-342,-341,Libanon,Phönizien,Sidon (Saida),29,25.59,Silver,struck,Doppelsiglos
00165,Lykien: Ddänävälä/Ddenevele,-410,-390,Türkei,Lykien,Telmessos,19,8.28,Silver,struck,Stater
00166,Lykien: Mithrapata,-385,-370,Türkei,Lykien,,22-25,10.01,Silver,struck,Stater
00167,Drittes Reich: 1933 Luther,1483,1546,Deutschland,Brandenburg,Berlin,29,13.87,Silver,struck,5 Reichsmark
00170,Lykien: Perikles,-375,-362,Türkei,Lykien,,23,9.80,Silver,struck,Stater
00171,Makedonien: Amyntas III.,-393,-369,Griechenland,Makedonien,,24,10.24,Silver,struck,Stater (Didrachme)
00172,Makedonien: Philippos II.,-359,-336,Griechenland,Makedonien,Amphipolis,24,14.21,Silver,struck,Tetradrachme
00173,Lysimachos,-356,-323,Türkei,Thrakien,Lysimacheia,20,8.51,Gold,struck,Stater
00174,Makedonien: Demetrios Poliorketes,-291,-283,Griechenland,Makedonien,Amphipolis,29,17.26,Silver,struck,Tetradrachme
00175,Makedonien: Philippos V.,-238,-179,Griechenland,Makedonien,,18,8.55,Gold,struck,Stater
00176,Makedonien: Philippos V.,-238,-179,Griechenland,Makedonien,,33,16.92,Silver,struck,Tetradrachme
00177,Ptolemäer: Ptolemaios (I.),-356,-323,Ägypten,Ägypten,Alexandria,30,15.68,Silver,struck,Tetradrachme
00178,Ptolemäer: Ptolemaios I.,-356,-323,Ägypten,Ägypten,Alexandria,18,7.13,Gold,struck,Stater
00179,Ptolemäer: Ptolemaios II.,-367,-282,Ägypten,Ägypten,Alexandria,24,17.83,Gold,struck,Pentadrachme (5 Drachmen)
00180,Ptolemäer: Arsinoe II.,-308,-246,Ägypten,Ägypten,Alexandria,29,27.68,Gold,struck,Oktodrachme
00181,Ptolemäer: Ptolemaios III.,-284,-222,Ägypten,Ägypten,Alexandria,27,27.69,Gold,struck,Oktodrachme
00182,Ptolemäer: Ptolemaios V.,-210,-180,Ägypten,Ägypten,Alexandria,26,14.26,Silver,struck,Tetradrachme
00183,Herakleia am Latmos,-170,-140,Türkei,Ionien,Herakleia am Latmos,33,16.71,Silver,struck,Tetradrachme
00184,Kyme,-165,-133,Türkei,Aeolis,Kyme,32,16.46,Silver,struck,Tetradrachme
00185,Lebedos,-150,-140,Türkei,Ionien,Lebedos,31,15.79,Silver,struck,Tetradrachme
00186,Kyrene,-435,-330,Libyen,Kyrenaika,Kyrene,27,13.04,Silver,struck,Stater
00187,Barke,-435,-310,Libyen,Kyrenaika,Barke,28,12.90,Silver,struck,Stater
00188,Karthago,-350,-270,Tunesien,Zeugitanien,Karthago,20,9.20,Gold,struck,Stater
00189,Karthago: Sikulopunier,-310,-300,Italien,Sizilien,Karthago?,27,17.15,Silver,struck,Tetradrachme
00190,Mauretanien: Iuba II.,-50,23,Algerien,Mauretanien,Caesarea (Iol),19,3.32,Silver,struck,Denar (ANT)
00191,Bosporos: Asandros,-36,-17,Ukraine,Bosporos,,19,8.10,Gold,struck,Stater
00192,Kappadokien: Archelaos,-17,17,Türkei,Kappadokien,Caesarea (Kayseri),20,3.53,Silver,struck,Drachme
00193,Parther: Phraates IV.,-38,-2,Iran,Parthien,Laodikeia in Medien,20,4.93,Silver,struck,Drachme
00194,Röm. Republik: M. Aurelius Cotta,-139,-139,Italien,Italia,Rom,20,3.93,Silver,struck,Denar (ANT)
00195,Röm. Republik: C. Servilius M. filius,-136,-136,Italien,Italia,Rom,21,3.95,Silver,struck,Denar (ANT)
00196,Röm. Republik: M. Aurelius Scaurus und L. Licinius und Cn. Domitius,-118,-118,Frankreich,Gallia,Narbonne?,20,3.94,Silver,struck,Denar (serratus)
00197,Röm. Republik: N. Fabius Pictor,-126,-126,Italien,Italia,Rom,18,3.97,Silver,struck,Denar (ANT)
00198,Röm. Republik: C. Fundanius Q.,-101,-101,Italien,Italia,Rom,19,3.43,Silver,struck,Denar (ANT)
00199,Röm. Republik: C. Fundanius,-101,-101,Italien,Italia,Rom,15,1.93,Silver,struck,Quinar
00200,Röm. Republik: C. Servilius,-82,-80,Italien,Italia,Rom,19,3.33,Silver,struck,Denar (ANT)
00201,Röm. Republik: P. Lepidus und L. Scribonius Libo,-62,-62,Italien,Italia,Rom,20,4.01,Silver,struck,Denar (ANT)
00202,Röm. Republik: M. Iunius Brutus,-85,-42,Italien,Italia,Rom,19,4.19,Silver,struck,Denar (ANT)
00204,Röm. Republik: C. Coelius Caldus,-51,-51,Italien,Italia,Rom,19,3.68,Silver,struck,Denar (ANT)
00205,Seleukiden: Seleukos I.,-356,-323,Iran,Medien,Ekbatana,21,16.60,Gold,struck,Doppeldareike
00206,Seleukiden: Antiochos III.,-242,-187,Irak,Babylonien,Seleukia am Tigris,28,34.18,Gold,struck,Oktodrachme
00207,Seleukiden: Antiochos IV.,-170,-164,Israel,Phönizien,Ake-Akkon,31,17.14,Silver,struck,Tetradrachme
00208,Seleukiden: Antiochos IV.,-169,-164,Türkei,Syria,Antiochia (Antakya),35,16.58,Silver,struck,Tetradrachme
00209,Seleukiden: Kleopatra Thea und Antiochos VIII.,-125,-121,Israel,Phönizien,Ake-Akkon,30,16.39,Silver,struck,Tetradrachme
00210,Seleukiden: Antiochos XI. und Philippos I. Philadelphos,-115,-92,Türkei,Kilikien,Tarsos?,29,15.59,Silver,struck,Tetradrachme
00211,Syrakus: Hieron II.,-306,-215,Italien,Sizilien,Syrakus,26,16.04,Silver,struck,
00212,Syrakus: Hieronymos,-215,-214,Italien,Sizilien,Syrakus,22,8.52,Silver,struck,10 Litren
00214,Achulla,-63,14,Tunesien,Byzacene,Achulla,31,12.48,Bronze,struck,
00215,Antiochia am Orontes,-47,9,Türkei,Syria,Antiochia (Antakya),19-22,7.10,Bronze,struck,
00217,Sparta: Kleomenes III.,-254,-219,Griechenland,Lakonien,Sparta,30,16.61,Silver,struck,Tetradrachme
00218,Bithynien: Prusias I.,-229,-182,Türkei,Bithynien,,34-37,17.01,Silver,struck,Tetradrachme
00219,Pontos: Mithradates IV.,-160,-151,Türkei,Pontos,,35,16.81,Silver,struck,Tetradrachme
00220,Kappadokien: Orophernes,-159,-157,Türkei,Ionien,Priene?,34,16.32,Silver,struck,Tetradrachme
00221,Parther: Mithradates I.,-171,-132,Irak,Babylonien,Seleukia am Tigris,29,15.29,Silver,struck,Tetradrachme
00222,Baktrien: Agathokles,-190,-180,Afghanistan,Baktrien,,30,16.82,Silver,struck,Tetradrachme
00223,Baktrien: Eukratides I.,-170,-145,Afghanistan,Baktrien,,20,4.14,Silver,struck,Drachme
00224,Baktrien: Eukratides I.,-170,-145,Afghanistan,Baktrien,,33,16.90,Silver,struck,Tetradrachme
00225,Baktrien: Menandros I.,-155,-130,Afghanistan,Baktrien,,19,2.46,Silver,struck,Drachme
00226,Indoskythen: Azilises I.,-51,-35,Pakistan,Kaschmir,Hazara,29,9.60,Silver,struck,Tetradrachme
00227,Thraker: Mostis,-130,-100,Bulgarien,Thrakien,,32,16.56,Silver,struck,Tetradrachme
00228,Illyrien: Ballaios,-167,-135,,Illyrien,,16,3.57,Bronze,struck,
00229,Bosporos: Pharnakes II.,-53,-47,Ukraine,Bosporos,,20,8.08,Gold,struck,Stater
00230,"Aiax, Toparch in Kilikien",13,15,Türkei,Kilikien,Olba,21,6.94,Bronze,struck,
00231,Kappadokien: Artaxias,18,19,Türkei,Kappadokien,Caesarea (Kayseri),24,7.66,Silver,struck,Didrachme
00232,Kommagene: Antiochos IV.,38,72,Türkei,Kommagene,,19,5.54,Bronze,struck,
00233,Röm. Republik: M. Lollius Palikanus,-45,-45,Italien,Italia,Rom,20,3.91,Silver,struck,Denar (ANT)
00234,Röm. Republik: C. Iulius Caesar und M. Mettius,-100,-44,Italien,Italia,Rom,20,4.09,Silver,struck,Denar (ANT)
00235,Röm. Republik: C. Antonius,-43,-43,Griechenland,Makedonien,,19,4.02,Silver,struck,Denar (ANT)
00236,Röm. Republik: L. Cestius und C. Norbanus,-43,-43,Italien,Italia,Rom,21,8.10,Gold,struck,Aureus
00237,Röm. Republik: L. Mussidius Longus,-42,-42,Italien,Italia,Rom,20,8.01,Gold,struck,Aureus
00238,Röm. Republik: L. Mussidius Longus,-42,-42,Italien,Italia,Rom,20,3.97,Silver,struck,Denar (ANT)
00239,Röm. Republik: Sex. Pompeius Magnus,-106,-48,Italien,Sizilien,,20,3.91,Silver,struck,Denar (serratus)
00240,Röm. Republik: C. Numonius Vaala,-41,-41,Italien,Italia,Rom,20,8.04,Gold,struck,Aureus
00241,Röm. Republik: C. Numonius Vaala,-41,-41,Italien,Italia,Rom,22,3.94,Silver,struck,Denar (ANT)
00242,"Röm. Republik: M. Barbatius Pollio, M. Antonius und C. Iulius Caesar (Octavianus)",-83,-30,Türkei,Kleinasien,,21,8.14,Gold,struck,Aureus
00243,"Röm. Republik: M. Barbatius Pollio, M. Antonius und C. Iulius Caesar (Octavianus)",-83,-30,Türkei,Kleinasien,,19,4.15,Silver,struck,Denar (ANT)
00244,Augustus,-63,14,Frankreich,Gallia,Lyon,20,7.80,Gold,struck,Aureus
00245,Augustus,-63,14,Frankreich,Gallia,Lyon,19,7.86,Gold,struck,Aureus
00246,Nero,37,68,Italien,Italia,Rom,35,25.09,Bronze,struck,Sesterz
00247,Elis,-360,-340,Griechenland,Elis,Elis,25,12.28,Silver,struck,Stater
00248,Nero,37,68,Frankreich,Gallia,Lyon,35,29.18,Bronze,struck,Sesterz
00249,Domitianus,51,96,Italien,Italia,Rom,21,7.53,Gold,struck,Aureus
00250,Domitianus,51,96,Italien,Italia,Rom,35,26.27,Bronze,struck,Sesterz
00251,Nerva,30,98,Italien,Italia,Rom,18,7.62,Gold,struck,Aureus
00252,Nerva,30,98,Italien,Italia,Rom,34,28.03,Bronze,struck,Sesterz
00253,Traianus,53,117,Italien,Italia,Rom,33,24.12,Bronze,struck,Sesterz
00254,Traianus,53,117,Italien,Italia,Rom,33,27.17,Bronze,struck,Sesterz
00255,Diva Marciana,53,112,Italien,Italia,Rom,20,7.40,Gold,struck,Aureus
00256,Diva Matidia,76,138,Italien,Italia,Rom,20,7.20,Gold,struck,Aureus
00257,Hadrianus,76,138,Italien,Italia,Rom,20,7.34,Gold,struck,Aureus
00258,Hadrianus,76,138,Italien,Italia,Rom,19,6.80,Gold,struck,Aureus
00259,Antoninus Pius,86,161,Italien,Italia,Rom,33,25.84,Bronze,struck,Sesterz
00260,Antoninus Pius,86,161,Italien,Italia,Rom,33,23.08,Bronze,struck,Sesterz
00261,Diva Faustina (Maior),86,161,Italien,Italia,Rom,19,7.36,Gold,struck,Aureus
00262,Diva Faustina (Maior),86,161,Italien,Italia,Rom,20,7.31,Gold,struck,Aureus
00263,Antoninus Pius,86,161,Italien,Italia,Rom,19,7.44,Gold,struck,Aureus
00264,Marcus Aurelius,121,180,Italien,Italia,Rom,20,7.20,Gold,struck,Aureus
00265,Marcus Aurelius,121,180,Italien,Italia,Rom,20,7.30,Gold,struck,Aureus
00266,Marcus Aurelius,121,180,Italien,Italia,Rom,20,7.29,Gold,struck,Aureus
00267,Commodus,161,192,Italien,Italia,Rom,31,26.97,Bronze,struck,Sesterz
00268,Commodus,161,192,Italien,Italia,Rom,31,25.66,Bronze,struck,Sesterz
00269,Septimius Severus,146,211,Italien,Italia,Rom,20,7.24,Gold,struck,Aureus
00270,Septimius Severus,146,211,Italien,Italia,Rom,20,7.21,Gold,struck,Aureus
00271,Iulia Domna,170,217,Italien,Italia,Rom,32,24.15,Bronze,struck,Sesterz
00272,Iulia Domna,170,217,Italien,Italia,Rom,20,7.21,Gold,struck,Aureus
00273,Macrinus,164,218,Italien,Italia,Rom,36,25.39,Bronze,struck,Sesterz
00274,Macrinus,164,218,Italien,Italia,Rom,22,7.19,Gold,struck,Aureus
00275,Elagabalus,203,222,Italien,Italia,Rom,32,24.59,Bronze,struck,Sesterz
00276,Elagabalus,203,222,Italien,Italia,Rom,30,18.64,Bronze,struck,Sesterz
00278,Iulia Mamaea,208,235,Italien,Italia,Rom,21,6.08,Gold,struck,Aureus
00279,Iulia Mamaea,208,235,Italien,Italia,Rom,31,20.53,Bronze,struck,Sesterz
00280,Maximinus Thrax,172,238,Italien,Italia,Rom,21,6.73,Gold,struck,Aureus
00281,Maximinus Thrax,172,238,Italien,Italia,Rom,32,23.17,Bronze,struck,Sesterz
00282,Gordianus III.,225,244,Italien,Italia,Rom,34,24.94,Bronze,struck,Sesterz
00283,Gordianus III.,225,244,Italien,Italia,Rom,20,5.14,Gold,struck,Aureus
00284,Traianus Decius,190,251,Italien,Italia,Rom,27,10.59,Bronze,struck,Dupondius
00285,Traianus Decius,190,251,Italien,Italia,Rom,18,3.39,Gold,struck,Aureus
00286,Gallienus,213,268,Italien,Italia,Rom,19,2.91,Gold,struck,Aureus
00287,Gallienus,213,268,Italien,Italia,Rom,24,9.57,Bronze,struck,As
00294,Constantinus I.,316,337,Italien,Italia,Ticinum-Pavia,20,4.69,Bronze,struck,Nummus
00295,Spotttaler auf das Augsburger Interim,1549,1549,Deutschland,Ostfriesland,Jever,44,28.53,Silver,struck,Taler
