id,title,subdivision,diameter,weight,date_earliest,date_latest,production_country,production_region,production_minting_place,production_material,finding_country,x,y,width
00068,Apameia,"Griechen, Römische Kaiserzeit",32,16.87,249,251,Turkey,Phrygien,Apameia (Kibotos),Bronze,,1872,0,40
00069,Kaiserreich: Bayern 1918,Moderne seit 1900,34,16.66,1918,1939,Germany,Bayern,München,Silver,,1912,0,40
00070,Pergamon,"Griechen, Hellenismus",27,12.25,-123,-67,Turkey,Mysien,Pergamon,Silver,,1952,0,38
00071,Kaiserreich: Württemberg 1916,Moderne seit 1900,"33,0",16.67,1916,1916,Germany,Württemberg,Stuttgart,Silver,,0,40,40
00072,Pergamon,"Griechen, Römische Kaiserzeit",44,27.28,197,211,Turkey,Mysien,Pergamon,Bronze,,40,40,38
00073,Pergamon,"Griechen, Römische Kaiserzeit",37,21.41,197,211,Turkey,Mysien,Pergamon,Bronze,,78,40,38
00074,Kaiserreich: Württemberg 1911,Moderne seit 1900,"33,0",16.70,1911,1911,Germany,Württemberg,Stuttgart,Silver,,116,40,40
00075,Aspendos,"Griechen, Archaik und Klassik",24,10.86,-440,-420,Turkey,Pamphylien,Aspendos,Silver,,156,40,34
00076,Seleukiden: Antiochos I.,"Griechen, Hellenismus",31,16.65,-281,-261,Iraq,Babylonien,Seleukia am Tigris,Silver,,190,40,39
00077,Kaiserreich: Hessen 1904,Moderne seit 1900,"38,0",27.79,1904,1904,Germany,Brandenburg,Berlin,Silver,,229,40,40
00078,Makedonien: Alexandros III.,"Griechen, Hellenismus",34,15.73,-188,-170,Turkey,Ionien,Temnos,Silver,,269,40,40
00079,Side,"Griechen, Hellenismus",30,16.04,-300,-100,Turkey,Pamphylien,Side,Silver,,309,40,40
00080,Kaiserreich: Hessen 1917,Moderne seit 1900,33,16.67,1917,1917,Germany,Hessen,Berlin,Silver,,349,40,40
00081,Augustus,Römische Kaiserzeit,28,10.83,-12,-10,France,Gallia,Lyon,Bronze,,389,40,41
00082,Claudius,Römische Kaiserzeit,36,26.50,41,50,Italy,Italia,Rom,Bronze,,430,40,41
00083,Caesarea: Nero,"Griechen, Römische Kaiserzeit",18,3.41,54,56,Turkey,Kappadokien,Caesarea (Kayseri),Silver,,471,40,41
00084,Kaiserreich: Mecklenburg-Schwerin 1904,Moderne seit 1900,"38,0",27.80,1904,1904,Germany,Brandenburg,Berlin,Silver,,512,40,40
00085,Caesarea: Nero,"Griechen, Römische Kaiserzeit",17,3.05,54,56,Turkey,Kappadokien,Caesarea (Kayseri),Silver,,552,40,40
00086,Kaiserreich: 1908 Universität Jena,Deutschland Gedenkmünzen 20.-21. Jh.,"38,1",27.79,1908,1908,Germany,Brandenburg,Berlin,Silver,,592,40,40
00087,Gaza,"Griechen, Römische Kaiserzeit",27,14.88,199,213,Palestinian Autonomous Region,Iudaea,Gaza,Bronze,,632,40,40
00088,Kaiserreich: Sachsen-Weimar-Eisenach 1915,Moderne seit 1900,"33,0",16.69,1915,1915,Germany,Brandenburg,Berlin,Silver,,672,40,40
00089,Pergamon,"Griechen, Römische Kaiserzeit",41,39.14,216,217,Turkey,Mysien,Pergamon,Bronze,,712,40,40
00091,Side,"Griechen, Römische Kaiserzeit",33,16.40,221,221,Turkey,Pamphylien,Side,Bronze,,752,40,40
00092,Elektron,"Griechen, Archaik und Klassik",17-21,13.80,-600,-500,Turkey,Kleinasien,,Electrum,,792,40,47
00093,Elektron,"Griechen, Archaik und Klassik",12,4.64,-600,-550,Turkey,Kleinasien,,Electrum,,839,40,41
00094,Elektron,"Griechen, Archaik und Klassik",10-13,4.68,-600,-550,Turkey,Lydien,,Electrum,,880,40,48
00095,Elektron,"Griechen, Archaik und Klassik",8,1.14,-600,-550,Turkey,Kleinasien,,Electrum,,928,40,40
00096,Elektron,"Griechen, Archaik und Klassik",7,1.13,-600,-550,Turkey,Kleinasien,,Electrum,,968,40,38
00097,Elektron,"Griechen, Archaik und Klassik",4,0.30,-600,-550,Turkey,Kleinasien,,Electrum,,1006,40,39
00098,Elektron,"Griechen, Archaik und Klassik",4,0.14,-600,-550,Turkey,Kleinasien,,Electrum,,1045,40,40
00099,Milet,"Griechen, Archaik und Klassik",16-21,13.99,-600,-550,Turkey,Ionien,Milet,Electrum,,1085,40,51
00100,Milet,"Griechen, Archaik und Klassik",11,2.34,-600,-550,Turkey,Ionien,Milet,Electrum,,1136,40,48
00101,Elektron,"Griechen, Archaik und Klassik",13,4.72,-600,-500,Turkey,Kleinasien,,Electrum,,1184,40,38
00102,Elektron,"Griechen, Archaik und Klassik",14,6.96,-620,-500,Turkey,Kleinasien,,Electrum,,1222,40,44
00103,Elektron,"Griechen, Archaik und Klassik",14,6.98,-620,-500,Turkey,Kleinasien,,Electrum,,1266,40,41
00104,Elektron,"Griechen, Archaik und Klassik",14,7.02,-620,-500,Turkey,Kleinasien,,Electrum,,1307,40,43
00105,Elektron,"Griechen, Archaik und Klassik",15,7.93,-600,-500,Turkey,Kleinasien,,Electrum,,1350,40,44
00106,Athen?,"Griechen, Archaik und Klassik",8,1.35,-600,-500,Greece,Attika,Athen?,Electrum,Greece,1394,40,37
00107,Kyzikos,"Griechen, Archaik und Klassik",18,16.20,-600,-550,Turkey,Mysien,Kyzikos,Electrum,,1431,40,35
00108,Kyzikos,"Griechen, Archaik und Klassik",19,16.13,-500,-400,Turkey,Mysien,Kyzikos,Electrum,,1466,40,36
00109,Kyzikos,"Griechen, Archaik und Klassik",10,2.44,-500,-400,Turkey,Mysien,Kyzikos,Electrum,,1502,40,42
00110,Chios?,"Griechen, Archaik und Klassik",19,15.33,-500,-400,Greece,Ionische Inseln,Chios?,Electrum,,1544,40,37
00111,Lampsakos?,"Griechen, Archaik und Klassik",19-21,15.23,-460,-440,Turkey,Mysien,Lampsakos?,Electrum,,1581,40,39
00112,Akragas,"Griechen, Archaik und Klassik",26-31,16.76,-413,-411,Italy,Sizilien,Akragas,Silver,,1620,40,35
00113,Gela,"Griechen, Archaik und Klassik",25,17.55,-480,-470,Italy,Sizilien,Gela,Silver,,1655,40,35
00114,Selinunt,"Griechen, Archaik und Klassik",28,17.28,-420,-420,Italy,Sizilien,Selinunt,Silver,,1690,40,43
00115,Syrakus,"Griechen, Archaik und Klassik",14,5.78,-406,-380,Italy,Sizilien,Syrakus,Gold,,1733,40,39
00116,Weimarer Republik: 1927 Bremerhaven,Deutschland Gedenkmünzen 20.-21. Jh.,"36,0",24.98,1927,1927,Germany,Brandenburg,Berlin,Silver,,1772,40,39
00117,Weimarer Republik: 1927 Nordhausen,Deutschland Gedenkmünzen 20.-21. Jh.,"30,10",15.02,1927,1927,Germany,Brandenburg,Berlin,Silver,,1811,40,40
00118,Weimarer Republik: 1929 Lessing,Deutschland Gedenkmünzen 20.-21. Jh.,"36,0",24.99,1929,1929,Germany,Brandenburg,Berlin,Silver,,1851,40,40
00119,Syrakus,"Griechen, Archaik und Klassik",14,5.78,406,-380,Italy,Sizilien,Syrakus,Gold,Italy,1891,40,40
00120,Syrakus,"Griechen, Archaik und Klassik",36,42.61,-400,-370,Italy,Sizilien,Syrakus,Silver,,1931,40,40
00121,Phasis (Kolchis),"Griechen, Archaik und Klassik",19-22,10.15,-494,-400,Georgia,Kolchis,Phasis (Poti),Silver,,1971,40,45
00122,Pantikapaion,"Griechen, Archaik und Klassik",25,11.40,-400,-300,Ukraine,Taurische Chersonesos,Pantikapaion,Silver,,0,80,41
00123,Ainos,"Griechen, Archaik und Klassik",25,16.40,-478,-450,Turkey,Thrakien,Ainos,Silver,,41,80,39
00124,Mende,"Griechen, Archaik und Klassik",28,16.58,-450,-400,Greece,Makedonien,Mende,Silver,,80,80,41
00125,Makedonien: 1. Meris,"Griechen, Hellenismus",32,16.56,-158,-150,Greece,Makedonien,Amphipolis,Silver,,121,80,40
00126,Theben,"Griechen, Archaik und Klassik",19-22,12.23,-450,-400,Greece,Böotien,Theben,Silver,,161,80,35
00130,Weimarer Republik: 1929 Verfassung,Deutschland Gedenkmünzen 20.-21. Jh.,"35,8",25.09,1929,1929,Germany,Brandenburg,Berlin,Silver,,196,80,40
00131,Weimarer Republik: 1929 Graf Zeppelin,Deutschland Gedenkmünzen 20.-21. Jh.,"36,0",24.99,1930,1930,Germany,Brandenburg,Berlin,Silver,,236,80,40
00132,Korinth,"Griechen, Archaik und Klassik",20,8.68,-478,-458,Greece,Achaia,Korinth,Silver,,276,80,36
00133,Aigina,"Griechen, Archaik und Klassik",22,12.29,-400,-300,Greece,Attika (Inseln),Aigina,Silver,,312,80,42
00135,Athen,"Griechen, Archaik und Klassik",23,16.51,-506,-490,Greece,Attika,Athen,Silver,Greece,354,80,39
00136,Athen,"Griechen, Archaik und Klassik",24,17.07,-480,-404,Greece,Attika,Athen,Silver,,393,80,41
00137,Weimarer Republik: 1930 Walther von der Vogelweide,Deutschland Gedenkmünzen 20.-21. Jh.,"29,9",14.82,1930,1930,Germany,Württemberg,Stuttgart,Silver,,434,80,39
00138,Aitolische Liga,"Griechen, Hellenismus",19,8.44,-220,-196,Greece,Aitolien,,Gold,,473,80,39
00139,Sparta: Kleomenes III.,"Griechen, Hellenismus",28,16.99,-226,-222,Greece,Lakonien,Sparta,Silver,,512,80,42
00140,Weimarer Republik: 1931 Stein,Moderne seit 1900,"30,2",14.94,1931,1931,Germany,,Berlin,Silver,,554,80,40
00142,Gortyn,"Griechen, Archaik und Klassik",20,11.23,-450,-400,Greece,Kreta,Gortyn,Silver,,594,80,40
00143,Weimarer Republik: 1932 Goethe,Deutschland Gedenkmünzen 20.-21. Jh.,37,25.09,1932,1932,Germany,Brandenburg,Berlin,Silver,,634,80,40
00144,Gortyn,"Griechen, Hellenismus",27,11.47,-350,-270,Greece,Kreta,Gortyn,Silver,,674,80,38
00145,Phaistos,"Griechen, Archaik und Klassik",28,11.64,-400,-300,Greece,Kreta,Phaistos,Silver,,712,80,38
00147,Melos,"Griechen, Archaik und Klassik",20,7.37,-400,-300,Greece,Ägäische Inseln,Melos,Silver,,750,80,40
00148,Kalymna,"Griechen, Archaik und Klassik",24,9.82,-560,-540,Greece,Karische Inseln,Kalymna,Silver,,790,80,40
00149,Rhodos,"Griechen, Archaik und Klassik",26,16.76,-408,-395,Greece,Karische Inseln,Rhodos,Silver,,830,80,37
00150,Kyzikos,"Griechen, Archaik und Klassik",20,16.13,-550,-480,Turkey,Mysien,Kyzikos,Electrum,,867,80,42
00151,Kyzikos,"Griechen, Archaik und Klassik",20,15.87,-480,-470,Turkey,Mysien,Kyzikos,Electrum,,909,80,40
00152,Kyzikos,"Griechen, Archaik und Klassik",19,15.90,-510,-490,Turkey,Mysien,Kyzikos,Electrum,,949,80,40
00153,Kyzikos,"Griechen, Archaik und Klassik",15-20,15.86,-480,-410,Turkey,Mysien,Kyzikos,Electrum,,989,80,31
00158,Kyzikos,"Griechen, Archaik und Klassik",16-21,16.00,-430,-410,Turkey,Mysien,Kyzikos,Electrum,,1020,80,30
00159,Kyzikos,"Griechen, Archaik und Klassik",16-21,16.07,-450,-400,Turkey,Mysien,Kyzikos,Electrum,,1050,80,30
00160,Milet,"Griechen, Archaik und Klassik",23,15.18,-360,-340,Turkey,Ionien,Milet,Silver,Greece,1080,80,40
00163,Persischer Satrap: Tarkuwarma-Datames,"Griechen, Archaik und Klassik",23,10.49,-378,-372,Turkey,Kilikien,Tarsos,Silver,,1120,80,39
00164,Sidon,"Griechen, Archaik und Klassik",29,25.59,-342,-341,Lebanon,Phönizien,Sidon (Saida),Silver,,1159,80,42
00165,Lykien: Ddänävälä/Ddenevele,"Griechen, Archaik und Klassik",19,8.28,-410,-390,Turkey,Lykien,Telmessos,Silver,,1201,80,39
00166,Lykien: Mithrapata,"Griechen, Archaik und Klassik",22-25,10.01,-385,-370,Turkey,Lykien,,Silver,,1240,80,44
00167,Drittes Reich: 1933 Luther,Moderne seit 1900,29,13.87,1933,1933,Germany,Brandenburg,Berlin,Silver,,1284,80,40
00170,Lykien: Perikles,"Griechen, Archaik und Klassik",23,9.80,-375,-362,Turkey,Lykien,,Silver,,1324,80,39
00171,Makedonien: Amyntas III.,"Griechen, Archaik und Klassik",24,10.24,-393,-369,Greece,Makedonien,,Silver,,1363,80,36
00172,Makedonien: Philippos II.,"Griechen, Archaik und Klassik",24,14.21,-359,-336,Greece,Makedonien,Amphipolis,Silver,,1399,80,38
00173,Lysimachos,"Griechen, Hellenismus",20,8.51,-297,-281,Turkey,Thrakien,Lysimacheia,Gold,,1437,80,39
00174,Makedonien: Demetrios Poliorketes,"Griechen, Hellenismus",29,17.26,-291,-290,Greece,Makedonien,Amphipolis,Silver,,1476,80,39
00175,Makedonien: Philippos V.,"Griechen, Hellenismus",18,8.55,-222,-179,Greece,Makedonien,,Gold,,1515,80,39
00176,Makedonien: Philippos V.,"Griechen, Hellenismus",33,16.92,-222,-179,Greece,Makedonien,,Silver,,1554,80,39
00177,Ptolemäer: Ptolemaios (I.),"Griechen, Hellenismus",30,15.68,-310,-305,Egypt,Ägypten,Alexandria,Silver,,1593,80,41
00178,Ptolemäer: Ptolemaios I.,"Griechen, Hellenismus",18,7.13,-305,-298,Egypt,Ägypten,Alexandria,Gold,,1634,80,39
00179,Ptolemäer: Ptolemaios II.,"Griechen, Hellenismus",24,17.83,-276,-275,Egypt,Ägypten,Alexandria,Gold,,1673,80,41
00180,Ptolemäer: Arsinoe II.,"Griechen, Hellenismus",29,27.68,-283,-246,Egypt,Ägypten,Alexandria,Gold,,1714,80,39
00181,Ptolemäer: Ptolemaios III.,"Griechen, Hellenismus",27,27.69,-221,-205,Egypt,Ägypten,Alexandria,Gold,,1753,80,41
00182,Ptolemäer: Ptolemaios V.,"Griechen, Hellenismus",26,14.26,-205,-180,Egypt,Ägypten,Alexandria,Silver,,1794,80,41
00183,Herakleia am Latmos,"Griechen, Hellenismus",33,16.71,-170,-140,Turkey,Ionien,Herakleia am Latmos,Silver,,1835,80,40
00184,Kyme,"Griechen, Hellenismus",32,16.46,-165,-133,Turkey,Aeolis,Kyme,Silver,,1875,80,40
00185,Lebedos,"Griechen, Hellenismus",31,15.79,-150,-140,Turkey,Ionien,Lebedos,Silver,,1915,80,39
00186,Kyrene,"Griechen, Archaik und Klassik",27,13.04,-435,-330,Libya,Kyrenaika,Kyrene,Silver,,0,120,43
00187,Barke,"Griechen, Archaik und Klassik",28,12.90,-435,-310,Libya,Kyrenaika,Barke,Silver,,43,120,37
00188,Karthago,"Griechen, Hellenismus",20,9.20,-350,-270,Tunisia,Zeugitanien,Karthago,Gold,,80,120,41
00189,Karthago: Sikulopunier,"Griechen, Hellenismus",27,17.15,-310,-300,Italy,Sizilien,Karthago?,Silver,,121,120,37
00190,Mauretanien: Iuba II.,"Griechen, Römische Kaiserzeit",19,3.32,-20,23,Algeria,Mauretanien,Caesarea (Iol),Silver,,158,120,41
00191,Bosporos: Asandros,"Griechen, Hellenismus",19,8.10,-36,-35,Ukraine,Bosporos,,Gold,,199,120,40
00192,Kappadokien: Archelaos,"Griechen, Römische Kaiserzeit",20,3.53,-17,-16,Turkey,Kappadokien,Caesarea (Kayseri),Silver,,239,120,41
00193,Parther: Phraates IV.,"Griechen, Römische Kaiserzeit",20,4.93,-38,-2,Iran,Parthien,Laodikeia in Medien,Silver,,280,120,41
00194,Röm. Republik: M. Aurelius Cotta,Römische Republik,20,3.93,-139,-139,Italy,Italia,Rom,Silver,,321,120,41
00195,Röm. Republik: C. Servilius M. filius,Römische Republik,21,3.95,-136,-136,Italy,Italia,Rom,Silver,,362,120,40
00196,Röm. Republik: M. Aurelius Scaurus und L. Licinius und Cn. Domitius,Römische Republik,20,3.94,-118,-118,France,Gallia,Narbonne?,Silver,,402,120,39
00197,Röm. Republik: N. Fabius Pictor,Römische Republik,18,3.97,-126,-126,Italy,Italia,Rom,Silver,,441,120,42
00198,Röm. Republik: C. Fundanius Q.,Römische Republik,19,3.43,-101,-101,Italy,Italia,Rom,Silver,,483,120,39
00199,Röm. Republik: C. Fundanius,Römische Republik,15,1.93,-101,-101,Italy,Italia,Rom,Silver,,522,120,36
00200,Röm. Republik: C. Servilius,Römische Republik,19,3.33,-82,-80,Italy,Italia,Rom,Silver,,558,120,39
00201,Röm. Republik: P. Lepidus und L. Scribonius Libo,Römische Republik,20,4.01,-62,-62,Italy,Italia,Rom,Silver,,597,120,38
00202,Röm. Republik: M. Iunius Brutus,Römische Republik,19,4.19,-54,-54,Italy,Italia,Rom,Silver,,635,120,42
00204,Röm. Republik: C. Coelius Caldus,Römische Republik,19,3.68,-51,-51,Italy,Italia,Rom,Silver,,677,120,41
00205,Seleukiden: Seleukos I.,"Griechen, Hellenismus",21,16.60,-300,-298,Iran,Medien,Ekbatana,Gold,,718,120,43
00206,Seleukiden: Antiochos III.,"Griechen, Hellenismus",28,34.18,-220,-220,Iraq,Babylonien,Seleukia am Tigris,Gold,,761,120,38
00207,Seleukiden: Antiochos IV.,"Griechen, Hellenismus",31,17.14,-170,-168,Israel,Phönizien,Ake-Akkon,Silver,,799,120,43
00208,Seleukiden: Antiochos IV.,"Griechen, Hellenismus",35,16.58,-169,-164,Turkey,Syria,Antiochia (Antakya),Silver,,842,120,43
00209,Seleukiden: Kleopatra Thea und Antiochos VIII.,"Griechen, Hellenismus",30,16.39,-125,-121,Israel,Phönizien,Ake-Akkon,Silver,,885,120,40
00210,Seleukiden: Antiochos XI. und Philippos I. Philadelphos,"Griechen, Hellenismus",29,15.59,-94,-93,Turkey,Kilikien,Tarsos?,Silver,,925,120,36
00211,Syrakus: Hieron II.,"Griechen, Hellenismus",26,16.04,-269,-216,Italy,Sizilien,Syrakus,Silver,,961,120,39
00212,Syrakus: Hieronymos,"Griechen, Hellenismus",22,8.52,-215,-214,Italy,Sizilien,Syrakus,Silver,,1000,120,38
00214,Achulla,"Griechen, Römische Kaiserzeit",31,12.48,-8,-7,Tunisia,Byzacene,Achulla,Bronze,,1038,120,41
00215,Antiochia am Orontes,"Griechen, Römische Kaiserzeit",19-22,7.10,-7,-6,Turkey,Syria,Antiochia (Antakya),Bronze,,1079,120,45
00217,Sparta: Kleomenes III.,"Griechen, Hellenismus",30,16.61,-227,-222,Greece,Lakonien,Sparta,Silver,,1124,120,41
00218,Bithynien: Prusias I.,"Griechen, Hellenismus",34-37,17.01,-229,-182,Turkey,Bithynien,,Silver,,1165,120,44
00219,Pontos: Mithradates IV.,"Griechen, Hellenismus",35,16.81,-160,-151,Turkey,Pontos,,Silver,,1209,120,42
00220,Kappadokien: Orophernes,"Griechen, Hellenismus",34,16.32,-159,-157,Turkey,Ionien,Priene?,Silver,,1251,120,40
00221,Parther: Mithradates I.,"Griechen, Hellenismus",29,15.29,-171,-138,Iraq,Babylonien,Seleukia am Tigris,Silver,,1291,120,41
00222,Baktrien: Agathokles,"Griechen, Hellenismus",30,16.82,-190,-180,Afghanistan,Baktrien,,Silver,,1332,120,40
00223,Baktrien: Eukratides I.,"Griechen, Hellenismus",20,4.14,-170,-145,Afghanistan,Baktrien,,Silver,,1372,120,43
00224,Baktrien: Eukratides I.,"Griechen, Hellenismus",33,16.90,-170,-145,Afghanistan,Baktrien,,Silver,,1415,120,40
00225,Baktrien: Menandros I.,"Griechen, Hellenismus",19,2.46,-155,-130,Afghanistan,Baktrien,,Silver,,1455,120,42
00226,Indoskythen: Azilises I.,"Griechen, Hellenismus",29,9.60,-51,-35,Pakistan,Kaschmir,Hazara,Silver,,1497,120,39
00227,Thraker: Mostis,"Griechen, Hellenismus",32,16.56,-130,-100,Bulgaria,Thrakien,,Silver,,1536,120,38
00228,Illyrien: Ballaios,"Griechen, Hellenismus",16,3.57,-167,-135,,Illyrien,,Bronze,,1574,120,39
00229,Bosporos: Pharnakes II.,"Griechen, Hellenismus",20,8.08,-53,-52,Ukraine,Bosporos,,Gold,,1613,120,41
00230,"Aiax, Toparch in Kilikien","Griechen, Römische Kaiserzeit",21,6.94,13,15,Turkey,Kilikien,Olba,Bronze,,1654,120,40
00231,Kappadokien: Artaxias,"Griechen, Römische Kaiserzeit",24,7.66,18,18,Turkey,Kappadokien,Caesarea (Kayseri),Silver,,1694,120,42
00232,Kommagene: Antiochos IV.,"Griechen, Römische Kaiserzeit",19,5.54,38,72,Turkey,Kommagene,,Bronze,,1736,120,43
00233,Röm. Republik: M. Lollius Palikanus,Römische Republik,20,3.91,-45,-45,Italy,Italia,Rom,Silver,,1779,120,42
00234,Röm. Republik: C. Iulius Caesar und M. Mettius,Römische Republik,20,4.09,-44,-44,Italy,Italia,Rom,Silver,,1821,120,38
00235,Röm. Republik: C. Antonius,Römische Republik,19,4.02,-43,-43,Greece,Makedonien,,Silver,,1859,120,41
00236,Röm. Republik: L. Cestius und C. Norbanus,Römische Republik,21,8.10,-43,-43,Italy,Italia,Rom,Gold,Italy,1900,120,40
00237,Röm. Republik: L. Mussidius Longus,Römische Republik,20,8.01,-42,-42,Italy,Italia,Rom,Gold,,1940,120,41
00238,Röm. Republik: L. Mussidius Longus,Römische Republik,20,3.97,-42,-42,Italy,Italia,Rom,Silver,,1981,120,40
00239,Röm. Republik: Sex. Pompeius Magnus,Römische Republik,20,3.91,-42,-40,Italy,Sizilien,,Silver,,0,160,39
